date,open,high,low,ltp,percent_change,qty,turnover
2026-05-19,115.0,115.0,115.0,115.0,0.0,217473,25009395.0
2026-05-07,123.2,123.2,115.0,115.0,-9.45,155559,17889473.5
2026-05-05,127.0,127.0,127.0,127.0,-0.78,5288,671576.0
2026-04-30,128.0,128.0,128.0,128.0,-2.29,105823,13545344.0
2025-12-31,131.0,131.0,131.0,131.0,0.0,39493,5173583.0
2025-12-17,131.0,131.0,131.0,131.0,0.0,8357,1128195.0
2025-12-16,131.0,131.0,131.0,131.0,0.0,150766,17505230.0
2025-11-12,131.0,131.0,131.0,131.0,0.0,4000,460000.0
2025-11-09,131.0,131.0,131.0,131.0,0.0,81248,9343520.0
2025-11-02,131.0,131.0,131.0,131.0,0.0,14006217,1665059077.0
2025-10-30,131.0,131.0,131.0,131.0,0.0,14006230,1665060622.0
2025-08-18,131.0,131.0,131.0,131.0,-1.5,31237,4092047.0
2025-07-02,133.0,133.0,133.0,133.0,0.0,407,46805.0
2025-07-01,133.0,133.0,133.0,133.0,0.0,366316,43072002.0
2025-04-22,133.0,133.0,133.0,133.0,0.0,117250,15594250.0
2025-03-11,133.0,133.0,133.0,133.0,1.53,50000,6650000.0
2025-01-02,131.0,131.0,131.0,131.0,4.8,19978,2617118.0
2024-08-12,135.0,135.0,125.0,125.0,-7.41,866813,116851625.0
2024-08-11,135.0,135.0,135.0,135.0,8.0,601184,81159840.0
2024-08-06,125.0,125.0,125.0,125.0,0.0,31615,3951875.0
2024-07-10,125.0,125.0,125.0,125.0,0.0,171120,21390000.0
2024-06-27,125.0,125.0,125.0,125.0,0.0,105804,13225500.0
2024-06-23,125.0,125.0,125.0,125.0,0.0,59259,7407375.0
2024-06-13,125.0,125.0,125.0,125.0,1.46,750394,93799250.0
2024-05-16,150.0,150.0,150.0,150.0,0.0,5291,793650.0
2024-02-05,120.8,120.8,120.8,120.8,-1.95,35980,4346384.0
2024-01-14,132.3,132.3,123.2,123.2,-8.67,192626,24801054.8
2024-01-11,146.1,150.0,134.9,150.0,0.67,1590050,238507022.0
2024-01-10,161.4,161.4,149.0,149.0,-9.48,50,7757.0
2024-01-09,178.2,178.2,164.6,164.6,-9.46,50,8567.0
2024-01-08,196.9,196.9,181.8,181.8,-9.51,50,9464.0
2024-01-07,217.5,217.5,200.9,200.9,-9.46,50,10455.0
2024-01-04,240.5,240.5,221.9,221.9,-9.58,50,11555.0
2024-01-03,266.0,266.0,245.4,245.4,-9.58,50,12780.0
2024-01-02,294.0,294.0,271.4,271.4,-9.53,50,14130.0
2024-01-01,300.0,300.0,300.0,300.0,0.0,1000,300000.0
2023-12-27,300.0,300.0,300.0,300.0,0.0,25000,7500000.0
2023-11-08,124.5,124.5,124.5,124.5,5.51,420304,52327848.0
2023-11-07,125.0,125.0,118.0,118.0,-5.6,745460,91644228.0
2023-11-06,125.0,125.0,125.0,125.0,0.0,286790,35848750.0
2020-10-19,300.0,300.0,300.0,300.0,0.0,112686,33805800.0
2020-10-18,300.0,300.0,300.0,300.0,3.45,815172,244551600.0
2020-01-21,290.0,290.0,290.0,290.0,-31.76,843507,244617024.0
2015-06-25,245.0,425.0,425.0,425.0,0.0,6652,2827100.0
2014-10-30,241.0,245.0,245.0,245.0,0.0,100145,24535524.0
2013-10-01,267.0,262.0,241.0,241.0,0.0,635713,153207392.0
2013-09-30,296.0,291.0,267.0,267.0,0.0,60,16720.0
2013-09-29,296.0,328.0,296.0,296.0,0.0,70,21740.0
