date,open,high,low,ltp,percent_change,qty,turnover
2022-05-05,549.0,549.0,520.0,520.0,-3.72,3117,1653641.0
2022-05-04,550.1,559.0,540.0,540.1,-2.86,1947,1066062.1
2022-05-02,566.0,566.0,553.3,556.0,-3.47,1898,1057036.9
2022-04-28,588.0,599.8,568.1,576.0,-0.52,1432,827084.0
2022-04-27,577.0,582.0,570.0,579.0,2.26,2274,1308368.5
2022-04-26,576.0,584.7,566.2,566.2,-1.53,1141,654251.8
2022-04-25,598.0,609.9,575.0,575.0,-2.21,7762,4602638.9
2022-04-24,580.0,592.0,570.1,588.0,3.16,5205,3044990.1
2022-04-21,549.1,570.0,549.0,570.0,1.97,5605,3149274.0
2022-04-20,570.0,575.0,559.0,559.0,-3.45,3477,1967087.5
2022-04-19,560.1,582.0,548.8,579.0,1.4,4190,2326113.2
2022-04-18,575.0,580.0,568.5,571.0,-2.23,5709,3272548.0
2022-04-17,604.0,607.0,582.1,584.0,-2.67,5012,3001743.8
2022-04-13,590.0,612.0,589.0,600.0,0.0,20774,12547953.0
2022-04-12,601.0,605.0,589.0,600.0,-0.66,6680,4007282.0
2022-04-11,631.3,631.3,603.3,604.0,-2.42,5269,3231651.2
2022-04-07,600.0,622.8,600.0,619.0,3.17,7775,4751827.4
2022-04-06,605.0,617.0,595.0,600.0,-1.64,5976,3580893.0
2022-04-05,620.0,623.0,599.0,610.0,-3.33,16366,9920940.0
2022-04-04,629.0,635.0,625.0,631.0,-1.28,5781,3642128.4
2022-04-03,643.0,647.0,639.2,639.2,-1.96,11335,7288534.0
2022-03-31,657.0,657.0,637.0,652.0,-0.88,9852,6338086.0
2022-03-30,640.0,657.8,634.0,657.8,2.78,11673,7594936.3
2022-03-29,650.0,668.9,632.0,640.0,-0.47,14687,9701709.5
2022-03-28,662.0,667.9,636.0,643.0,-2.87,40100,25593265.0
2022-03-27,669.2,703.0,650.0,662.0,0.9,39957,26952815.5
2022-03-24,658.0,682.9,656.0,656.1,-1.04,11315,7578095.8
2022-03-23,665.0,665.0,651.0,663.0,-1.47,2643,1744932.0
2022-03-22,661.0,674.0,660.0,672.9,1.51,8234,5514741.3
2022-03-21,657.0,666.0,655.0,662.9,0.9,4315,2858024.0
2022-03-20,665.0,665.0,646.0,657.0,0.46,9052,5917890.0
2022-03-16,650.0,657.0,638.0,654.0,0.62,9361,6090319.9
2022-03-15,635.0,652.0,635.0,650.0,1.58,9656,6216190.7
2022-03-14,642.0,642.0,634.0,639.9,1.41,2830,1801122.8
2022-03-13,610.0,657.9,604.0,631.0,3.78,20673,12818280.3
2022-03-10,613.5,613.5,595.0,608.0,0.83,2966,1794676.5
2022-03-09,616.0,616.0,590.0,603.0,-2.11,5052,3029727.3
2022-03-07,629.0,629.0,593.0,616.0,-0.18,17597,10607892.0
2022-03-06,642.0,642.9,617.0,617.1,-2.2,1896,1195843.1
2022-03-02,675.0,675.0,630.0,631.0,-8.26,9674,6173840.5
2022-02-28,695.0,695.0,633.0,687.8,0.49,14927,9700641.7
2022-02-27,749.7,749.7,706.0,730.0,-4.58,34561,25102173.9
2022-02-24,683.0,765.0,676.4,765.0,9.91,9609,6565033.0
