date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,950.0,978.0,935.2,956.0,-0.21,14019,13340959.1
2026-02-11,1000.0,1004.7,940.0,958.0,-2.74,17687,17064796.3
2026-02-10,938.9,1024.9,938.9,985.0,2.82,29986,29819198.1
2026-02-09,1000.0,1015.0,936.0,958.0,-4.2,30313,29417439.3
2026-02-08,1010.0,1034.0,990.0,1000.0,-0.89,22446,22613533.8
2026-02-05,1050.0,1050.0,989.8,1009.0,-2.75,28766,28972053.2
2026-02-04,1046.7,1100.0,990.1,1037.5,-2.86,22088,22707956.3
2026-02-03,1056.7,1143.0,1041.0,1068.0,-0.95,32280,35032746.1
2026-02-02,960.6,1078.2,960.6,1078.2,10.0,47789,50636076.0
2026-02-01,1029.0,1050.0,980.0,980.2,-6.65,34438,34541659.8
2026-01-29,1150.0,1174.0,1035.0,1050.0,-8.7,67887,73173027.9
2026-01-28,1147.6,1213.0,1061.8,1150.0,-1.79,63226,72286916.7
2026-01-27,1170.0,1264.0,1158.0,1171.0,1.87,63815,78061898.0
2026-01-26,1065.9,1149.5,1045.0,1149.5,10.0,82463,93441378.5
2026-01-25,931.0,1045.0,931.0,1045.0,10.0,96219,96938120.9
2026-01-22,900.0,955.0,891.0,950.0,5.56,63128,58805087.5
2026-01-21,920.0,925.0,895.0,900.0,-2.07,23726,21522813.6
2026-01-20,934.9,936.0,902.0,919.0,0.0,32744,30059126.3
2026-01-18,882.0,930.0,882.0,919.0,2.22,26544,24300895.3
2026-01-14,913.0,919.0,891.0,899.0,-1.53,21208,19068536.3
2026-01-13,922.0,957.0,905.0,913.0,-2.35,42562,39297269.1
2026-01-12,928.1,972.0,910.0,935.0,-1.27,46198,43335829.1
2026-01-08,925.2,1000.0,913.0,947.0,0.32,37445,34851745.6
2026-01-07,916.6,949.0,899.0,944.0,0.93,24634,22700450.6
2026-01-06,985.0,1005.0,924.0,935.3,-4.46,41564,39428139.9
2026-01-05,884.0,992.0,884.0,979.0,8.54,81879,78044316.6
2026-01-04,909.0,909.0,878.0,902.0,-0.77,32730,29223304.2
2026-01-01,824.2,924.0,824.2,909.0,8.09,61540,54760254.9
2025-12-31,850.0,878.0,841.0,841.0,-2.55,27418,23476598.1
2025-12-29,885.0,900.0,846.0,863.0,-2.49,33092,28422031.2
2025-12-28,860.0,895.0,830.0,885.0,2.91,34201,30149413.1
2025-12-24,808.9,881.2,808.9,860.0,4.19,50360,43141732.1
2025-12-23,787.1,826.0,787.1,825.4,2.78,19025,15402931.6
2025-12-22,825.4,840.0,803.1,803.1,-4.39,22903,18846905.9
2025-12-21,831.1,873.0,831.1,840.0,-0.94,14274,12046411.8
2025-12-18,838.4,873.0,825.0,848.0,-0.88,20025,17214451.5
2025-12-17,853.0,889.0,840.0,855.5,0.29,25652,22169531.5
2025-12-16,852.6,899.0,845.0,853.0,-1.95,24683,21155098.9
2025-12-15,916.3,950.0,866.0,870.0,-6.95,24741,22102188.6
