date,open,high,low,ltp,percent_change,qty,turnover
2025-08-26,366.0,366.0,366.0,366.0,0.0,5379,1968714.0
2024-12-26,369.0,369.0,369.0,369.0,0.0,200,73800.0
2023-10-17,260.0,260.0,260.0,260.0,0.0,2051,533260.0
2023-10-05,260.0,260.0,260.0,260.0,0.0,8051,2093260.0
2023-07-02,219.0,219.0,219.0,219.0,-1.79,20000,4380000.0
2023-05-09,223.0,223.0,223.0,223.0,-2.19,12006,2677338.0
2022-06-23,228.0,228.0,228.0,228.0,0.0,26200,5973600.0
2022-06-17,228.0,228.0,228.0,228.0,0.0,22764,5190192.0
2022-04-06,366.0,366.0,366.0,366.0,-1.88,1820,666120.0
2022-03-06,280.3,280.3,280.3,280.3,-24.85,2000,502000.0
2021-09-15,280.3,280.3,280.3,280.3,-1.99,39681,11122584.3
2021-07-11,286.0,286.0,286.0,286.0,0.0,15116,4323176.0
2021-04-29,166.0,166.0,166.0,166.0,-1.78,36997,6141502.0
2021-04-06,169.0,169.0,169.0,169.0,5.63,10250,1732250.0
2020-12-28,158.0,160.0,158.0,160.0,-0.62,150730,23815540.0
2020-12-03,161.0,161.0,161.0,161.0,0.0,32000,5152000.0
2019-11-13,120.0,120.0,120.0,120.0,0.0,35615,4273800.0
2019-06-04,120.0,120.0,120.0,120.0,0.0,4040,484800.0
2019-05-14,120.0,120.0,120.0,120.0,-1.64,30483,3657960.0
2019-01-23,122.0,122.0,122.0,122.0,7.96,19290,2353380.0
2018-06-20,113.0,113.0,113.0,113.0,1.8,16917,1911621.0
2018-05-03,111.0,111.0,111.0,111.0,0.0,74646,8285706.0
2018-04-29,111.0,111.0,111.0,111.0,0.91,18000,1998000.0
2016-09-26,205.0,205.0,205.0,205.0,0.0,10500,2152500.0
2016-09-05,205.0,205.0,205.0,205.0,0.0,15113,3098165.0
2016-05-18,145.0,145.0,145.0,145.0,0.0,58000,8410000.0
2015-12-16,105.0,105.0,105.0,105.0,0.0,13965,1466325.0
2015-07-01,135.0,136.0,136.0,136.0,0.0,11612,1579232.0
2015-06-21,135.0,135.0,135.0,135.0,0.0,9838,1328130.0
2015-03-26,135.0,135.0,135.0,135.0,0.0,70271,9486585.0
2014-11-02,127.0,129.0,129.0,129.0,0.0,120837,15587973.0
2014-10-28,127.0,127.0,127.0,127.0,0.0,9474,1203198.0
2014-09-23,129.0,127.0,127.0,127.0,0.0,60000,7620000.0
2014-08-31,125.0,129.0,127.0,129.0,0.0,10000,1280000.0
2014-06-16,130.0,128.0,125.0,125.0,0.0,40000,5009000.0
2014-06-12,129.0,130.0,130.0,130.0,0.0,23385,3040050.0
2014-06-11,119.0,129.0,121.0,129.0,0.0,16828,2100806.0
2014-06-10,111.0,119.0,113.0,119.0,0.0,3132,362444.0
2014-03-24,109.0,111.0,111.0,111.0,0.0,28607,3175377.0
2014-03-09,107.0,109.0,109.0,109.0,0.0,5590,609310.0
2014-01-27,111.0,109.0,107.0,107.0,0.0,40081,4322487.0
2013-08-06,109.0,111.0,111.0,111.0,0.0,2495,276945.0
2013-07-03,105.0,109.0,107.0,109.0,0.0,5940,646580.0
2013-06-27,116.0,114.0,105.0,105.0,0.0,159732,16774360.0
2013-06-02,116.0,116.0,116.0,116.0,0.0,800,92800.0
2012-12-09,116.0,116.0,116.0,116.0,0.0,100,11600.0
2011-12-26,116.0,116.0,116.0,116.0,0.0,7260,842160.0
2011-09-18,116.0,116.0,116.0,116.0,0.0,28270,3279320.0
2011-09-15,116.0,116.0,116.0,116.0,0.0,15590,1808440.0
2011-09-12,116.0,116.0,116.0,116.0,0.0,35854,4159064.0
2011-09-07,116.0,116.0,116.0,116.0,0.0,25100,2911600.0
2011-05-12,116.0,116.0,116.0,116.0,0.0,54564,6329424.0
