date,open,high,low,ltp,percent_change,qty,turnover
2015-11-26,195.0,197.0,194.0,196.0,0.0,5929,1163184.0
2015-11-25,197.0,195.0,194.0,195.0,0.0,5816,1131109.0
2015-11-24,199.0,202.0,197.0,197.0,0.0,6677,1324800.0
2015-11-23,203.0,199.0,193.0,199.0,0.0,1395,276495.0
2015-11-22,207.0,203.0,203.0,203.0,0.0,237,48111.0
2015-11-19,210.0,209.0,202.0,207.0,0.0,3203,658388.0
2015-11-18,214.0,215.0,208.0,210.0,0.0,5055,1068030.0
2015-11-16,212.0,216.0,207.0,214.0,0.0,18443,3884430.0
2015-11-15,208.0,216.0,209.0,212.0,0.0,12954,2750752.0
2015-11-10,201.0,210.0,202.0,208.0,0.0,21977,4549008.0
2015-11-09,189.0,201.0,192.0,201.0,0.0,6016,1177200.0
2015-11-08,192.0,189.0,189.0,189.0,0.0,1000,189000.0
2015-11-05,190.0,192.0,189.0,192.0,0.0,576,109292.0
2015-11-04,190.0,196.0,190.0,190.0,0.0,2453,470429.0
2015-11-03,195.0,194.0,185.0,190.0,0.0,7389,1407442.0
2015-11-02,196.0,199.0,195.0,195.0,0.0,2306,452476.0
2015-11-01,198.0,198.0,196.0,196.0,0.0,540,106640.0
2015-10-29,201.0,200.0,197.0,198.0,0.0,5510,1086380.0
2015-10-28,197.0,201.0,191.0,201.0,0.0,1914,368464.0
2015-10-27,209.0,205.0,197.0,197.0,0.0,850,168550.0
2015-10-19,210.0,209.0,209.0,209.0,0.0,520,108680.0
2015-10-18,207.0,210.0,204.0,210.0,0.0,4428,917591.0
2015-10-15,208.0,207.0,196.0,207.0,0.0,2207,446089.0
2015-10-14,203.0,208.0,197.0,208.0,0.0,3605,742547.0
2015-10-11,212.0,208.0,200.0,203.0,0.0,10841,2177948.0
2015-10-08,215.0,213.0,200.0,212.0,0.0,5250,1082550.0
2015-10-07,208.0,215.0,200.0,215.0,0.0,1970,401300.0
2015-10-06,217.0,213.0,208.0,208.0,0.0,3117,654543.0
2015-10-05,221.0,217.0,217.0,217.0,0.0,50,10850.0
2015-10-04,220.0,221.0,217.0,221.0,0.0,3503,764017.0
2015-10-01,227.0,223.0,220.0,220.0,0.0,2031,448507.0
2015-09-30,222.0,227.0,221.0,227.0,0.0,861,192327.0
2015-09-29,224.0,222.0,218.0,222.0,0.0,4410,970224.0
2015-09-28,227.0,224.0,220.0,224.0,0.0,3090,685944.0
2015-09-24,224.0,230.0,217.0,227.0,0.0,17006,3820763.0
2015-09-23,216.0,230.0,220.0,224.0,0.0,16049,3609088.0
2015-09-22,229.0,229.0,216.0,216.0,0.0,4363,957803.0
2015-09-17,225.0,233.0,220.0,229.0,0.0,12889,2913365.0
2015-09-16,220.0,238.0,224.0,225.0,0.0,40273,9232903.0
2015-09-15,200.0,220.0,204.0,220.0,0.0,42208,9186307.0
2015-09-14,199.0,205.0,200.0,200.0,0.0,61560,12339250.0
2015-09-13,198.0,202.0,199.0,199.0,0.0,14400,2880900.0
2015-09-10,198.0,198.0,197.0,198.0,0.0,2060,407180.0
2015-09-09,200.0,199.0,197.0,198.0,0.0,2514,497989.0
2015-09-08,197.0,200.0,200.0,200.0,0.0,100,20000.0
2015-09-07,200.0,197.0,196.0,197.0,0.0,1136,222792.0
2015-09-06,201.0,200.0,200.0,200.0,0.0,1378,275600.0
2015-09-03,198.0,201.0,195.0,201.0,0.0,1078,211610.0
2015-09-02,208.0,204.0,198.0,198.0,0.0,2941,589135.0
2015-09-01,210.0,210.0,206.0,208.0,0.0,1275,265546.0
2015-08-31,202.0,214.0,206.0,210.0,0.0,3750,791760.0
2015-08-27,221.0,217.0,200.0,202.0,0.0,12085,2453765.0
2015-08-26,217.0,237.0,221.0,221.0,0.0,220,50220.0
2015-08-25,213.0,221.0,213.0,217.0,0.0,266,57018.0
2015-08-24,194.0,213.0,197.0,213.0,0.0,15163,3229279.0
2015-08-23,190.0,194.0,172.0,194.0,0.0,32768,6047445.0
2015-08-20,181.0,194.0,178.0,190.0,0.0,30673,5662117.0
2015-08-19,182.0,185.0,175.0,181.0,0.0,13322,2429121.0
2015-08-18,183.0,185.0,180.0,182.0,0.0,8460,1543470.0
2015-08-17,180.0,183.0,173.0,183.0,0.0,3204,561276.0
2015-08-16,182.0,180.0,173.0,180.0,0.0,9841,1737608.0
2015-08-13,176.0,185.0,175.0,182.0,0.0,6931,1256846.0
2015-08-12,183.0,187.0,174.0,176.0,0.0,9636,1723569.0
2015-08-11,184.0,188.0,179.0,183.0,0.0,7886,1432468.0
2015-08-10,181.0,190.0,180.0,184.0,0.0,6144,1126587.0
2015-08-09,190.0,194.0,179.0,181.0,0.0,6916,1255555.0
2015-08-06,192.0,193.0,188.0,190.0,0.0,3175,601740.0
2015-08-05,209.0,205.0,189.0,192.0,0.0,9974,1925162.0
2015-08-04,196.0,209.0,193.0,209.0,0.0,99918,19985970.0
2015-08-03,183.0,196.0,177.0,196.0,0.0,30661,5872831.0
2015-08-02,186.0,184.0,178.0,183.0,0.0,9380,1703845.0
2015-07-30,186.0,190.0,183.0,186.0,0.0,18323,3429705.0
2015-07-29,186.0,186.0,177.0,186.0,0.0,4173,755079.0
2015-07-28,190.0,193.0,185.0,186.0,0.0,9193,1733545.0
2015-07-27,202.0,210.0,189.0,190.0,0.0,17241,3397834.0
2015-07-26,187.0,202.0,190.0,202.0,0.0,3021,577521.0
2015-07-23,182.0,187.0,178.0,187.0,0.0,3696,677390.0
2015-07-22,178.0,182.0,178.0,182.0,0.0,678,121620.0
2015-07-16,180.0,178.0,177.0,178.0,0.0,69,12248.0
2015-07-15,173.0,180.0,171.0,180.0,0.0,1264,216458.0
2015-07-14,175.0,175.0,173.0,173.0,0.0,174,30194.0
2015-07-13,172.0,175.0,169.0,175.0,0.0,1769,303128.0
2015-07-12,171.0,173.0,170.0,172.0,0.0,4527,773145.0
2015-07-09,171.0,173.0,170.0,171.0,0.0,1835,316199.0
2015-07-08,170.0,172.0,170.0,171.0,0.0,2115,361965.0
2015-07-07,170.0,171.0,168.0,170.0,0.0,4932,834710.0
2015-07-06,172.0,170.0,169.0,170.0,0.0,715,120958.0
2015-07-05,173.0,175.0,172.0,172.0,0.0,2425,419575.0
