date,open,high,low,ltp,percent_change,qty,turnover
2012-02-15,120.0,124.0,122.0,124.0,0.0,189,23112.0
2012-02-13,124.0,122.0,120.0,120.0,0.0,37,4460.0
2012-02-12,125.0,127.0,124.0,124.0,0.0,2472,311553.0
2012-02-09,121.0,125.0,123.0,125.0,0.0,813,100275.0
2012-02-08,119.0,121.0,121.0,121.0,0.0,243,29403.0
2012-02-07,115.0,119.0,117.0,119.0,0.0,959,112393.0
2012-02-06,110.0,115.0,108.0,115.0,0.0,3155,349488.0
2012-02-05,110.0,110.0,108.0,110.0,0.0,2312,254232.0
2012-02-02,108.0,110.0,110.0,110.0,0.0,1485,163350.0
2012-02-01,108.0,108.0,106.0,108.0,0.0,3294,354510.0
2012-01-29,107.0,108.0,106.0,108.0,0.0,1378,148660.0
2012-01-26,107.0,107.0,107.0,107.0,0.0,1620,173340.0
2012-01-25,107.0,107.0,107.0,107.0,0.0,945,101115.0
2012-01-23,110.0,109.0,107.0,107.0,0.0,1529,166141.0
2012-01-22,108.0,110.0,110.0,110.0,0.0,837,92070.0
2012-01-19,107.0,108.0,108.0,108.0,0.0,486,52488.0
2012-01-17,109.0,107.0,107.0,107.0,0.0,945,101115.0
2012-01-10,104.0,113.0,109.0,109.0,0.0,1154,127946.0
2012-01-09,106.0,108.0,108.0,108.0,0.0,1107,119556.0
2012-01-08,104.0,106.0,104.0,106.0,0.0,570,59340.0
2012-01-05,102.0,104.0,104.0,104.0,0.0,20,2080.0
2012-01-04,100.0,102.0,102.0,102.0,0.0,25,2550.0
2012-01-01,108.0,100.0,100.0,100.0,0.0,540,54000.0
2011-12-28,106.0,108.0,108.0,108.0,0.0,4833,521964.0
2011-12-27,106.0,106.0,106.0,106.0,0.0,1539,163134.0
2011-12-26,108.0,106.0,106.0,106.0,0.0,1053,111618.0
2011-12-22,106.0,108.0,106.0,108.0,0.0,1053,111672.0
2011-12-19,104.0,106.0,106.0,106.0,0.0,972,103032.0
2011-12-18,104.0,106.0,104.0,104.0,0.0,945,99522.0
2011-12-15,106.0,108.0,104.0,104.0,0.0,4131,435996.0
2011-12-14,108.0,108.0,106.0,106.0,0.0,784,84562.0
2011-12-13,110.0,111.0,108.0,108.0,0.0,3034,332029.0
2011-12-11,110.0,110.0,110.0,110.0,0.0,567,62370.0
2011-12-08,111.0,113.0,109.0,110.0,0.0,3027,335073.0
2011-12-07,121.0,121.0,109.0,111.0,0.0,1340,150682.0
2011-12-05,121.0,121.0,115.0,121.0,0.0,2133,250803.0
2011-12-04,122.0,123.0,121.0,121.0,0.0,1404,171612.0
2011-11-24,126.0,126.0,122.0,122.0,0.0,2694,336698.0
2011-11-21,139.0,137.0,126.0,126.0,0.0,867,113433.0
2011-11-17,145.0,146.0,139.0,139.0,0.0,3193,456630.0
2011-11-16,141.0,145.0,143.0,145.0,0.0,100,14400.0
2011-11-14,139.0,141.0,141.0,141.0,0.0,50,7050.0
2011-11-13,139.0,139.0,139.0,139.0,0.0,1890,262710.0
2011-11-10,140.0,139.0,139.0,139.0,0.0,246,34194.0
2011-11-09,140.0,140.0,140.0,140.0,0.0,663,92820.0
2011-10-30,138.0,140.0,140.0,140.0,0.0,729,102060.0
2011-10-17,136.0,138.0,138.0,138.0,0.0,621,85698.0
2011-10-16,135.0,136.0,135.0,136.0,0.0,2646,358182.0
2011-10-12,135.0,135.0,135.0,135.0,0.0,2106,284310.0
2011-09-27,134.0,135.0,135.0,135.0,0.0,999,134865.0
2011-09-25,132.0,134.0,132.0,134.0,0.0,2700,357318.0
2011-09-14,132.0,132.0,132.0,132.0,0.0,1323,174636.0
2011-09-04,132.0,132.0,132.0,132.0,0.0,1242,163944.0
2011-08-01,140.0,138.0,132.0,132.0,0.0,816,109536.0
2011-07-31,142.0,140.0,140.0,140.0,0.0,2808,393120.0
2011-07-03,136.0,142.0,138.0,142.0,0.0,440,60960.0
2011-06-29,136.0,136.0,136.0,136.0,0.0,10,1360.0
2011-06-27,138.0,136.0,136.0,136.0,0.0,212,28832.0
2011-06-08,140.0,140.0,140.0,140.0,0.0,1206,168840.0
2011-06-05,140.0,142.0,140.0,140.0,0.0,2182,305680.0
2011-05-31,140.0,140.0,138.0,140.0,0.0,2420,338760.0
2011-05-25,139.0,140.0,140.0,140.0,0.0,440,61600.0
2011-05-22,139.0,139.0,139.0,139.0,0.0,2400,333600.0
2011-05-19,137.0,139.0,139.0,139.0,0.0,420,58380.0
2011-05-09,137.0,137.0,137.0,137.0,0.0,4608,631296.0
2011-05-02,137.0,137.0,137.0,137.0,0.0,160,21920.0
2011-04-28,160.0,137.0,137.0,137.0,0.0,225,30825.0
2011-04-18,160.0,160.0,160.0,160.0,0.0,300,48000.0
2011-04-17,160.0,160.0,160.0,160.0,0.0,2500,400000.0
2011-04-05,160.0,160.0,160.0,160.0,0.0,1820,291200.0
2011-04-04,160.0,160.0,160.0,160.0,0.0,30,4800.0
2011-03-31,160.0,160.0,160.0,160.0,0.0,420,67200.0
2011-03-27,165.0,162.0,160.0,160.0,0.0,904,144688.0
2011-03-24,166.0,165.0,165.0,165.0,0.0,480,79200.0
2011-03-20,166.0,166.0,166.0,166.0,0.0,860,142760.0
