date,open,high,low,ltp,percent_change,qty,turnover
2023-05-09,372.0,377.0,368.1,373.0,1.63,8988,3345779.2
2023-05-08,370.5,375.0,366.2,367.0,-2.11,12092,4468689.5
2023-05-07,378.0,378.0,372.0,374.9,-0.82,9623,3612996.8
2023-05-04,379.0,381.0,375.0,378.0,-0.26,5499,2085788.4
2023-05-03,376.0,380.0,376.0,379.0,-0.26,4619,1745001.5
2023-05-02,379.0,380.0,375.0,380.0,0.26,6561,2472897.8
2023-04-30,380.1,386.0,378.2,379.0,-1.56,19031,7266140.4
2023-04-27,385.0,386.8,381.0,385.0,0.0,11291,4328810.3
2023-04-26,391.9,392.3,383.0,385.0,-0.8,9887,3825360.1
2023-04-25,383.0,390.0,382.0,388.1,1.68,8295,3217442.3
2023-04-24,376.1,384.9,375.0,381.7,0.18,9284,3515068.9
2023-04-23,378.1,385.6,378.1,381.0,-1.04,6585,2511877.3
2023-04-20,391.0,394.0,384.0,385.0,-1.53,8036,3116646.4
2023-04-19,392.0,396.0,380.0,391.0,1.11,32513,12528396.2
2023-04-18,390.4,394.0,386.0,386.7,-0.87,12056,4693499.9
2023-04-17,396.0,403.0,390.1,390.1,-2.35,11482,4524015.7
2023-04-16,400.0,403.9,392.0,399.5,0.88,9757,3883140.2
2023-04-13,411.0,412.1,395.6,396.0,-2.7,26078,10552999.8
2023-04-12,387.0,407.0,387.0,407.0,7.11,26104,10381652.5
2023-04-11,383.9,387.0,379.1,380.0,0.96,10155,3898354.8
2023-04-10,383.0,383.5,373.0,376.4,-0.03,16767,6306965.5
2023-04-09,382.0,383.0,376.0,376.5,-1.95,18020,6844415.1
2023-04-06,388.0,392.0,383.1,384.0,-1.03,15411,5958062.7
2023-04-05,377.1,389.8,377.1,388.0,1.23,11634,4503240.6
2023-04-04,380.0,390.0,380.0,383.3,-0.96,13413,5176879.5
2023-04-03,399.8,399.8,376.6,387.0,-1.28,21505,8327218.7
2023-04-02,396.8,412.0,385.0,392.0,0.49,19014,7471047.0
2023-03-30,399.0,400.9,390.1,390.1,-0.99,21157,8417590.9
2023-03-29,400.0,400.0,390.5,394.0,-0.25,8456,3337525.5
2023-03-28,393.0,399.9,385.0,395.0,0.77,158133,61513253.5
2023-03-27,386.0,395.0,381.4,392.0,1.82,22584,8729838.0
2023-03-26,396.7,396.7,382.0,385.0,-1.28,11865,4552332.0
2023-03-23,382.1,394.7,381.0,390.0,1.27,11736,4534042.6
2023-03-22,386.2,399.9,383.8,385.1,-2.26,53546,20834955.0
2023-03-20,400.2,409.9,385.0,394.0,-3.0,195904,76392442.9
2023-03-19,403.0,411.0,403.0,406.2,-0.68,12357,5017490.6
2023-03-16,408.0,415.0,406.0,409.0,-0.49,8340,3407753.4
2023-03-15,415.0,415.0,410.0,411.0,-1.91,7421,3062234.6
2023-03-14,417.0,420.0,410.0,419.0,2.39,5971,2475052.5
2023-03-13,408.7,413.0,407.3,409.2,-1.4,5253,2151832.1
2023-03-12,431.0,432.0,410.0,415.0,-1.87,24034,10074682.6
