date,open,high,low,ltp,percent_change,qty,turnover
2025-05-26,340.0,340.0,340.0,340.0,0.0,14000,4760000.0
2025-04-24,340.0,340.0,340.0,340.0,0.0,80000,14800000.0
2024-12-22,310.0,310.0,310.0,310.0,0.0,1000,205000.0
2024-07-01,511.11,511.11,511.11,511.11,0.0,100,51111.0
2024-02-20,310.0,310.0,310.0,310.0,0.0,3108,963480.0
2022-06-26,296.0,296.0,296.0,296.0,0.0,1000,296000.0
2022-05-04,296.0,296.0,296.0,296.0,-2.63,20000,5920000.0
2020-09-27,310.0,310.0,304.0,304.0,-3.8,76129,23143276.0
2020-09-22,316.0,316.0,316.0,316.0,0.0,20000,6320000.0
2019-07-18,248.0,248.0,248.0,248.0,0.0,25000,6200000.0
2019-06-26,248.0,248.0,248.0,248.0,0.0,97200,24105600.0
2019-04-30,248.0,248.0,248.0,248.0,-0.8,1000,248000.0
2018-12-16,250.0,250.0,250.0,250.0,0.0,105000,26250000.0
2018-12-12,250.0,250.0,250.0,250.0,0.0,195000,48750000.0
2017-03-29,100.0,200.0,200.0,200.0,0.0,195500,39100000.0
2017-01-02,100.0,100.0,100.0,100.0,0.0,70588,7058800.0
2017-01-01,100.0,100.0,100.0,100.0,0.0,55674,5567400.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,646000,52726000.0
