date,open,high,low,ltp,percent_change,qty,turnover
2016-01-25,206.0,208.0,197.0,199.0,0.0,12416,2515724.0
2016-01-24,195.0,207.0,190.0,206.0,0.0,23720,4731130.0
2016-01-21,197.0,199.0,195.0,195.0,0.0,3710,734270.0
2016-01-20,197.0,197.0,190.0,197.0,0.0,8085,1564350.0
2016-01-19,199.0,199.0,197.0,197.0,0.0,2700,535300.0
2016-01-18,202.0,200.0,197.0,199.0,0.0,3160,627420.0
2016-01-17,186.0,202.0,189.0,202.0,0.0,9961,1999060.0
2016-01-14,183.0,189.0,186.0,186.0,0.0,7800,1457800.0
2016-01-13,184.0,185.0,183.0,183.0,0.0,4600,847800.0
2016-01-12,187.0,186.0,183.0,184.0,0.0,7280,1342820.0
2016-01-11,190.0,193.0,187.0,187.0,0.0,4850,910300.0
2016-01-10,195.0,192.0,188.0,190.0,0.0,10240,1948360.0
2016-01-07,206.0,202.0,186.0,195.0,0.0,40741,7644419.0
2015-12-28,211.0,211.0,206.0,206.0,0.0,1590,332400.0
2015-12-24,214.0,215.0,211.0,211.0,0.0,2550,538250.0
2015-12-23,218.0,214.0,214.0,214.0,0.0,5000,1070000.0
2015-12-22,218.0,218.0,214.0,218.0,0.0,200,43200.0
2015-12-21,202.0,218.0,202.0,218.0,0.0,4786,1021308.0
2015-12-20,190.0,202.0,193.0,202.0,0.0,1140,224070.0
2015-12-16,187.0,190.0,190.0,190.0,0.0,200,38000.0
2015-12-13,195.0,195.0,187.0,187.0,0.0,9996,1891710.0
2015-12-10,192.0,196.0,191.0,195.0,0.0,3812,735980.0
2015-12-09,195.0,195.0,189.0,192.0,0.0,7244,1381688.0
2015-12-08,200.0,198.0,195.0,195.0,0.0,2200,430910.0
2015-12-07,193.0,200.0,196.0,200.0,0.0,9122,1817752.0
2015-12-06,193.0,196.0,193.0,193.0,0.0,1700,329200.0
2015-12-03,199.0,200.0,193.0,193.0,0.0,2390,471270.0
2015-12-02,202.0,200.0,195.0,199.0,0.0,2298,455545.0
2015-12-01,190.0,202.0,193.0,202.0,0.0,1000,200200.0
2015-11-30,181.0,190.0,179.0,190.0,0.0,6141,1125681.0
2015-11-29,194.0,191.0,179.0,181.0,0.0,8401,1529007.0
2015-11-26,202.0,198.0,193.0,194.0,0.0,4531,884048.0
2015-11-25,204.0,202.0,200.0,202.0,0.0,2034,407707.0
2015-11-24,212.0,208.0,204.0,204.0,0.0,1337,276748.0
2015-11-23,210.0,214.0,203.0,212.0,0.0,2646,552776.0
2015-11-22,222.0,218.0,210.0,210.0,0.0,4610,971948.0
2015-11-19,222.0,222.0,214.0,222.0,0.0,9275,2001476.0
2015-11-18,216.0,222.0,215.0,222.0,0.0,5543,1208196.0
2015-11-16,226.0,222.0,213.0,216.0,0.0,11171,2403584.0
2015-11-15,234.0,230.0,221.0,226.0,0.0,1452,327252.0
2015-11-10,227.0,234.0,227.0,234.0,0.0,1774,403468.0
2015-11-09,216.0,227.0,218.0,227.0,0.0,5429,1198858.0
2015-11-08,217.0,220.0,215.0,216.0,0.0,3992,864546.0
2015-11-05,230.0,229.0,217.0,217.0,0.0,15475,3409590.0
2015-11-04,224.0,230.0,220.0,230.0,0.0,6504,1466098.0
2015-11-03,226.0,228.0,223.0,224.0,0.0,9024,2023686.0
2015-11-02,226.0,230.0,226.0,226.0,0.0,3304,752275.0
2015-11-01,229.0,230.0,226.0,226.0,0.0,4409,998986.0
2015-10-29,233.0,240.0,229.0,229.0,0.0,7440,1742520.0
2015-10-28,235.0,235.0,230.0,233.0,0.0,9085,2106566.0
2015-10-27,241.0,238.0,230.0,235.0,0.0,12275,2855411.0
2015-10-25,239.0,244.0,235.0,241.0,0.0,44040,10417990.0
2015-10-19,239.0,240.0,235.0,239.0,0.0,95113,22386508.0
2015-10-18,241.0,245.0,235.0,239.0,0.0,51332,12168646.0
2015-10-15,228.0,241.0,228.0,241.0,0.0,96568,22439080.0
2015-10-14,231.0,230.0,226.0,228.0,0.0,7015,1591454.0
2015-10-11,238.0,235.0,230.0,231.0,0.0,3558,828898.0
2015-10-08,235.0,238.0,228.0,238.0,0.0,95755,22437248.0
2015-10-07,227.0,235.0,210.0,235.0,0.0,247722,52744892.0
2015-10-06,232.0,232.0,225.0,227.0,0.0,42849,9715525.0
2015-10-05,235.0,235.0,230.0,232.0,0.0,24204,5597926.0
2015-10-04,236.0,244.0,234.0,235.0,0.0,40038,9519201.0
2015-10-01,230.0,240.0,231.0,236.0,0.0,62051,14684077.0
