date,open,high,low,ltp,percent_change,qty,turnover
2012-02-02,201.0,201.0,199.0,201.0,0.0,384,76656.0
2012-01-26,198.0,201.0,201.0,201.0,0.0,50,10050.0
2012-01-23,200.0,198.0,198.0,198.0,0.0,24,4752.0
2012-01-03,233.0,200.0,197.0,200.0,0.0,65,12865.0
2011-12-27,221.0,233.0,225.0,233.0,0.0,110,25190.0
2011-12-26,209.0,221.0,205.0,221.0,0.0,536,112126.0
2011-12-22,216.0,216.0,196.0,209.0,0.0,489,99595.0
2011-12-20,220.0,216.0,216.0,216.0,0.0,200,43200.0
2011-12-19,220.0,222.0,220.0,220.0,0.0,270,59420.0
2011-12-18,221.0,220.0,220.0,220.0,0.0,150,33000.0
2011-12-15,222.0,222.0,221.0,221.0,0.0,204,45268.0
2011-12-13,226.0,222.0,222.0,222.0,0.0,100,22200.0
2011-12-08,230.0,226.0,226.0,226.0,0.0,100,22600.0
2011-11-23,234.0,230.0,230.0,230.0,0.0,105,24150.0
2011-11-21,238.0,234.0,234.0,234.0,0.0,250,58500.0
2011-11-20,234.0,238.0,238.0,238.0,0.0,30,7140.0
2011-11-17,230.0,234.0,234.0,234.0,0.0,20,4680.0
2011-11-16,238.0,240.0,230.0,230.0,0.0,2105,486000.0
2011-11-15,226.0,238.0,230.0,238.0,0.0,126,29308.0
2011-11-14,240.0,236.0,226.0,226.0,0.0,6175,1423550.0
2011-11-13,242.0,240.0,240.0,240.0,0.0,540,129600.0
2011-11-10,240.0,244.0,240.0,242.0,0.0,469,112948.0
2011-11-09,240.0,242.0,240.0,240.0,0.0,200,48200.0
2011-11-03,244.0,240.0,240.0,240.0,0.0,50,12000.0
2011-11-02,240.0,244.0,244.0,244.0,0.0,20,4880.0
2011-10-24,236.0,240.0,240.0,240.0,0.0,180,43200.0
2011-10-19,240.0,236.0,236.0,236.0,0.0,100,23600.0
2011-10-13,240.0,240.0,240.0,240.0,0.0,40,9600.0
2011-09-29,240.0,240.0,240.0,240.0,0.0,150,36000.0
2011-09-27,236.0,244.0,240.0,240.0,0.0,1092,265328.0
2011-09-21,236.0,236.0,235.0,236.0,0.0,252,59295.0
2011-09-20,240.0,236.0,236.0,236.0,0.0,18,4248.0
2011-09-15,245.0,244.0,240.0,240.0,0.0,253,61600.0
2011-09-14,249.0,245.0,245.0,245.0,0.0,75,18375.0
2011-09-08,260.0,255.0,249.0,249.0,0.0,333,83935.0
2011-09-07,255.0,260.0,255.0,260.0,0.0,170,43600.0
