date,open,high,low,ltp,percent_change,qty,turnover
2026-05-08,181.4,181.4,181.4,181.4,-2.99,9000,1632600.0
2026-04-09,187.0,187.0,187.0,187.0,0.0,5275,986425.0
2026-02-25,187.0,187.0,187.0,187.0,0.0,2437,455719.0
2026-01-21,187.0,187.0,187.0,187.0,0.0,13510,2526370.0
2025-12-31,187.0,187.0,187.0,187.0,0.0,4278,799986.0
2025-11-20,187.0,187.0,187.0,187.0,0.0,3482,651134.0
2025-11-18,187.0,187.0,187.0,187.0,0.0,1862,348194.0
2025-11-17,187.0,187.0,187.0,187.0,0.0,5225,977075.0
2025-10-08,187.0,187.0,187.0,187.0,0.0,21821,4080527.0
2025-06-24,187.0,187.0,187.0,187.0,0.0,5533,1034671.0
2025-05-20,187.0,187.0,187.0,187.0,0.0,11184,2091408.0
2025-05-14,187.0,187.0,187.0,187.0,0.0,93185,17425595.0
2025-04-03,187.0,187.0,187.0,187.0,0.0,12404,2319548.0
2025-02-23,188.3,188.3,188.3,188.3,0.0,900,169470.0
2025-01-21,196.0,196.0,188.3,188.3,-5.85,37275,7018997.5
2025-01-12,200.0,200.0,200.0,200.0,-1.96,49000,9800000.0
2024-12-03,204.0,204.0,204.0,204.0,0.0,3728,760512.0
2024-11-17,204.0,204.0,204.0,204.0,0.0,746,152184.0
2024-08-25,144.0,144.0,144.0,144.0,0.0,1930,277920.0
2024-06-23,144.0,144.0,144.0,144.0,-0.07,3727,536688.0
2024-06-20,144.1,144.1,144.1,144.1,-1.97,3483,501900.3
2024-06-19,147.0,147.0,147.0,147.0,0.0,2000,294000.0
2024-05-14,147.0,147.0,147.0,147.0,-2.0,360592,53007024.0
2024-05-13,150.0,150.0,150.0,150.0,-1.32,430000,64500000.0
2024-03-18,152.0,152.0,152.0,152.0,0.0,4955,753160.0
2024-01-29,152.0,152.0,152.0,152.0,0.0,8097,1230744.0
2024-01-09,152.0,152.0,152.0,152.0,0.0,135004,20520608.0
2024-01-03,152.0,152.0,152.0,152.0,0.0,6564,997728.0
2023-12-24,152.0,152.0,152.0,152.0,0.0,73780,11214560.0
2023-12-17,152.0,152.0,152.0,152.0,0.0,6139,933128.0
2023-11-21,152.0,152.0,152.0,152.0,0.07,5000,760000.0
2023-11-05,151.9,151.9,151.9,151.9,0.0,1867,283597.3
2023-09-13,151.9,151.9,151.9,151.9,-2.0,100000,15190000.0
2023-08-28,155.0,155.0,155.0,155.0,0.0,1572,243660.0
2023-08-17,155.0,155.0,155.0,155.0,0.0,3731,578305.0
2023-08-02,154.0,155.0,154.0,155.0,0.65,14319,2210126.0
2023-07-31,154.0,154.0,154.0,154.0,-1.91,3236,498344.0
2023-07-16,157.0,157.0,157.0,157.0,0.0,25000,3925000.0
2023-07-10,157.0,157.0,157.0,157.0,0.0,10000,1570000.0
2023-04-06,165.0,165.0,165.0,165.0,0.0,1318,217470.0
2023-03-23,165.0,165.0,165.0,165.0,0.0,200000,33000000.0
2023-02-09,165.0,165.0,165.0,165.0,0.0,25000,4125000.0
2023-02-08,165.0,165.0,165.0,165.0,0.0,6488,1070520.0
2022-09-21,160.0,160.0,160.0,160.0,0.0,7563,1210080.0
2022-09-20,160.0,160.0,160.0,160.0,0.0,80000,12800000.0
2022-09-18,160.0,160.0,160.0,160.0,0.0,11761,1881760.0
2022-08-28,160.0,160.0,160.0,160.0,0.0,16529,2644640.0
2022-08-09,160.0,160.0,160.0,160.0,0.0,60639,9702240.0
2022-07-25,160.0,160.0,160.0,160.0,0.0,6622,1059520.0
2022-07-17,160.0,160.0,160.0,160.0,0.0,7335,1173600.0
2022-06-29,160.0,160.0,160.0,160.0,0.0,52589,8414240.0
2022-04-25,220.0,220.0,220.0,220.0,0.0,11023,2425060.0
2022-04-24,220.0,220.0,220.0,220.0,0.0,6591,1450020.0
2022-03-02,220.0,220.0,220.0,220.0,0.0,3134,689480.0
2021-12-27,146.0,146.0,146.0,146.0,0.0,12000,1752000.0
2021-12-22,146.0,146.0,146.0,146.0,0.0,105000,15765110.0
2021-12-15,146.0,146.0,146.0,146.0,0.0,9782,1428172.0
2021-11-28,146.0,146.0,146.0,146.0,0.0,21176,3091696.0
2021-11-23,146.0,146.0,146.0,146.0,0.0,29250,4387500.0
2021-10-28,146.0,146.0,146.0,146.0,0.0,5000,730000.0
2021-10-27,146.0,146.0,146.0,146.0,0.0,23846,3481516.0
2021-10-26,146.0,146.0,146.0,146.0,0.0,27000,3942000.0
2021-10-25,146.0,146.0,146.0,146.0,0.0,34144,4985024.0
2021-08-25,146.0,146.0,146.0,146.0,0.0,36541,5334986.0
2021-07-12,146.0,146.0,146.0,146.0,0.0,10104,1475184.0
2021-07-05,146.0,146.0,146.0,146.0,0.0,2282,333172.0
2021-06-21,146.0,146.0,146.0,146.0,0.0,4889,713794.0
2021-06-20,146.0,146.0,146.0,146.0,0.0,11409,1665714.0
2021-06-08,146.0,146.0,146.0,146.0,-0.68,26933,3932218.0
2021-04-20,147.0,147.0,147.0,147.0,-1.34,22824,3355128.0
2021-01-10,111.0,111.0,111.0,111.0,0.0,189614,21047154.0
2021-01-07,111.0,111.0,111.0,111.0,-1.77,22000,2442000.0
2021-01-06,113.0,113.0,113.0,113.0,0.0,599345,67725985.0
2020-12-31,113.0,113.0,113.0,113.0,0.0,31000,3503000.0
2020-12-28,113.0,113.0,113.0,113.0,1.8,31586,3569218.0
2020-12-24,111.0,111.0,111.0,111.0,0.0,2744,304584.0
2020-12-16,111.0,111.0,111.0,111.0,0.0,6193,687423.0
2020-12-02,111.0,111.0,111.0,111.0,0.0,948,105228.0
2020-11-01,111.0,111.0,111.0,111.0,0.0,9052,1004772.0
2020-10-21,111.0,111.0,111.0,111.0,0.0,3159,350649.0
2020-10-20,111.0,111.0,111.0,111.0,0.0,90000,9990000.0
2020-10-15,111.0,111.0,111.0,111.0,0.0,1580,175380.0
2020-10-13,111.0,111.0,111.0,111.0,0.0,2565,284715.0
2020-10-11,111.0,111.0,111.0,111.0,0.0,6316,701076.0
2020-10-08,111.0,111.0,111.0,111.0,0.0,2368,262848.0
2020-09-28,111.0,111.0,111.0,111.0,0.0,22109,2454099.0
2020-07-30,111.0,111.0,111.0,111.0,0.0,29128,3233208.0
2020-07-22,111.0,111.0,111.0,111.0,0.0,10000,1110000.0
2020-07-05,111.0,111.0,111.0,111.0,-1.77,35424,3932064.0
2020-05-12,113.0,113.0,113.0,113.0,0.0,8000,904000.0
2020-03-11,113.0,113.0,113.0,113.0,0.0,13100,1480300.0
2020-02-03,113.0,113.0,113.0,113.0,0.0,2093,236509.0
2019-12-31,113.0,113.0,113.0,113.0,0.0,120000,13560000.0
2019-12-26,113.0,113.0,113.0,113.0,0.0,27000,3051000.0
2019-12-22,113.0,113.0,113.0,113.0,0.0,100000,11300000.0
2019-12-08,113.0,113.0,113.0,113.0,0.0,10000,1130000.0
2019-11-25,113.0,113.0,113.0,113.0,0.0,40000,4520000.0
2019-11-20,113.0,113.0,113.0,113.0,0.0,6241,705233.0
2019-11-06,113.0,113.0,113.0,113.0,0.0,19304,2181352.0
2019-10-02,113.0,113.0,113.0,113.0,0.0,7133,806029.0
2019-09-29,113.0,113.0,113.0,113.0,0.0,10000,1130000.0
2019-09-25,113.0,113.0,113.0,113.0,0.0,14007,1582791.0
2019-09-24,113.0,113.0,113.0,113.0,0.0,51418,5810232.0
2019-09-09,113.0,113.0,113.0,113.0,0.0,4500,508500.0
2019-08-11,113.0,113.0,113.0,113.0,0.0,1673,189049.0
2019-07-23,113.0,113.0,113.0,113.0,0.0,15680,1771840.0
2019-02-17,113.0,113.0,113.0,113.0,0.0,6746,762298.0
2018-09-30,113.0,113.0,113.0,113.0,0.0,54452,6153076.0
2018-09-18,113.0,113.0,113.0,113.0,0.0,17608,1989704.0
2018-09-04,113.0,113.0,113.0,113.0,0.0,4179,472227.0
2018-08-09,113.0,113.0,113.0,113.0,0.0,17652,1994676.0
2018-08-07,113.0,113.0,113.0,113.0,0.0,21344,2411872.0
2018-07-16,113.0,113.0,113.0,113.0,0.0,11464,1295432.0
2018-06-13,113.0,113.0,113.0,113.0,0.0,44514,5030082.0
2018-06-12,113.0,113.0,113.0,113.0,0.0,67804,7661852.0
2018-05-22,113.0,113.0,113.0,113.0,0.0,13156,1486628.0
2018-05-21,113.0,113.0,113.0,113.0,0.0,148306,16758578.0
2018-05-20,113.0,113.0,113.0,113.0,0.0,37856,4277728.0
2018-05-14,113.0,113.0,113.0,113.0,0.0,24927,2816751.0
2017-12-28,120.0,120.0,120.0,120.0,0.0,221790,26614800.0
2017-12-26,120.0,120.0,120.0,120.0,0.0,20000,2400000.0
2017-12-21,120.0,120.0,120.0,120.0,0.0,79377,9525240.0
2017-11-19,120.0,120.0,120.0,120.0,0.0,60000,7200000.0
2017-10-31,120.0,120.0,120.0,120.0,0.0,120000,14400000.0
2017-10-30,120.0,120.0,120.0,120.0,0.0,207000,24840000.0
2017-10-29,120.0,120.0,120.0,120.0,0.0,30697,3683640.0
2017-07-10,167.0,164.0,164.0,164.0,0.0,7286,1194904.0
2017-04-26,170.0,167.0,167.0,167.0,0.0,28195,4708565.0
2017-04-25,170.0,170.0,170.0,170.0,0.0,17928,3047760.0
2017-02-09,170.0,170.0,170.0,170.0,0.0,3351,569670.0
2017-01-04,170.0,170.0,170.0,170.0,0.0,2480,421600.0
2017-01-03,170.0,170.0,170.0,170.0,0.0,41345,7028650.0
2016-12-27,170.0,170.0,170.0,170.0,0.0,89209,15165530.0
2016-11-29,170.0,170.0,170.0,170.0,0.0,15427,2622590.0
2015-10-19,100.0,100.0,100.0,100.0,0.0,33681,3368100.0
2015-10-04,100.0,100.0,100.0,100.0,0.0,15139,1513900.0
2015-07-09,100.0,100.0,100.0,100.0,0.0,20000,2000000.0
2015-04-09,100.0,100.0,100.0,100.0,0.0,2000,200000.0
2015-04-08,100.0,100.0,100.0,100.0,0.0,48816,4881600.0
2015-04-07,100.0,100.0,100.0,100.0,0.0,43560,4356000.0
2015-03-31,100.0,100.0,100.0,100.0,0.0,23844,2384400.0
2014-09-15,100.0,100.0,100.0,100.0,0.0,200,20000.0
2014-07-01,100.0,100.0,100.0,100.0,0.0,35250,3525000.0
2014-04-30,100.0,100.0,100.0,100.0,0.0,14000,1400000.0
2014-04-23,100.0,100.0,100.0,100.0,0.0,16500,1650000.0
2014-04-20,100.0,100.0,100.0,100.0,0.0,1000,100000.0
2014-03-25,100.0,100.0,100.0,100.0,0.0,12000,1200000.0
2014-03-24,100.0,100.0,100.0,100.0,0.0,6250,625000.0
2014-03-03,100.0,100.0,100.0,100.0,0.0,5000,500000.0
2013-12-04,100.0,100.0,100.0,100.0,0.0,500,50000.0
2013-10-27,0.0,100.0,100.0,100.0,0.0,5000,500000.0
