date,open,high,low,ltp,percent_change,qty,turnover
2019-03-07,138.0,146.0,138.0,146.0,7.35,6250,891050.0
2019-03-06,129.0,136.0,129.0,136.0,4.62,2097,281869.0
2019-03-05,131.0,131.0,129.0,130.0,0.78,1596,208776.0
2019-03-03,131.0,131.0,129.0,129.0,-3.01,250,32650.0
2019-02-27,131.0,135.0,131.0,133.0,0.0,1310,174610.0
2019-02-26,134.0,134.0,133.0,133.0,-2.21,2763,367489.0
2019-02-25,136.0,136.0,136.0,136.0,-0.73,800,108800.0
2019-02-24,136.0,137.0,135.0,137.0,1.48,6591,895476.0
2019-02-21,136.0,136.0,135.0,135.0,0.75,2366,320410.0
2019-02-20,132.0,134.0,132.0,134.0,3.08,7472,996632.0
2019-02-19,132.0,132.0,128.0,130.0,0.0,2597,338266.0
2019-02-14,131.0,131.0,129.0,130.0,-2.26,9280,1208937.0
2019-02-13,139.0,139.0,133.0,133.0,-5.67,350,47190.0
2019-02-12,133.0,141.0,133.0,141.0,7.63,8001,1088417.0
2019-02-11,128.0,131.0,128.0,131.0,1.55,945,123305.0
2019-02-10,128.0,129.0,128.0,129.0,-0.77,1902,244156.0
2019-02-07,130.0,130.0,130.0,130.0,0.0,4900,637000.0
2019-02-06,128.0,130.0,127.0,130.0,0.0,3644,466621.0
2019-02-05,132.0,132.0,130.0,130.0,-2.26,2308,301631.0
2019-02-04,133.0,134.0,133.0,133.0,0.76,291,38724.0
2019-02-03,132.0,134.0,130.0,132.0,1.54,6237,820359.0
2019-01-31,130.0,130.0,129.0,130.0,1.56,2851,370330.0
2019-01-30,127.0,130.0,127.0,128.0,-0.78,5429,701283.0
2019-01-29,129.0,130.0,129.0,129.0,-0.77,4238,548134.0
2019-01-28,128.0,130.0,128.0,130.0,0.78,10277,1332227.0
2019-01-27,128.0,130.0,128.0,129.0,0.78,9350,1209988.0
2019-01-24,128.0,129.0,126.0,128.0,0.0,9206,1176183.0
2019-01-23,129.0,129.0,128.0,128.0,-1.54,2000,256500.0
2019-01-22,130.0,130.0,130.0,130.0,1.56,500,65000.0
2019-01-21,129.0,129.0,127.0,128.0,-0.78,3771,482638.0
2019-01-20,129.0,130.0,128.0,129.0,-0.77,1345,174011.0
2019-01-17,130.0,132.0,128.0,130.0,1.56,10051,1304650.0
2019-01-16,127.0,128.0,127.0,128.0,1.59,2144,273732.0
2019-01-15,126.0,128.0,126.0,126.0,-1.56,2695,341070.0
2019-01-14,126.0,128.0,126.0,128.0,1.59,8687,1100082.0
2019-01-13,124.0,126.0,124.0,126.0,0.0,9165,1140340.0
2019-01-10,120.0,126.0,120.0,126.0,5.0,7711,951742.0
2019-01-09,119.0,120.0,119.0,120.0,1.69,620,74280.0
2019-01-08,116.0,118.0,116.0,118.0,0.0,2765,323440.0
2019-01-07,114.0,118.0,114.0,118.0,2.61,5960,689580.0
2019-01-06,113.0,119.0,113.0,115.0,3.6,5851,687085.0
2019-01-03,113.0,115.0,111.0,111.0,-0.89,2289,260128.0
2019-01-02,110.0,112.0,110.0,112.0,1.82,8491,946642.0
2019-01-01,108.0,116.0,107.0,110.0,3.77,46753,5264112.0
2018-12-31,104.0,106.0,103.0,106.0,3.92,19958,2091710.0
2018-12-30,102.0,103.0,102.0,102.0,2.0,3570,365910.0
2018-12-27,100.0,102.0,100.0,100.0,1.01,5400,544700.0
2018-12-26,98.0,99.0,98.0,99.0,2.06,1290,126710.0
2018-12-18,97.0,97.0,97.0,97.0,-1.02,125,12125.0
