date,open,high,low,ltp,percent_change,qty,turnover
2024-09-10,349.0,349.0,349.0,349.0,0.0,3000,1047000.0
2024-06-27,305.0,305.0,305.0,305.0,0.0,25000,7625000.0
2024-04-10,200.0,200.0,200.0,200.0,-0.99,21000,4200000.0
2024-03-10,202.0,202.0,202.0,202.0,2.02,4000,808000.0
2023-08-24,198.0,198.0,198.0,198.0,0.0,58000,11484000.0
2023-02-01,237.0,237.0,237.0,237.0,0.0,1500,355500.0
2022-04-13,253.0,253.0,253.0,253.0,0.0,10000,2530000.0
2021-11-17,352.0,352.0,352.0,352.0,0.0,100000,35200000.0
2021-11-03,352.0,352.0,352.0,352.0,0.0,11264,3964928.0
2013-09-29,222.0,222.0,222.0,222.0,0.0,5625,1248750.0
2012-08-07,222.0,222.0,222.0,222.0,0.0,5000,1110000.0
2011-04-10,226.0,222.0,222.0,222.0,0.0,2775,616050.0
2011-03-24,130.0,226.0,226.0,226.0,0.0,2000,452000.0
