date,open,high,low,ltp,percent_change,qty,turnover
2016-01-14,377.0,384.0,384.0,384.0,0.0,45,17280.0
2016-01-13,370.0,377.0,377.0,377.0,0.0,90,33930.0
2016-01-06,370.0,370.0,370.0,370.0,0.0,519,192030.0
2015-12-20,448.0,448.0,448.0,448.0,0.0,455,203840.0
2015-10-28,448.0,448.0,440.0,448.0,0.0,120,53160.0
2015-09-15,440.0,448.0,448.0,448.0,0.0,234,104832.0
2015-07-29,440.0,440.0,440.0,440.0,0.0,107,47080.0
2015-07-23,408.0,440.0,416.0,440.0,0.0,1001,432048.0
2015-07-22,400.0,408.0,408.0,408.0,0.0,10,4080.0
2015-07-16,400.0,402.0,400.0,400.0,0.0,725,290188.0
2015-07-15,432.0,424.0,392.0,400.0,0.0,871,348129.0
2015-07-13,448.0,440.0,432.0,432.0,0.0,40,17440.0
2015-03-30,445.0,448.0,448.0,448.0,0.0,275,123200.0
2015-03-16,454.0,445.0,445.0,445.0,0.0,300,133500.0
2015-03-15,424.0,454.0,430.0,454.0,0.0,140,62840.0
2015-03-12,395.0,424.0,400.0,424.0,0.0,1088,450962.0
2015-03-11,397.0,395.0,395.0,395.0,0.0,91,35945.0
2015-03-09,390.0,397.0,397.0,397.0,0.0,10,3970.0
2015-03-04,395.0,390.0,390.0,390.0,0.0,500,195000.0
2015-02-24,403.0,395.0,395.0,395.0,0.0,10,3950.0
2015-02-22,402.0,403.0,403.0,403.0,0.0,200,80600.0
2015-02-18,413.0,410.0,402.0,402.0,0.0,55,22470.0
2015-02-16,421.0,421.0,413.0,413.0,0.0,175,73355.0
2015-02-12,437.0,429.0,421.0,421.0,0.0,65,27525.0
2015-02-11,399.0,437.0,403.0,437.0,0.0,240,100860.0
2015-02-03,392.0,399.0,399.0,399.0,0.0,20,7980.0
2015-02-02,378.0,392.0,385.0,392.0,0.0,20,7770.0
2015-01-29,357.0,378.0,364.0,378.0,0.0,30,11130.0
2015-01-28,326.0,357.0,332.0,357.0,0.0,50,17210.0
2015-01-27,297.0,326.0,302.0,326.0,0.0,464,150556.0
2015-01-25,277.0,297.0,282.0,297.0,0.0,75,21975.0
2015-01-22,272.0,277.0,277.0,277.0,0.0,363,100551.0
2015-01-19,257.0,272.0,262.0,272.0,0.0,30,8010.0
2014-12-22,305.0,300.0,300.0,300.0,0.0,1088,326400.0
2014-10-20,311.0,305.0,305.0,305.0,0.0,774,236070.0
2014-10-16,317.0,311.0,311.0,311.0,0.0,180,55980.0
2014-09-14,347.0,341.0,317.0,317.0,0.0,50,16450.0
2014-09-04,354.0,347.0,347.0,347.0,0.0,10,3470.0
2014-08-06,342.0,354.0,348.0,354.0,0.0,120,42420.0
2014-08-05,344.0,348.0,342.0,342.0,0.0,753,261453.0
2014-08-04,314.0,344.0,320.0,344.0,0.0,1188,405924.0
2014-08-03,287.0,314.0,292.0,314.0,0.0,150,46530.0
2014-07-31,267.0,287.0,272.0,287.0,0.0,414,115713.0
2014-07-30,245.0,267.0,257.0,267.0,0.0,40,10430.0
2014-07-28,233.0,245.0,237.0,245.0,0.0,30,7230.0
2014-07-27,213.0,233.0,217.0,233.0,0.0,50,11250.0
2014-07-24,205.0,213.0,209.0,213.0,0.0,244,51916.0
2014-07-23,187.0,205.0,196.0,205.0,0.0,49,9838.0
2014-07-21,178.0,187.0,181.0,187.0,0.0,30,5520.0
2014-07-20,163.0,178.0,166.0,178.0,0.0,50,8600.0
2014-07-17,160.0,163.0,163.0,163.0,0.0,10,1630.0
2014-07-16,151.0,160.0,154.0,160.0,0.0,30,4710.0
2014-07-15,141.0,151.0,143.0,151.0,0.0,50,7350.0
2014-07-13,129.0,141.0,131.0,141.0,0.0,60,8160.0
2014-07-10,123.0,129.0,125.0,129.0,0.0,30,3810.0
2014-07-09,118.0,123.0,123.0,123.0,0.0,10,1230.0
2014-07-08,113.0,118.0,118.0,118.0,0.0,10,1180.0
2014-07-06,111.0,113.0,113.0,113.0,0.0,888,100344.0
2014-04-28,109.0,111.0,111.0,111.0,0.0,135,14985.0
2014-04-06,107.0,109.0,109.0,109.0,0.0,99,10791.0
2014-03-31,105.0,107.0,107.0,107.0,0.0,372,39804.0
2014-03-05,105.0,105.0,105.0,105.0,0.0,3361,352905.0
2014-02-18,101.0,105.0,103.0,105.0,0.0,744,77376.0
2013-10-29,105.0,105.0,105.0,105.0,0.0,64,6720.0
2013-10-27,105.0,105.0,105.0,105.0,0.0,45,4725.0
2013-10-17,100.0,105.0,105.0,105.0,0.0,1188,124740.0
