date,open,high,low,ltp,percent_change,qty,turnover
2020-02-09,277.0,290.0,274.0,283.0,3.28,10350,2906796.0
2020-02-06,265.0,280.0,265.0,274.0,1.48,13886,3828668.0
2020-02-05,265.0,280.0,260.0,270.0,0.0,2978,804080.0
2020-02-04,268.0,275.0,268.0,270.0,0.75,12507,3408064.0
2020-02-03,264.0,268.0,263.0,268.0,-0.37,6328,1680904.0
2020-02-02,264.0,269.0,264.0,269.0,0.75,1908,504592.0
2020-01-30,263.0,267.0,258.0,267.0,-0.37,6100,1615570.0
2020-01-29,255.0,268.0,251.0,268.0,3.08,4140,1048930.0
2020-01-28,255.0,267.0,255.0,260.0,0.78,9692,2532762.0
2020-01-27,244.0,258.0,244.0,258.0,4.03,5700,1424770.0
2020-01-26,251.0,255.0,246.0,248.0,-3.13,3961,980516.0
2020-01-23,243.0,266.0,242.0,256.0,4.07,2051,525466.0
2020-01-22,264.0,265.0,240.0,246.0,-7.52,6372,1608544.0
2020-01-21,270.0,274.0,261.0,266.0,-3.27,4330,1144720.0
2020-01-20,285.0,285.0,275.0,275.0,-5.17,210,59350.0
2020-01-19,296.0,298.0,285.0,290.0,-1.02,3126,906595.0
2020-01-16,283.0,293.0,274.0,293.0,5.4,7864,2205006.0
2020-01-15,268.0,278.0,263.0,278.0,5.7,32404,8701328.0
2020-01-14,252.0,263.0,252.0,263.0,6.05,3060,784722.0
2020-01-13,245.0,256.0,243.0,248.0,2.9,7480,1831270.0
2020-01-12,236.0,241.0,236.0,241.0,3.43,2810,669010.0
2020-01-09,226.0,233.0,226.0,233.0,1.75,2819,653754.0
2020-01-08,225.0,231.0,223.0,229.0,0.0,3506,796090.0
2020-01-07,224.0,229.0,223.0,229.0,4.09,2453,551212.0
2020-01-06,224.0,225.0,220.0,220.0,-1.79,2420,536380.0
2020-01-05,210.0,224.0,210.0,224.0,7.18,6881,1508272.0
2020-01-02,209.0,209.0,209.0,209.0,-0.48,100,20900.0
2020-01-01,210.0,210.0,210.0,210.0,-1.87,60,12600.0
2019-12-31,215.0,217.0,213.0,214.0,-10.08,1980,425420.0
2019-12-30,235.0,238.0,226.0,238.0,-0.42,8512,1979056.0
2019-12-29,232.0,239.0,230.0,239.0,4.82,19425,4551732.0
2019-12-26,230.0,242.0,224.0,228.0,0.88,27659,6388696.0
2019-12-25,210.0,226.0,210.0,226.0,9.71,24874,5526221.0
2019-12-24,191.0,206.0,191.0,206.0,9.57,2293,455506.0
2019-12-23,188.0,191.0,188.0,188.0,1.62,160,30380.0
2019-12-22,182.0,185.0,182.0,185.0,0.0,69,12675.0
2019-12-15,185.0,185.0,185.0,185.0,-1.6,4000,740000.0
2019-12-12,191.0,191.0,188.0,188.0,-2.59,72,13652.0
2019-12-10,193.0,193.0,193.0,193.0,1.58,34,6562.0
2019-12-09,184.0,190.0,184.0,190.0,4.97,332,62090.0
2019-12-08,172.0,181.0,172.0,181.0,7.1,60,10650.0
2019-12-04,169.0,169.0,169.0,169.0,-0.59,163,27547.0
2019-12-02,170.0,170.0,170.0,170.0,0.59,153,26010.0
