date,open,high,low,ltp,percent_change,qty,turnover
2019-07-04,243.0,243.0,235.0,238.0,-0.83,24723,5899320.0
2019-07-03,232.0,240.0,232.0,240.0,2.13,12302,2887051.0
2019-07-02,235.0,235.0,231.0,235.0,-1.67,2291,537039.0
2019-07-01,228.0,239.0,228.0,239.0,3.46,1209,282302.0
2019-06-30,231.0,231.0,230.0,231.0,-0.86,2175,501425.0
2019-06-27,232.0,237.0,232.0,233.0,-0.85,4063,948750.0
2019-06-26,232.0,235.0,232.0,235.0,1.73,7928,1855916.0
2019-06-25,234.0,234.0,230.0,231.0,-1.28,48676,11248838.0
2019-06-24,234.0,235.0,233.0,234.0,-0.43,4791,1118925.0
2019-06-23,235.0,237.0,234.0,235.0,0.0,8580,2020418.0
2019-06-20,236.0,237.0,234.0,235.0,-0.84,18011,4241681.0
2019-06-19,237.0,238.0,236.0,237.0,0.85,6359,1509332.0
2019-06-18,236.0,236.0,234.0,235.0,0.0,6629,1558475.0
2019-06-17,235.0,235.0,232.0,235.0,0.43,10474,2446378.0
2019-06-16,233.0,234.0,232.0,234.0,-1.27,20766,4835478.0
2019-06-13,233.0,237.0,231.0,237.0,1.28,26051,6121931.0
2019-06-12,232.0,235.0,232.0,234.0,0.0,7000,1632492.0
2019-06-11,239.0,239.0,232.0,234.0,-0.43,18689,4363407.0
2019-06-10,240.0,241.0,234.0,235.0,-1.26,32740,7769392.0
2019-06-06,245.0,252.0,236.0,238.0,-1.24,175481,42308116.0
2019-06-04,235.0,245.0,235.0,241.0,3.43,89864,21670784.0
2019-06-03,234.0,238.0,232.0,233.0,-1.69,27442,6436625.0
2019-06-02,227.0,243.0,226.0,237.0,3.04,93387,22194478.0
2019-05-30,241.0,249.0,230.0,230.0,0.0,39011,9254309.0
2019-05-29,230.0,231.0,229.0,230.0,1.32,10304,2372273.0
2019-05-28,226.0,227.0,224.0,227.0,0.44,4350,979115.0
2019-05-27,224.0,226.0,223.0,226.0,0.44,1150,257600.0
