date,open,high,low,ltp,percent_change,qty,turnover
2019-06-30,128.0,128.0,128.0,128.0,0.0,10000,1280000.0
2019-06-25,128.0,128.0,128.0,128.0,11.3,3300,422400.0
2019-03-19,115.0,115.0,115.0,115.0,-16.06,12577,1446355.0
2018-09-18,137.0,137.0,137.0,137.0,0.0,7467,1022979.0
2018-08-22,137.0,137.0,137.0,137.0,0.0,25155,3446235.0
2018-07-10,137.0,137.0,137.0,137.0,0.0,13160,1802920.0
2018-05-20,137.0,137.0,137.0,137.0,0.0,6713,919681.0
2018-01-29,186.0,186.0,186.0,186.0,0.0,36250,6742500.0
2017-11-15,186.0,186.0,186.0,186.0,0.0,8783,1633638.0
2017-11-09,186.0,186.0,186.0,186.0,0.0,7636,1420296.0
2017-11-07,189.0,186.0,186.0,186.0,0.0,40000,7440000.0
2017-10-17,186.0,189.0,189.0,189.0,0.0,51757,9782073.0
2017-09-10,186.0,186.0,186.0,186.0,0.0,10000,1860000.0
2017-09-06,186.0,186.0,186.0,186.0,0.0,715,132990.0
2017-08-07,184.0,186.0,186.0,186.0,0.0,6582,1224252.0
2016-12-28,358.0,358.0,358.0,358.0,0.0,15770,5645660.0
2016-12-27,357.0,358.0,358.0,358.0,0.0,54942,19669236.0
2016-12-26,350.0,357.0,357.0,357.0,0.0,5266,1879962.0
2016-11-20,350.0,350.0,350.0,350.0,0.0,10000,3500000.0
2016-10-06,350.0,350.0,350.0,350.0,0.0,10000,3500000.0
2016-09-11,350.0,350.0,350.0,350.0,0.0,11700,4095000.0
2016-09-07,350.0,350.0,350.0,350.0,0.0,16400,5740000.0
2014-06-25,176.0,176.0,176.0,176.0,0.0,7019,1235344.0
2014-03-26,176.0,176.0,176.0,176.0,0.0,20100,3537600.0
2014-03-10,176.0,176.0,176.0,176.0,0.0,16370,2881120.0
2014-03-06,176.0,176.0,176.0,176.0,0.0,17619,3100944.0
2014-02-25,176.0,176.0,176.0,176.0,0.0,6050,1064800.0
2014-01-26,176.0,176.0,176.0,176.0,0.0,4000,704000.0
2013-12-22,176.0,176.0,176.0,176.0,0.0,23000,4048000.0
