date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1288.3,1288.3,1288.3,1216.0,-5.61,3,3716.0
2026-04-29,1455.0,1455.0,1288.3,1288.3,-11.46,16,21100.2
2026-04-28,1500.0,1500.0,1500.0,1455.0,-3.0,5,7275.0
2026-02-05,1500.0,1500.0,1500.0,1500.0,0.0,85000,127500000.0
2026-01-26,1470.0,1500.0,1470.0,1500.0,0.33,15023,22533810.0
2025-11-05,1495.0,1495.0,1495.0,1495.0,0.0,1,1495.0
2025-10-13,1382.1,1495.0,1382.1,1495.0,6.01,165802,244523345.0
2025-08-13,1439.0,1439.0,1439.0,1410.3,-1.99,1,1410.3
2025-07-20,1439.0,1439.0,1439.0,1439.0,1.85,10,14390.0
2025-07-16,1310.0,1412.9,1310.0,1412.9,10.0,368,498693.9
2025-07-15,1220.2,1320.0,1220.2,1284.47,5.27,350,447670.1
2025-07-14,1153.6,1235.0,1153.6,1220.2,5.77,50,60688.5
2025-07-13,1131.0,1131.0,1131.0,1153.6,2.0,5,5768.0
2025-07-10,1131.0,1131.0,1131.0,1131.0,-1.61,25,28275.0
2025-07-03,1127.0,1127.0,1127.0,1149.5,2.0,5,5747.5
2025-06-10,1135.0,1135.0,1128.0,1127.0,-0.56,100,113266.0
2025-06-09,1133.3,1133.3,1133.3,1133.3,-2.0,26,29465.8
2025-06-05,1156.4,1156.4,1156.4,1156.4,-2.0,55,63602.0
2025-05-26,1159.0,1180.0,1159.0,1180.0,-0.17,125,146975.0
2025-05-15,1182.0,1182.0,1182.0,1182.0,0.77,35,41370.0
2025-05-05,1173.0,1173.0,1173.0,1173.0,0.0,44,51612.0
2025-04-29,1173.0,1173.0,1173.0,1173.0,2.0,30,35190.0
2025-04-27,1150.0,1150.0,1150.0,1150.0,1.41,25,28750.0
2025-04-23,1134.0,1134.0,1134.0,1134.0,1.49,15,17010.0
2025-04-20,1117.4,1117.4,1117.4,1117.4,-1.98,40,44696.0
2025-04-15,1140.0,1140.0,1140.0,1140.0,0.0,25,28500.0
2025-04-07,1140.0,1140.0,1140.0,1140.0,1.89,25,28500.0
2025-04-02,1118.9,1118.9,1118.9,1118.9,-0.29,50,55945.0
2025-04-01,1118.0,1118.0,1118.0,1122.1,0.37,1,1122.1
2025-03-30,1117.0,1117.0,1117.0,1118.0,0.09,1,1118.0
2025-03-27,1120.0,1120.0,1117.0,1117.0,0.08,87,97410.0
2025-03-26,1115.4,1115.4,1115.4,1116.1,0.06,1,1116.1
2025-03-25,1115.0,1115.0,1115.0,1115.4,0.04,1,1115.4
2025-03-24,1113.2,1113.2,1113.2,1115.0,0.16,1,1115.0
2025-03-23,1118.0,1118.0,1118.0,1113.2,-0.43,1,1113.2
2025-03-17,1118.0,1118.0,1118.0,1118.0,0.54,1,1118.0
2025-03-16,1112.0,1112.0,1112.0,1112.0,-1.55,25,27800.0
2025-03-06,1129.0,1129.5,1129.0,1129.5,-1.95,50,56462.5
2025-03-04,1152.0,1152.0,1152.0,1152.0,0.17,105,120960.0
2025-02-23,1150.0,1150.0,1150.0,1150.0,2.4,30,34486.2
