date,open,high,low,ltp,percent_change,qty,turnover
2016-07-25,150.0,153.0,153.0,153.0,0.0,56250,8606250.0
2016-06-30,150.0,150.0,150.0,150.0,0.0,38220,5733000.0
2016-05-16,138.0,150.0,140.0,150.0,0.0,130642,19097050.0
2016-04-25,144.0,142.0,138.0,138.0,0.0,113685,16035480.0
2014-07-03,100.0,0.0,0.0,100.0,0.0,39375,1699819.0
2014-04-02,100.0,0.0,0.0,100.0,0.0,56250,1968750.0
2013-10-28,100.0,100.0,100.0,100.0,0.0,61875,6187500.0
2013-07-22,100.0,100.0,100.0,100.0,0.0,100000,10000000.0
2013-07-15,100.0,0.0,0.0,100.0,0.0,71500,2098145.0
2013-07-07,100.0,100.0,100.0,100.0,0.0,90000,9000000.0
2013-07-03,100.0,100.0,100.0,100.0,0.0,13750,1375000.0
2013-06-27,0.0,100.0,100.0,100.0,0.0,68750,6875000.0
