date,open,high,low,ltp,percent_change,qty,turnover
2019-01-17,186.0,186.0,180.0,180.0,-4.76,2200,402873.0
2019-01-16,195.0,195.0,189.0,189.0,-3.08,1727,328979.0
2019-01-15,197.0,197.0,195.0,195.0,-1.02,740,144370.0
2019-01-14,198.0,198.0,197.0,197.0,-1.5,185,36495.0
2019-01-13,200.0,201.0,200.0,200.0,-1.48,345,69100.0
2019-01-09,209.0,209.0,203.0,203.0,-1.93,452,92540.0
2019-01-08,204.0,207.0,203.0,207.0,0.0,266,54174.0
2019-01-07,206.0,207.0,206.0,207.0,-0.48,378,77986.0
2019-01-06,212.0,212.0,208.0,208.0,-1.89,2978,630136.0
2019-01-03,215.0,215.0,209.0,212.0,-2.75,1095,231895.0
2019-01-01,213.0,218.0,213.0,218.0,0.46,231,49853.0
2018-12-31,219.0,219.0,217.0,217.0,-0.46,830,181370.0
2018-12-30,236.0,236.0,218.0,218.0,-9.45,460,104180.0
2018-12-27,323.0,328.0,320.0,325.0,2.2,21727,7024025.0
2018-12-26,314.0,318.0,308.0,318.0,1.6,4413,1389924.0
2018-12-25,318.0,318.0,312.0,313.0,0.0,3446,1087943.0
2018-12-24,319.0,319.0,312.0,313.0,-1.57,6340,1998441.0
2018-12-23,321.0,333.0,314.0,318.0,0.95,8970,2870738.0
2018-12-20,304.0,324.0,304.0,315.0,5.35,12752,4037520.0
2018-12-19,277.0,299.0,275.0,299.0,9.93,16715,4872698.0
2018-12-18,272.0,272.0,270.0,272.0,-0.37,2111,572170.0
2018-12-17,274.0,278.0,273.0,273.0,-1.44,1135,311030.0
2018-12-16,280.0,280.0,273.0,277.0,-1.07,3834,1060193.0
2018-12-13,270.0,280.0,270.0,280.0,4.09,5259,1421955.0
2018-12-12,275.0,275.0,269.0,269.0,-0.37,172,46548.0
2018-12-11,270.0,270.0,270.0,270.0,-0.74,104,28080.0
2018-12-10,270.0,276.0,270.0,272.0,0.37,227,62097.0
2018-12-09,260.0,271.0,256.0,271.0,4.63,3313,869466.0
2018-12-06,268.0,268.0,256.0,259.0,-4.43,2034,529734.0
2018-12-05,269.0,271.0,266.0,271.0,0.0,1141,304559.0
2018-12-04,271.0,272.0,266.0,271.0,-0.73,2089,561999.0
