date,open,high,low,ltp,percent_change,qty,turnover
2015-05-27,141.0,141.0,139.0,141.0,0.0,2716,380956.0
2015-05-26,139.0,141.0,141.0,141.0,0.0,500,70500.0
2015-05-25,147.0,145.0,138.0,139.0,0.0,10378,1476634.0
2015-05-24,163.0,160.0,147.0,147.0,0.0,1280,193280.0
2015-04-21,160.0,163.0,163.0,163.0,0.0,80,13040.0
2015-04-19,163.0,160.0,160.0,160.0,0.0,500,80000.0
2015-04-16,161.0,163.0,160.0,163.0,0.0,26250,4201028.0
2015-04-15,162.0,161.0,160.0,161.0,0.0,1051,168711.0
2015-04-12,163.0,166.0,160.0,162.0,0.0,3146,507668.0
2015-04-09,160.0,163.0,163.0,163.0,0.0,495,80685.0
2015-04-08,160.0,160.0,160.0,160.0,0.0,166,26560.0
2015-04-07,161.0,160.0,160.0,160.0,0.0,750,120000.0
2015-04-06,160.0,161.0,161.0,161.0,0.0,84,13524.0
2015-04-05,159.0,160.0,160.0,160.0,0.0,500,80000.0
2015-04-01,159.0,159.0,156.0,159.0,0.0,2115,331656.0
2015-03-31,161.0,161.0,159.0,159.0,0.0,909,145531.0
2015-03-26,161.0,161.0,158.0,161.0,0.0,785,125508.0
2015-03-25,164.0,161.0,160.0,161.0,0.0,6478,1036946.0
2015-03-24,158.0,164.0,158.0,164.0,0.0,968,155086.0
2015-03-23,154.0,158.0,156.0,158.0,0.0,10145,1599456.0
2015-03-22,160.0,159.0,154.0,154.0,0.0,5188,812087.0
2015-03-19,157.0,172.0,160.0,160.0,0.0,12942,2084540.0
2015-03-18,164.0,164.0,157.0,157.0,0.0,2371,375894.0
2015-03-17,160.0,166.0,158.0,164.0,0.0,6659,1066837.0
2015-03-16,163.0,166.0,160.0,160.0,0.0,6366,1031256.0
2015-03-15,166.0,169.0,160.0,163.0,0.0,3394,555990.0
2015-03-12,166.0,166.0,163.0,166.0,0.0,5324,872157.0
2015-03-11,163.0,169.0,163.0,166.0,0.0,19791,3247629.0
2015-03-10,165.0,163.0,160.0,163.0,0.0,882,143002.0
2015-03-09,168.0,167.0,165.0,165.0,0.0,1271,210715.0
2015-03-04,170.0,170.0,168.0,168.0,0.0,300,50600.0
2015-03-03,157.0,172.0,160.0,170.0,0.0,28987,4678868.0
2015-03-01,160.0,157.0,157.0,157.0,0.0,83,13031.0
2015-02-25,160.0,160.0,157.0,160.0,0.0,600,95100.0
2015-02-24,165.0,162.0,160.0,160.0,0.0,4667,747464.0
2015-02-22,168.0,165.0,165.0,165.0,0.0,623,102795.0
2015-02-18,157.0,168.0,155.0,168.0,0.0,2337,383315.0
2015-02-16,153.0,158.0,155.0,157.0,0.0,8706,1356378.0
2015-02-15,150.0,153.0,150.0,153.0,0.0,2965,447556.0
2015-02-11,150.0,150.0,148.0,150.0,0.0,654,97992.0
2015-02-10,144.0,153.0,146.0,150.0,0.0,4804,710730.0
2015-02-09,147.0,145.0,144.0,144.0,0.0,1295,187277.0
2015-02-08,145.0,147.0,147.0,147.0,0.0,196,28812.0
2015-02-05,149.0,147.0,145.0,145.0,0.0,312,45364.0
2015-02-03,148.0,149.0,149.0,149.0,0.0,100,14900.0
2015-02-02,144.0,148.0,146.0,148.0,0.0,121,17730.0
2015-02-01,140.0,144.0,142.0,144.0,0.0,438,62520.0
2015-01-28,140.0,140.0,140.0,140.0,0.0,529,74060.0
2015-01-25,138.0,140.0,136.0,140.0,0.0,4131,578036.0
2015-01-22,144.0,142.0,138.0,138.0,0.0,6620,918980.0
2015-01-19,142.0,144.0,144.0,144.0,0.0,20,2880.0
2015-01-18,140.0,142.0,142.0,142.0,0.0,10,1420.0
2015-01-08,140.0,140.0,140.0,140.0,0.0,6900,966000.0
2015-01-06,140.0,140.0,140.0,140.0,0.0,3290,460600.0
2015-01-05,148.0,146.0,140.0,140.0,0.0,18158,2542320.0
2015-01-01,144.0,148.0,146.0,148.0,0.0,44,6472.0
2014-12-31,142.0,144.0,144.0,144.0,0.0,20,2880.0
2014-12-29,136.0,142.0,138.0,142.0,0.0,50,7020.0
2014-12-28,130.0,136.0,124.0,136.0,0.0,252,32476.0
2014-12-16,145.0,132.0,130.0,130.0,0.0,144,18888.0
2014-11-20,145.0,145.0,143.0,145.0,0.0,210,30164.0
2014-11-19,150.0,147.0,145.0,145.0,0.0,18938,2746196.0
2014-11-18,152.0,155.0,150.0,150.0,0.0,817,124854.0
2014-11-17,152.0,152.0,152.0,152.0,0.0,702,106704.0
2014-11-16,161.0,161.0,152.0,152.0,0.0,643,101246.0
2014-11-13,158.0,167.0,155.0,161.0,0.0,2229,357910.0
2014-11-12,144.0,158.0,146.0,158.0,0.0,5605,883266.0
2014-11-06,146.0,144.0,142.0,144.0,0.0,1424,203158.0
2014-11-04,148.0,146.0,146.0,146.0,0.0,142,20732.0
2014-11-03,147.0,148.0,145.0,148.0,0.0,880,127994.0
2014-11-02,143.0,147.0,145.0,147.0,0.0,903,130955.0
2014-10-28,141.0,143.0,143.0,143.0,0.0,220,31460.0
2014-10-26,137.0,141.0,139.0,141.0,0.0,737,102909.0
2014-10-22,137.0,137.0,137.0,137.0,0.0,183,25071.0
2014-10-20,137.0,137.0,135.0,137.0,0.0,698,94358.0
2014-10-16,138.0,137.0,137.0,137.0,0.0,78,10686.0
2014-10-15,136.0,138.0,138.0,138.0,0.0,168,23184.0
2014-10-12,146.0,144.0,136.0,136.0,0.0,220,31006.0
2014-10-09,144.0,146.0,146.0,146.0,0.0,320,46720.0
2014-10-08,147.0,146.0,144.0,144.0,0.0,505,73304.0
