date,open,high,low,ltp,percent_change,qty,turnover
2015-04-06,115.0,115.0,115.0,115.0,0.0,10197,1172655.0
2014-11-19,115.0,115.0,115.0,115.0,0.0,7343,844445.0
2014-11-10,115.0,115.0,115.0,115.0,0.0,5997,689655.0
2014-11-03,115.0,115.0,115.0,115.0,0.0,12000,1380000.0
2014-09-11,115.0,115.0,115.0,115.0,0.0,1800,207000.0
2014-09-07,115.0,115.0,115.0,115.0,0.0,20884,2401660.0
2014-08-25,115.0,115.0,115.0,115.0,0.0,17386,1999390.0
2014-08-14,115.0,115.0,115.0,115.0,0.0,13037,1499255.0
2014-08-05,115.0,115.0,115.0,115.0,0.0,61103,7026845.0
2014-07-30,115.0,115.0,115.0,115.0,0.0,34995,4024425.0
2014-06-18,115.0,115.0,115.0,115.0,0.0,13725,1578375.0
2014-06-15,116.0,115.0,115.0,115.0,0.0,19533,2246295.0
2014-06-10,128.0,126.0,116.0,116.0,0.0,44007,5278422.0
2014-06-05,130.0,128.0,128.0,128.0,0.0,10511,1345408.0
2014-06-04,138.0,136.0,130.0,130.0,0.0,26516,3561354.0
2013-05-27,136.0,138.0,138.0,138.0,0.0,1825,251850.0
2012-06-13,138.0,136.0,136.0,136.0,0.0,3014,409904.0
