date,open,high,low,ltp,percent_change,qty,turnover
2014-09-07,114.0,112.0,112.0,112.0,0.0,862250,96572000.0
2014-03-31,114.0,114.0,114.0,114.0,0.0,10000,1140000.0
2014-03-27,110.0,114.0,112.0,114.0,0.0,75000,8480000.0
2014-03-23,61.0,0.0,0.0,110.0,0.0,90000,5400000.0
2014-03-20,110.0,0.0,0.0,110.0,0.0,166500,10156500.0
2014-03-06,108.0,110.0,110.0,110.0,0.0,99000,10890000.0
2013-12-12,100.0,0.0,0.0,108.0,0.0,79000,4740000.0
2012-02-15,128.0,108.0,108.0,108.0,0.0,67500,7290000.0
2011-06-12,130.0,128.0,128.0,128.0,0.0,12500,1600000.0
2011-05-24,306.0,130.0,130.0,130.0,0.0,21000,2730000.0
