date,open,high,low,ltp,percent_change,qty,turnover
2016-06-02,412.0,411.0,411.0,411.0,0.0,122,50142.0
2016-06-01,377.0,412.0,384.0,412.0,0.0,490,194950.0
2016-05-31,370.0,377.0,377.0,377.0,0.0,64,24128.0
2016-05-30,374.0,370.0,367.0,370.0,0.0,184,67804.0
2016-05-19,381.0,374.0,374.0,374.0,0.0,27,10098.0
2016-05-18,388.0,381.0,381.0,381.0,0.0,102,38862.0
2016-05-16,403.0,400.0,388.0,388.0,0.0,1150,448370.0
2016-05-12,389.0,403.0,396.0,403.0,0.0,376,149386.0
2016-05-11,396.0,435.0,389.0,389.0,0.0,3327,1354853.0
2016-05-10,360.0,396.0,367.0,396.0,0.0,1597,630712.0
2016-05-09,328.0,360.0,334.0,360.0,0.0,910,325260.0
2016-05-08,299.0,328.0,304.0,328.0,0.0,50,15800.0
2016-05-05,274.0,299.0,279.0,299.0,0.0,50,14450.0
2016-05-04,254.0,274.0,259.0,274.0,0.0,805,212995.0
2015-12-27,287.0,292.0,292.0,292.0,0.0,10,2920.0
2015-10-11,378.0,380.0,380.0,380.0,0.0,112,42560.0
2015-10-08,392.0,385.0,378.0,378.0,0.0,1263,478415.0
2015-10-06,385.0,392.0,392.0,392.0,0.0,204,79968.0
2015-10-05,392.0,385.0,385.0,385.0,0.0,186,71610.0
2015-09-23,400.0,392.0,392.0,392.0,0.0,500,196000.0
2015-09-17,412.0,404.0,396.0,400.0,0.0,316,126319.0
2015-09-16,436.0,428.0,412.0,412.0,0.0,646,271992.0
2015-08-23,436.0,436.0,436.0,436.0,0.0,224,97664.0
2015-08-20,444.0,436.0,436.0,436.0,0.0,936,408096.0
2015-07-28,428.0,444.0,420.0,444.0,0.0,810,345160.0
2015-07-27,390.0,428.0,397.0,428.0,0.0,171,69494.0
2015-07-23,355.0,390.0,362.0,390.0,0.0,60,22700.0
2015-06-30,354.0,355.0,355.0,355.0,0.0,30,10650.0
2015-06-25,361.0,354.0,354.0,354.0,0.0,100,35400.0
2015-06-24,368.0,361.0,361.0,361.0,0.0,25,9025.0
2015-06-22,389.0,382.0,368.0,368.0,0.0,40,15000.0
2015-06-18,404.0,396.0,389.0,389.0,0.0,43,16958.0
2015-04-09,412.0,404.0,404.0,404.0,0.0,50,20200.0
2015-04-08,397.0,412.0,400.0,412.0,0.0,73,29460.0
2015-03-29,390.0,397.0,390.0,397.0,0.0,57,22433.0
2015-03-26,397.0,390.0,390.0,390.0,0.0,599,233610.0
2015-03-25,396.0,397.0,396.0,397.0,0.0,162,64264.0
2015-03-23,410.0,405.0,396.0,396.0,0.0,395,158853.0
2015-03-17,412.0,410.0,410.0,410.0,0.0,44,18040.0
2015-03-16,420.0,412.0,412.0,412.0,0.0,93,38316.0
2015-03-15,412.0,420.0,420.0,420.0,0.0,224,94080.0
2015-03-12,375.0,412.0,382.0,412.0,0.0,4224,1739218.0
2015-03-11,370.0,377.0,375.0,375.0,0.0,584,219168.0
2015-03-10,368.0,370.0,370.0,370.0,0.0,275,101750.0
2015-03-09,373.0,375.0,368.0,368.0,0.0,1050,390250.0
2015-03-04,380.0,373.0,373.0,373.0,0.0,100,37300.0
2015-03-01,380.0,380.0,380.0,380.0,0.0,231,87780.0
2015-02-26,387.0,380.0,380.0,380.0,0.0,84,31920.0
2015-02-18,388.0,387.0,374.0,387.0,0.0,394,148173.0
2015-02-16,403.0,407.0,388.0,388.0,0.0,1162,462305.0
2015-02-15,403.0,415.0,403.0,403.0,0.0,1192,484220.0
2015-02-12,367.0,403.0,374.0,403.0,0.0,3718,1490594.0
2015-02-11,335.0,367.0,341.0,367.0,0.0,78,27886.0
2015-02-10,306.0,335.0,300.0,335.0,0.0,2348,730269.0
2015-02-04,306.0,318.0,306.0,306.0,0.0,398,123552.0
2015-01-26,279.0,306.0,284.0,306.0,0.0,60,17760.0
2014-12-10,313.0,307.0,307.0,307.0,0.0,10,3070.0
2014-12-09,319.0,313.0,313.0,313.0,0.0,10,3130.0
2014-12-07,330.0,324.0,319.0,319.0,0.0,40,12810.0
2014-11-17,332.0,330.0,330.0,330.0,0.0,560,184800.0
2014-11-16,351.0,344.0,332.0,332.0,0.0,30,10140.0
2014-11-13,372.0,365.0,351.0,351.0,0.0,30,10740.0
2014-11-12,413.0,405.0,372.0,372.0,0.0,60,23230.0
2014-09-10,405.0,413.0,413.0,413.0,0.0,32,13216.0
2014-09-04,401.0,405.0,405.0,405.0,0.0,29,11745.0
2014-08-06,387.0,401.0,394.0,401.0,0.0,60,23780.0
2014-07-23,373.0,387.0,380.0,387.0,0.0,88,33664.0
2014-07-17,366.0,373.0,373.0,373.0,0.0,11,4103.0
2014-07-14,359.0,366.0,366.0,366.0,0.0,10,3660.0
2014-07-13,346.0,359.0,352.0,359.0,0.0,20,7110.0
2014-07-10,343.0,346.0,340.0,346.0,0.0,223,75880.0
2014-07-09,350.0,343.0,343.0,343.0,0.0,10,3430.0
2014-07-07,345.0,350.0,350.0,350.0,0.0,291,101850.0
2014-07-02,345.0,345.0,345.0,345.0,0.0,192,66240.0
2014-06-26,327.0,345.0,333.0,345.0,0.0,71,24309.0
2014-06-25,321.0,327.0,327.0,327.0,0.0,45,14715.0
2014-06-17,309.0,321.0,315.0,321.0,0.0,710,224910.0
2014-06-15,281.0,309.0,286.0,309.0,0.0,2009,612919.0
2014-06-12,271.0,286.0,276.0,281.0,0.0,460,129544.0
2014-06-11,276.0,276.0,271.0,271.0,0.0,1130,306680.0
2014-06-03,291.0,286.0,276.0,276.0,0.0,74,20794.0
2014-06-02,323.0,317.0,291.0,291.0,0.0,126,37618.0
2014-06-01,329.0,323.0,323.0,323.0,0.0,10,3230.0
2014-05-18,341.0,335.0,329.0,329.0,0.0,245,81955.0
2014-04-29,341.0,355.0,341.0,341.0,0.0,1317,461364.0
2014-04-28,311.0,341.0,317.0,341.0,0.0,652,221732.0
2014-04-27,305.0,311.0,311.0,311.0,0.0,10,3110.0
2014-04-23,278.0,305.0,283.0,305.0,0.0,800,236800.0
2014-04-22,253.0,278.0,258.0,278.0,0.0,60,16130.0
2014-04-21,230.0,253.0,234.0,253.0,0.0,630,158840.0
2014-04-17,214.0,230.0,218.0,230.0,0.0,40,8960.0
2014-04-16,199.0,214.0,202.0,214.0,0.0,40,8320.0
2014-04-15,196.0,199.0,199.0,199.0,0.0,10,1990.0
2014-04-13,181.0,196.0,184.0,196.0,0.0,815,156140.0
2014-04-10,178.0,181.0,181.0,181.0,0.0,10,1810.0
2014-04-09,163.0,178.0,166.0,178.0,0.0,1090,189925.0
2014-04-07,157.0,163.0,160.0,163.0,0.0,20,3230.0
2014-04-06,151.0,157.0,154.0,157.0,0.0,20,3110.0
2014-04-03,145.0,151.0,147.0,151.0,0.0,220,32780.0
2014-04-02,137.0,145.0,139.0,145.0,0.0,40,5680.0
2014-03-23,135.0,137.0,137.0,137.0,0.0,10,1370.0
2014-03-20,129.0,135.0,131.0,135.0,0.0,301,40575.0
2014-03-10,121.0,129.0,123.0,129.0,0.0,1134,144540.0
2014-03-06,117.0,121.0,119.0,121.0,0.0,20,2400.0
2014-03-05,113.0,117.0,115.0,117.0,0.0,1940,226958.0
2014-02-17,105.0,113.0,103.0,113.0,0.0,4040,420400.0
2014-02-16,105.0,123.0,123.0,123.0,0.0,2000,246000.0
2013-12-15,119.0,121.0,121.0,121.0,0.0,140,16940.0
2013-08-19,121.0,119.0,119.0,119.0,0.0,28,3332.0
2013-08-06,121.0,121.0,119.0,121.0,0.0,477,57605.0
2013-07-08,121.0,121.0,119.0,121.0,0.0,1118,135042.0
2013-05-26,125.0,123.0,121.0,121.0,0.0,3091,374033.0
2013-04-23,127.0,129.0,125.0,125.0,0.0,1520,192560.0
2013-03-11,127.0,127.0,125.0,127.0,0.0,387,48611.0
2013-03-07,129.0,129.0,127.0,127.0,0.0,430,55414.0
2013-03-06,130.0,129.0,129.0,129.0,0.0,112,14448.0
2013-03-05,132.0,130.0,130.0,130.0,0.0,301,39130.0
2013-03-03,144.0,142.0,130.0,132.0,0.0,4063,540783.0
2013-02-28,160.0,157.0,144.0,144.0,0.0,4592,663362.0
