date,open,high,low,ltp,percent_change,qty,turnover
2023-07-04,854.0,854.0,829.1,836.0,-2.11,600,503047.7
2023-07-03,852.2,879.0,845.0,854.0,-1.27,1140,970982.0
2023-07-02,900.0,918.0,865.0,865.0,-3.89,601,534066.3
2023-06-28,978.1,1009.0,900.0,900.0,-6.15,1780,1709018.0
2023-06-27,892.0,962.0,892.0,959.0,9.6,1144,1083980.7
2023-06-26,865.0,930.0,865.0,875.0,-0.57,1212,1062898.0
2023-06-25,857.5,880.0,843.0,880.0,0.57,1299,1112242.0
2023-06-22,853.9,888.0,853.9,875.0,0.42,190,165124.0
2023-06-21,886.0,886.0,851.0,871.3,-3.62,400,344487.0
2023-06-20,900.2,904.0,892.0,904.0,-0.66,630,562999.0
2023-06-19,935.0,935.0,891.0,910.0,-3.8,471,428471.2
2023-06-18,951.6,955.0,916.0,945.9,-2.58,1240,1157538.0
2023-06-15,964.3,1025.0,964.3,971.0,2.71,1665,1667400.0
2023-06-14,876.6,945.4,876.3,945.4,9.99,1766,1661242.2
2023-06-13,859.6,894.0,842.6,859.5,-2.01,1110,946638.0
2023-06-12,845.3,877.1,845.3,877.1,1.98,100,85564.0
2023-06-11,860.0,883.8,855.0,860.1,-0.74,240,208863.0
2023-06-08,884.0,884.0,866.5,866.5,-3.94,60,52865.0
2023-06-07,840.0,902.0,840.0,902.0,8.02,469,407659.0
2023-06-06,820.0,835.0,820.0,835.0,-0.12,42,34740.0
2023-06-05,865.0,865.0,836.0,836.0,-2.79,242,206400.0
2023-06-04,825.0,860.0,825.0,860.0,2.63,70,58950.0
2023-06-01,821.0,845.0,821.0,838.0,0.96,180,149262.0
2023-05-31,833.0,834.0,821.0,830.0,-0.36,116,95937.0
2023-05-30,859.7,859.7,828.2,833.0,-5.04,338,283188.0
2023-05-28,895.0,932.0,877.2,877.2,-1.77,300,271190.0
2023-05-24,922.2,978.5,890.1,893.0,-1.24,550,505892.0
2023-05-23,838.4,904.2,838.0,904.2,10.0,220,191088.0
2023-05-22,813.8,831.3,813.8,822.0,-0.96,170,138982.0
2023-05-21,833.1,845.0,825.0,830.0,-2.35,150,124875.5
2023-05-18,820.1,851.0,820.1,850.0,1.8,90,75388.0
2023-05-17,805.0,835.0,805.0,835.0,1.83,100,82034.0
2023-05-16,804.0,820.0,804.0,820.0,0.0,60,48660.0
2023-05-15,825.1,849.0,810.0,820.0,-2.5,251,207085.0
2023-05-14,827.0,841.0,827.0,841.0,-0.11,130,107781.0
2023-05-11,853.0,853.0,841.9,841.9,-3.23,140,118643.0
2023-05-10,857.5,870.0,857.5,870.0,-0.57,50,43057.0
2023-05-09,857.0,875.0,857.0,875.0,0.1,50,43232.0
2023-05-08,856.6,874.1,856.6,874.1,0.01,200,171587.0
2023-05-07,890.9,890.9,873.1,874.0,-3.85,170,148764.0
2023-05-04,868.0,909.0,868.0,909.0,4.0,70,62144.0
2023-05-03,865.0,885.0,865.0,874.0,0.37,180,157414.0
2023-05-02,888.0,890.0,870.8,870.8,-2.17,148,130636.0
2023-04-30,896.7,915.0,886.1,890.1,-2.72,140,125532.0
2023-04-27,892.0,927.1,892.0,915.0,0.55,160,145587.0
2023-04-26,918.0,935.0,909.0,910.0,-1.89,268,246218.0
2023-04-25,877.0,927.5,877.0,927.5,7.85,220,197904.0
2023-04-24,868.0,869.0,852.0,860.0,-2.82,40,34490.0
2023-04-23,894.7,894.7,870.0,885.0,-3.06,80,70227.0
2023-04-20,881.0,912.9,881.0,912.9,2.0,185,165631.0
2023-04-19,903.0,921.0,890.0,895.0,-2.82,320,289590.0
2023-04-18,970.0,970.0,886.0,921.0,-5.05,410,374970.0
2023-04-17,952.5,970.0,935.0,970.0,0.0,100,95562.0
2023-04-16,954.6,970.0,937.0,970.0,-0.41,250,236867.0
2023-04-13,920.3,992.5,920.3,974.0,7.95,863,848389.0
2023-04-12,835.0,902.3,835.0,902.3,10.0,400,358072.0
2023-04-11,820.0,836.4,820.0,820.3,-0.36,135,111716.5
2023-04-10,835.0,835.0,823.2,823.3,-1.99,81,67220.0
2023-04-09,875.0,875.0,840.0,840.0,-4.56,71,61158.5
2023-04-06,916.3,916.3,880.1,880.1,-5.87,60,53705.0
2023-04-05,885.0,935.0,875.0,935.0,5.06,130,118268.0
2023-04-04,884.0,890.0,867.0,890.0,-1.29,80,70580.0
2023-04-03,885.0,920.0,881.0,901.6,0.74,140,125180.0
2023-04-02,931.0,949.0,895.0,895.0,-1.97,170,158222.0
2023-03-30,914.0,920.0,913.0,913.0,-1.93,111,101508.0
2023-03-29,956.0,956.0,931.0,931.0,-4.41,100,94290.0
2023-03-28,905.7,974.0,905.0,974.0,5.41,220,204608.0
2023-03-27,907.8,925.0,907.8,924.0,3.82,60,55258.0
2023-03-26,906.5,926.0,888.5,890.0,-3.78,480,432838.0
2023-03-23,969.0,970.0,913.0,925.0,-6.02,163,151171.0
2023-03-22,978.1,984.3,958.9,984.3,-1.37,190,184494.0
2023-03-20,979.0,998.0,960.0,998.0,-0.05,235,228513.0
2023-03-19,940.8,998.5,934.0,998.5,4.01,70,67193.0
2023-03-16,967.3,968.0,948.0,960.0,-2.74,178,169872.0
2023-03-15,985.0,987.0,968.0,987.0,0.49,80,78301.0
2023-03-14,933.0,982.2,931.0,982.2,5.27,90,85403.0
2023-03-13,990.1,1000.0,933.0,933.0,-7.62,369,359183.0
2023-03-12,1048.0,1050.0,1009.0,1010.0,-5.35,70,72173.0
2023-03-09,1050.0,1087.0,1050.0,1067.1,0.67,120,128091.0
2023-03-07,1081.0,1102.6,1059.0,1060.0,0.0,210,226124.0
2023-03-05,1122.1,1122.1,1060.0,1060.0,-7.42,517,564651.7
2023-03-02,1139.7,1190.3,1095.0,1145.0,-1.54,319,364165.0
2023-03-01,1154.0,1224.0,1132.0,1162.9,2.74,460,543267.0
2023-02-28,1010.0,1131.9,1010.0,1131.9,10.0,380,410020.0
2023-02-27,1055.0,1085.0,1029.0,1029.0,-2.0,360,379264.0
2023-02-26,1016.1,1054.0,935.0,1050.0,1.27,830,827543.0
2023-02-23,1128.9,1128.9,1036.8,1036.8,-9.99,1300,1364766.0
2023-02-22,1240.0,1264.0,1151.7,1151.9,-7.85,1625,1937496.5
2023-02-20,1282.0,1300.0,1250.0,1250.0,-4.43,350,446885.0
2023-02-16,1320.0,1330.0,1308.0,1308.0,-1.73,430,566436.0
2023-02-15,1326.0,1340.0,1326.0,1331.0,-1.63,430,572726.0
2023-02-14,1400.0,1400.0,1352.5,1353.0,-1.6,715,987484.3
2023-02-12,1300.0,1389.0,1300.0,1375.0,4.48,780,1057296.0
2023-02-09,1291.0,1316.0,1278.0,1316.0,0.0,659,849951.9
2023-02-08,1352.0,1360.0,1316.0,1316.0,-1.05,430,575843.0
2023-02-07,1295.0,1370.0,1285.0,1330.0,2.31,380,505993.0
2023-02-06,1315.8,1315.8,1280.0,1300.0,0.78,479,620191.0
2023-02-05,1300.0,1305.0,1280.1,1290.0,-1.15,480,619487.0
2023-02-02,1310.0,1325.0,1298.0,1305.0,-0.46,671,877278.0
2023-02-01,1305.0,1329.0,1305.0,1311.0,-1.21,615,805843.5
2023-01-31,1342.6,1342.6,1322.0,1327.0,-3.14,520,692295.0
2023-01-30,1357.0,1390.0,1357.0,1370.0,-1.01,440,604187.0
2023-01-29,1370.2,1397.0,1370.0,1384.0,-0.44,950,1308681.0
2023-01-26,1386.0,1410.0,1386.0,1390.1,-0.71,750,1052580.0
2023-01-25,1400.0,1415.0,1392.1,1400.0,0.14,1130,1590889.0
2023-01-24,1415.0,1415.0,1381.4,1398.0,0.35,925,1285790.5
2023-01-23,1374.1,1420.0,1374.1,1393.1,-0.49,610,854027.0
2023-01-19,1402.0,1427.0,1390.0,1400.0,-2.1,720,1009439.0
2023-01-18,1457.5,1457.5,1400.2,1430.0,0.07,1132,1604481.0
2023-01-17,1456.3,1456.3,1381.1,1429.0,-3.84,2787,3951252.0
2023-01-12,1600.0,1603.0,1485.0,1486.0,-7.3,3710,5673865.0
2023-01-10,1734.0,1870.0,1601.0,1603.1,-5.7,3595,5972661.4
2023-01-09,1545.0,1700.0,1545.0,1700.0,10.0,3664,6159965.5
2023-01-08,1433.1,1545.5,1433.1,1545.5,10.0,1530,2339512.0
2023-01-05,1302.8,1405.0,1302.8,1405.0,10.0,4770,6524669.0
2023-01-04,1184.4,1277.3,1184.4,1277.3,10.0,840,1070446.0
2023-01-03,1076.8,1161.2,1076.8,1161.2,9.99,60,67193.0
2023-01-02,978.9,1055.7,978.9,1055.7,9.99,60,60576.3
2023-01-01,890.0,959.8,890.0,959.8,9.99,70,65475.0
2022-12-29,855.5,872.6,855.5,872.6,4.03,20,17281.0
2022-12-28,777.8,838.8,777.8,838.8,9.99,80,65606.0
2022-12-27,718.8,762.6,718.8,762.6,8.2,41,30355.0
2022-12-26,653.6,704.8,653.6,704.8,9.99,50,33983.0
2022-12-22,628.3,640.8,628.3,640.8,4.03,20,12691.0
2022-12-21,616.0,616.0,616.0,616.0,1.99,11,6776.0
2022-12-20,592.2,604.0,592.2,604.0,4.03,20,11962.0
