date,open,high,low,ltp,percent_change,qty,turnover
2024-06-30,545.0,545.0,545.0,545.0,0.0,2000,1090000.0
2024-06-24,545.0,545.0,545.0,545.0,0.0,2848,1552160.0
2024-06-20,545.0,545.0,545.0,545.0,0.0,19260,10496700.0
2024-01-02,446.0,446.0,446.0,446.0,0.0,1605,715830.0
2023-07-20,384.0,384.0,384.0,384.0,-1.79,1900,729600.0
2023-04-30,391.0,391.0,391.0,391.0,0.0,2400,938400.0
2023-04-24,391.0,391.0,391.0,391.0,0.0,1200,469200.0
2023-03-22,391.0,391.0,391.0,391.0,0.0,1200,469200.0
2022-08-10,671.0,671.0,671.0,671.0,0.0,2000,1342000.0
2022-08-05,671.0,671.0,671.0,671.0,0.0,23700,15902700.0
2022-07-17,671.0,671.0,671.0,671.0,0.0,9000,6039000.0
2022-07-15,671.0,671.0,671.0,671.0,0.0,83200,55827200.0
2022-07-14,671.0,671.0,671.0,671.0,0.0,22000,14762000.0
2022-07-13,671.0,671.0,671.0,671.0,0.0,22331,14984101.0
2022-07-12,671.0,671.0,671.0,671.0,0.0,3000,2013000.0
2022-07-07,671.0,671.0,671.0,671.0,0.0,60400,40528400.0
2022-07-05,671.0,671.0,671.0,671.0,0.0,13700,9192700.0
2022-07-04,671.0,671.0,671.0,671.0,0.0,40997,27508987.0
2022-07-03,671.0,671.0,671.0,671.0,0.0,2500,1677500.0
2022-06-23,671.0,671.0,671.0,671.0,0.0,2000,1342000.0
2022-06-22,671.0,671.0,671.0,671.0,0.0,5000,3355000.0
2022-06-19,671.0,671.0,671.0,671.0,0.0,5940,3985740.0
2022-06-14,671.0,671.0,671.0,671.0,0.0,4000,2684000.0
2022-06-10,671.0,671.0,671.0,671.0,0.0,1770,1187670.0
2022-06-08,671.0,671.0,671.0,671.0,0.0,6396,4291716.0
2022-06-02,671.0,671.0,671.0,671.0,0.0,32000,21472000.0
2021-12-21,875.0,875.0,875.0,875.0,0.0,4486,3925250.0
2021-12-13,875.0,875.0,875.0,875.0,0.0,1775,1553125.0
2021-10-17,875.0,875.0,875.0,875.0,-1.69,1500,1312500.0
2021-09-16,890.0,890.0,890.0,890.0,0.0,10660,9487400.0
2021-08-24,890.0,890.0,890.0,890.0,0.0,1500,1335000.0
2021-08-19,890.0,890.0,890.0,890.0,0.11,3479,3096310.0
2021-07-19,889.0,889.0,889.0,889.0,0.0,1859,1652651.0
2021-07-12,889.0,889.0,889.0,889.0,0.0,1240,1102360.0
