date,open,high,low,ltp,percent_change,qty,turnover
2026-05-18,587.0,587.0,587.0,587.0,0.0,7140,4191180.0
2026-05-15,587.0,587.0,587.0,587.0,0.0,7270,4267490.0
2026-04-20,587.0,587.0,587.0,587.0,-2.98,21649,12707963.0
2025-12-21,605.0,605.0,605.0,605.0,0.0,1254,758670.0
2025-05-27,589.0,589.0,589.0,589.0,0.0,18748,3468380.0
2025-03-24,589.0,589.0,589.0,589.0,0.0,12500,7362500.0
2025-01-22,589.0,589.0,589.0,589.0,0.0,1500,883500.0
2023-11-02,336.0,336.0,336.0,336.0,0.24,3100,1041600.0
2023-11-01,335.2,335.2,335.2,335.2,-1.99,6600,2212320.0
2023-09-18,342.0,342.0,342.0,342.0,0.0,5000,1710000.0
2023-03-28,415.0,415.0,415.0,415.0,0.0,3720,1543800.0
2023-01-18,480.0,480.0,480.0,480.0,0.0,1600,768000.0
2023-01-01,480.0,480.0,480.0,480.0,0.0,4100,1968000.0
2022-12-21,480.0,480.0,480.0,480.0,-1.64,1130,542400.0
2022-11-24,488.0,488.0,488.0,488.0,0.0,9600,4684800.0
2022-03-02,693.0,693.0,693.0,693.0,0.0,8000,5544000.0
2021-11-25,785.0,785.0,785.0,785.0,0.0,2000,1570000.0
2021-11-03,785.0,785.0,785.0,785.0,0.0,1000,785000.0
2021-09-07,785.0,785.0,785.0,785.0,0.0,2000,1570000.0
2021-08-26,785.0,785.0,785.0,785.0,0.0,8000,6280000.0
2021-07-15,785.0,785.0,785.0,785.0,0.0,17820,13988700.0
2021-04-01,710.0,710.0,710.0,710.0,0.0,3000,2130000.0
2019-04-03,438.0,438.0,438.0,438.0,-50.62,6000,2628000.0
2018-02-08,870.0,887.0,887.0,887.0,0.0,5000,4435000.0
2017-04-13,800.0,800.0,800.0,800.0,0.0,70000,56000000.0
2017-02-07,800.0,800.0,800.0,800.0,0.0,6000,4800000.0
2017-02-06,800.0,800.0,800.0,800.0,0.0,7000,5600000.0
