date,open,high,low,ltp,percent_change,qty,turnover
2026-08-13,1100.0,1100.0,1100.0,1100.0,1.13,25,27500.0
2026-08-05,1190.0,1190.0,1121.0,1087.7,-8.77,125,147198.5
2026-08-03,1192.2,1192.2,1192.2,1192.2,-2.99,200,238440.0
2026-07-14,1148.0,1229.0,1144.6,1229.0,10.22,9857,11903304.0
2026-06-23,1114.0,1114.0,1114.0,1115.0,0.09,2,2230.0
2026-06-22,1114.0,1114.0,1114.0,1114.0,-0.98,50,55700.0
2026-06-16,1125.0,1125.0,1125.0,1125.0,0.0,25,28125.0
2026-06-15,1125.0,1125.0,1125.0,1125.0,0.0,50,56250.0
2026-06-09,1130.0,1130.0,1130.0,1125.0,1.21,30,33875.0
2026-06-08,1130.0,1130.0,1130.0,1111.6,-1.8,31,34919.6
2026-06-05,1132.0,1132.0,1132.0,1132.0,-2.07,20,22640.0
2026-06-04,1155.9,1155.9,1155.9,1155.9,2.11,1062,1227565.8
2026-05-25,1132.0,1132.0,1132.0,1132.0,0.09,25,28300.0
2026-05-22,1131.0,1131.0,1131.0,1131.0,0.97,25,28275.0
2026-05-21,1120.1,1120.1,1120.1,1120.1,0.85,25,28002.5
2026-05-13,1110.7,1110.7,1110.7,1110.7,3.0,25,27767.5
2026-04-30,1078.4,1078.4,1078.4,1078.4,3.0,25,26960.0
2026-04-27,1100.1,1100.1,1100.1,1047.0,-4.83,4,4188.0
2026-04-23,1201.0,1201.0,1100.1,1100.1,-8.4,51,56200.9
2026-04-22,1201.0,1201.0,1201.0,1201.0,2.13,15,18015.0
2026-04-21,1176.0,1176.0,1176.0,1176.0,2.98,10,11760.0
2026-04-16,1142.0,1142.0,1142.0,1142.0,-1.56,25,28550.0
2026-04-08,1160.1,1160.1,1160.1,1160.1,-0.92,25,29002.5
2026-04-01,1160.0,1170.9,1160.0,1170.9,1.99,305,354944.5
2026-03-31,1148.0,1148.0,1148.0,1148.0,-1.27,100,114800.0
2026-03-25,1162.8,1162.8,1162.8,1162.8,2.0,155,180234.0
2026-03-24,1140.0,1140.0,1140.0,1140.0,-1.3,25,28500.0
2026-03-22,1157.0,1157.0,1155.0,1155.0,1.75,65,75125.0
2026-03-16,1135.1,1135.1,1135.1,1135.1,0.0,25,28377.5
2026-03-12,1149.0,1149.0,1135.0,1135.1,0.72,90,102437.5
2026-03-10,1127.0,1127.0,1127.0,1127.0,-0.09,25,28175.0
2026-03-01,1128.0,1128.0,1128.0,1128.0,-1.05,25,28200.0
2026-02-17,1118.0,1140.0,1118.0,1140.0,1.97,55,62150.0
2026-02-16,1118.0,1118.0,1118.0,1118.0,0.0,350,391300.0
2026-02-11,1118.0,1118.0,1118.0,1118.0,-0.18,25,27950.0
2026-02-08,1120.0,1120.0,1120.0,1120.0,-1.75,50,56000.0
2026-01-18,1140.0,1140.0,1140.0,1140.0,-1.72,50,57000.0
2026-01-13,1160.0,1160.0,1160.0,1160.0,0.87,280,324800.0
2026-01-12,1150.0,1150.0,1150.0,1150.0,-0.44,25,28750.0
2026-01-07,1155.1,1155.1,1155.1,1155.1,-0.51,200,231020.0
2026-01-01,1161.0,1161.0,1161.0,1161.0,0.42,30,34830.0
2025-12-31,1160.1,1160.1,1156.1,1156.1,-0.34,80,92590.5
2025-12-23,1160.0,1160.0,1160.0,1160.0,-0.5,25,29000.0
2025-12-21,1165.8,1165.8,1165.8,1165.8,1.99,150,174870.0
2025-12-18,1143.0,1143.0,1143.0,1143.0,-0.61,25,28575.0
2025-12-17,1145.0,1150.0,1145.0,1150.0,0.52,60,68950.0
2025-12-15,1144.0,1144.0,1144.0,1144.0,-1.79,25,28600.0
2025-12-08,1164.8,1164.8,1164.8,1164.8,2.0,117,136281.6
2025-11-30,1154.6,1154.6,1154.6,1142.0,-1.09,5,5710.0
2025-11-27,1178.1,1178.1,1178.1,1154.6,-1.99,5,5773.0
2025-11-18,1175.0,1178.1,1175.0,1178.1,2.0,50,58858.5
2025-11-16,1150.0,1155.0,1150.0,1155.0,0.43,70,80700.0
2025-11-13,1135.0,1150.0,1135.0,1150.0,1.5,75,85875.0
2025-11-11,1134.0,1134.0,1133.0,1133.0,0.27,40,45345.0
2025-11-04,1130.0,1130.0,1130.0,1130.0,0.0,100,113000.0
2025-10-29,1130.0,1130.0,1130.0,1130.0,-1.48,25,28250.0
2025-10-19,1123.1,1147.0,1123.1,1147.0,2.13,225,258073.5
2025-10-14,1123.1,1123.1,1123.1,1123.1,-2.0,25,28077.5
2025-10-13,1146.0,1146.0,1146.0,1146.0,1.87,55,63030.0
2025-10-12,1125.0,1125.0,1125.0,1125.0,0.45,200,225000.0
2025-10-08,1120.0,1120.0,1120.0,1120.0,-1.93,30,33600.0
2025-10-07,1132.2,1165.0,1132.2,1142.0,2.88,1035,1200270.5
2025-09-28,1110.0,1110.0,1110.0,1110.0,0.0,53,58830.0
2025-09-25,1110.0,1110.0,1110.0,1110.0,1.83,100,111000.0
