date,open,high,low,ltp,percent_change,qty,turnover
2026-08-07,1260.0,1260.0,1260.0,1260.0,0.69,50,63000.0
2026-08-03,1251.4,1251.4,1251.4,1251.4,-3.0,25,31285.0
2026-07-22,1329.9,1330.0,1290.1,1290.1,-1.37,372,485261.8
2026-07-16,1305.0,1308.0,1305.0,1308.0,0.23,205,267650.5
2026-07-15,1305.0,1305.0,1305.0,1305.0,0.0,5,6525.0
2026-07-14,1318.0,1318.0,1305.0,1305.0,-0.76,60966,80214672.5
2026-07-10,1320.0,1320.0,1315.0,1315.0,2.57,307,403990.0
2026-07-09,1282.0,1282.0,1282.0,1282.0,-1.38,13,16666.0
2026-07-08,1335.0,1335.0,1300.0,1300.0,-1.52,200,263500.0
2026-07-06,1320.0,1320.0,1320.0,1320.0,1.31,200,264000.0
2026-06-30,1302.9,1302.9,1302.9,1302.9,3.0,25,32572.5
2026-06-26,1255.0,1265.0,1255.0,1265.0,0.4,255,320675.5
2026-06-19,1260.0,1260.0,1260.0,1260.0,1.61,75,94500.0
2026-06-17,1240.0,1240.0,1240.0,1240.0,0.65,25,31000.0
2026-06-16,1232.0,1232.0,1232.0,1232.0,-1.52,300,369600.0
2026-06-15,1251.0,1251.0,1251.0,1251.0,-0.87,25,31275.0
2026-06-10,1262.0,1262.0,1262.0,1262.0,0.08,677,854374.0
2026-06-02,1300.0,1300.0,1261.0,1261.0,-1.48,60,76635.0
2026-05-27,1245.0,1280.0,1245.0,1280.0,1.59,51,64370.0
2026-05-26,1260.0,1260.0,1260.0,1260.0,-0.9,30,37800.0
2026-05-13,1271.5,1271.5,1271.5,1271.5,-2.94,25,31787.5
2026-05-07,1310.0,1310.0,1310.0,1310.0,1.42,150,196500.0
2026-04-06,1266.0,1317.5,1266.0,1291.7,0.05,125,160835.0
2026-03-31,1300.0,1300.0,1291.0,1291.0,-1.97,75,97050.0
2026-03-30,1317.0,1317.0,1317.0,1317.0,-1.35,25,32925.0
2026-03-26,1315.7,1335.0,1315.7,1335.0,-0.52,225,298892.5
2026-03-25,1320.0,1342.0,1320.0,1342.0,1.67,150,200450.0
2026-03-24,1320.0,1320.0,1320.0,1320.0,-1.71,150,198000.0
2026-03-23,1320.0,1343.0,1320.0,1343.0,2.6,370,488860.0
2026-03-22,1250.0,1309.0,1250.0,1309.0,4.72,380,495902.0
2026-03-10,1250.0,1250.0,1250.0,1250.0,0.81,25,31250.0
2026-03-03,1240.0,1240.0,1240.0,1240.0,-0.8,100,124000.0
2026-02-25,1250.0,1250.0,1250.0,1250.0,0.39,50,62500.0
2026-02-17,1270.0,1270.0,1245.1,1245.1,-1.96,150,187387.5
2026-02-10,1270.0,1270.0,1270.0,1270.0,0.0,25,31750.0
2026-01-27,1277.0,1277.0,1270.0,1270.0,1.44,55,70025.0
2026-01-26,1252.0,1252.0,1252.0,1252.0,-1.96,25,31300.0
2026-01-22,1277.0,1277.0,1277.0,1277.0,0.23,100,127700.0
2026-01-21,1274.1,1274.1,1274.1,1274.1,-1.99,25,31852.5
2026-01-18,1308.0,1308.0,1300.0,1300.0,-0.76,55,71740.0
