date,open,high,low,ltp,percent_change,qty,turnover
2026-01-06,261.0,261.0,261.0,261.0,0.0,50591,13204251.0
2024-10-27,261.0,261.0,261.0,261.0,0.0,15000,3915000.0
2024-03-14,216.0,216.0,216.0,216.0,0.0,146748,31697568.0
2023-06-04,182.0,182.0,182.0,182.0,0.0,4800,873600.0
2022-12-21,248.0,248.0,248.0,248.0,0.0,1500,372000.0
2022-12-20,248.0,248.0,248.0,248.0,0.0,82000,20336000.0
2022-12-01,248.0,248.0,248.0,248.0,0.0,11407,2828936.0
2022-09-22,248.0,248.0,248.0,248.0,0.0,11800,2926400.0
2022-07-24,248.0,248.0,248.0,248.0,0.0,28626,7099248.0
2022-06-14,248.0,248.0,248.0,248.0,0.0,9170,2274160.0
2022-05-18,248.0,248.0,248.0,248.0,0.0,12487,3096776.0
2022-05-11,248.0,248.0,248.0,248.0,0.0,15000,3720000.0
2022-04-11,248.0,248.0,248.0,248.0,0.0,12491,3097768.0
2022-03-15,248.0,248.0,248.0,248.0,0.0,40000,9920000.0
2021-11-03,262.0,262.0,262.0,262.0,0.0,10522,2756764.0
2021-11-01,262.0,262.0,262.0,262.0,0.0,247943,64961066.0
2021-10-27,262.0,262.0,262.0,262.0,0.0,247943,64961066.0
2021-10-26,262.0,262.0,262.0,262.0,0.0,19070,4996340.0
2021-07-20,324.0,324.0,324.0,324.0,0.0,25000,8100000.0
2021-07-15,324.0,324.0,324.0,324.0,0.0,3930,1273320.0
2021-02-09,110.0,118.0,110.0,118.0,9.26,56152,6625736.0
2020-08-13,106.0,106.0,106.0,106.0,0.0,39553,4192620.0
2020-02-27,113.0,113.0,113.0,113.0,0.0,1000,113000.0
2020-01-13,113.0,113.0,113.0,113.0,0.0,149145,16853384.0
2019-11-21,113.0,113.0,113.0,113.0,0.0,71000,8023000.0
2019-08-05,113.0,113.0,113.0,113.0,0.0,46000,5198000.0
2019-06-20,113.0,113.0,113.0,113.0,0.0,3000,339000.0
2019-02-06,113.0,113.0,113.0,113.0,-1.74,6000,678000.0
2019-01-10,115.0,115.0,115.0,115.0,0.0,43070,4953050.0
2019-01-06,115.0,115.0,115.0,115.0,0.0,14000,1610000.0
2018-12-19,115.0,115.0,115.0,115.0,4.55,71506,8223190.0
2018-09-30,110.0,110.0,110.0,110.0,0.0,76078,8368580.0
2018-07-09,110.0,110.0,110.0,110.0,0.0,40000,4400000.0
2018-03-05,105.0,105.0,105.0,105.0,0.0,11000,1155000.0
