fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,8.00,3.5,11.5,2021-12-10 [Closed]
2076/2077,9.00,2.5,11.5,2021-01-01 [Closed]
2075/2076,10.00,5.00,15.00,2019-12-09 [Closed]
2074/2075,8.5,0.45,8.95,2019-01-28 [Closed]
2073/2074,10.00,0.53,10.53,2017-11-27 [Closed]
2072/2073,18.29,,18.29,2017-06-16 [Closed]
2070/2071,20.00,1.05,21.05,2014-10-27 [Closed]
2069/2070,15.00,,15.00,2014-03-13 [Closed]
2068/2069,0.00,10.00,10.00,2012-12-28 [Closed]
2067/2068,5.00,10.79,15.79,2011-12-18 [Closed]
