date,open,high,low,ltp,percent_change,qty,turnover
2026-08-27,1122.0,1122.0,1122.0,1122.0,0.0,5,5610.0
2026-08-26,1122.0,1122.0,1122.0,1122.0,-0.06,10,11220.0
2026-08-19,1122.7,1122.7,1122.7,1122.7,3.0,49,55012.3
2026-08-10,1090.0,1090.0,1090.0,1090.0,0.0,25,27250.0
2026-08-04,1094.0,1094.0,1090.0,1090.0,-0.37,25,27254.0
2026-07-24,1094.0,1094.0,1094.0,1094.0,-2.19,15,16410.0
2026-07-22,1118.5,1118.5,1118.5,1118.5,-2.99,60,67110.0
2026-07-20,1153.0,1153.0,1153.0,1153.0,0.26,20,23060.0
2026-07-13,1125.0,1150.0,1125.0,1150.0,4.55,43150,49621549.5
2026-07-07,1095.0,1100.0,1095.0,1100.0,1.38,75,82250.0
2026-06-30,1085.0,1085.0,1085.0,1085.0,-0.28,25,27125.0
2026-06-26,1088.5,1088.5,1088.5,1088.0,-0.06,25,27210.0
2026-06-24,1088.4,1088.4,1088.4,1088.7,0.03,7,7620.9
2026-06-19,1088.4,1088.4,1088.4,1088.4,-2.56,25,27210.0
2026-06-11,1117.0,1117.0,1117.0,1117.0,-2.43,30,33510.0
2026-06-08,1144.8,1144.8,1144.8,1144.8,0.0,150000,171720000.0
2026-06-05,1063.0,1144.8,1063.0,1144.8,7.7,64355,73630402.4
2026-05-27,1087.4,1087.4,1063.0,1063.0,-1.97,359,383525.0
2026-05-21,1084.4,1084.4,1084.4,1084.4,0.38,25,27110.0
2026-05-11,1080.4,1080.4,1080.3,1080.3,-2.68,25,27009.0
2026-04-28,1100.0,1110.0,1110.0,1110.0,0.91,25,27750.0
2026-04-07,1100.0,1100.0,1100.0,1100.0,0.46,25,27500.0
2026-04-06,1110.0,1110.0,1095.0,1095.0,-3.1,50,55125.0
2026-03-22,1100.0,1130.0,1100.0,1130.0,2.63,169,189712.0
2026-03-17,1102.0,1102.0,1101.0,1101.0,0.54,25,27538.0
2026-03-16,1119.0,1119.0,1095.0,1095.1,-3.94,107,118265.7
2026-03-03,1140.0,1140.0,1140.0,1140.0,-1.72,25,28500.0
2026-01-26,1161.0,1161.0,1161.0,1160.0,-0.09,5,5800.0
2026-01-13,1161.0,1161.0,1161.0,1161.0,0.0,40,46440.0
2026-01-12,1161.0,1161.0,1161.0,1161.0,-0.34,32,37152.0
2025-12-28,1165.0,1165.0,1165.0,1165.0,-0.09,25,29125.0
2025-12-18,1122.0,1166.0,1122.0,1166.0,3.92,37,42925.8
2025-11-30,1100.0,1122.0,1100.0,1122.0,2.0,32,35897.0
2025-11-27,1100.0,1100.0,1100.0,1100.0,0.0,25,27500.0
2025-11-12,1113.0,1113.0,1113.0,1100.0,0.79,26,28925.0
2025-10-13,1091.4,1091.4,1091.4,1091.4,2.0,25,27285.0
2025-10-12,1071.1,1071.1,1070.0,1070.0,-1.59,50,53527.5
2025-10-09,1087.0,1087.3,1087.0,1087.3,2.0,125,135882.5
2025-10-08,1045.1,1045.1,1045.1,1066.0,2.0,7,7462.0
2025-09-21,1045.1,1045.1,1045.1,1045.1,0.49,25,26127.5
2025-09-02,1040.1,1040.1,1040.0,1040.0,-1.42,50,52002.5
2025-08-31,1055.0,1055.0,1055.0,1055.0,1.44,25,26375.0
2025-08-26,1040.0,1040.0,1040.0,1040.0,-1.61,25,26000.0
2025-07-22,1057.0,1057.0,1057.0,1057.0,-1.95,24,25368.0
2025-06-29,1044.2,1044.2,1044.2,1078.0,3.24,3,3221.0
2025-06-22,1044.2,1044.2,1044.2,1044.2,0.11,25,26105.0
2025-06-19,1043.1,1043.1,1043.1,1043.1,0.19,25,26077.5
2025-06-10,1041.1,1041.1,1041.1,1041.1,0.18,25,26027.5
2025-06-03,1039.2,1039.2,1039.2,1039.2,-1.96,25,25980.0
2025-05-28,1057.0,1060.0,1057.0,1059.98,0.28,28,29679.7
2025-05-26,1054.1,1054.1,1054.1,1057.0,0.28,3,3171.0
2025-05-19,1054.1,1054.1,1054.1,1054.1,0.0,25,26352.5
2025-05-06,1054.1,1054.1,1054.1,1054.1,-1.94,27,28460.7
2025-05-05,1075.0,1075.0,1075.0,1075.0,0.0,3,3225.0
2025-05-04,1075.0,1075.0,1075.0,1075.0,0.09,10,10750.0
2025-04-30,1074.0,1074.0,1074.0,1074.0,-1.92,29,31146.0
2025-04-29,1095.0,1095.0,1095.0,1095.0,1.58,25,27375.0
2025-04-28,1072.0,1078.0,1072.0,1078.0,2.51,53,57056.0
2025-04-17,1051.6,1051.6,1051.6,1051.6,2.0,25,26290.0
2025-04-16,1031.0,1031.0,1031.0,1031.0,0.0,3,3093.0
2025-04-15,1038.0,1038.0,1031.0,1031.0,-2.17,50,51725.0
2025-04-07,1053.9,1053.9,1053.9,1053.9,1.99,25,26347.5
2025-03-25,1033.3,1033.3,1033.3,1033.3,1.99,25,25832.5
2025-03-24,1013.1,1013.1,1013.1,1013.1,-0.39,50,50655.0
2025-03-23,1025.0,1025.0,1025.0,1017.1,-0.77,1,1017.1
2025-03-19,1025.0,1025.0,1025.0,1025.0,0.0,1,1025.0
2025-03-16,1025.0,1025.0,1025.0,1025.0,-0.49,105,107625.0
2025-03-04,1030.0,1030.0,1030.0,1030.0,0.49,30,30900.0
2025-02-24,1040.0,1040.0,1025.0,1025.0,-1.44,75,77625.0
2025-02-02,1040.0,1040.0,1040.0,1040.0,2.46,49,50910.0
2025-01-22,1022.0,1022.0,1015.0,1015.0,-2.67,49,49910.0
2025-01-21,1042.8,1042.8,1042.8,1042.8,-1.99,1,1042.8
2025-01-06,1064.0,1064.0,1064.0,1064.0,-1.94,25,26600.0
2024-12-23,1085.0,1085.0,1085.0,1085.0,5.34,50,54011.0
2024-11-28,1030.0,1030.0,1030.0,1030.0,-0.19,25,25750.0
2024-11-17,1032.0,1032.0,1032.0,1032.0,-1.99,25,25800.0
2024-10-21,1050.0,1053.0,1050.0,1053.0,2.23,273,286950.0
2024-10-16,1053.0,1053.0,1030.0,1030.0,0.0,175,183685.0
2024-10-15,1035.0,1035.0,1030.0,1030.0,-0.48,75,77500.0
2024-10-07,1035.0,1035.0,1035.0,1035.0,-1.71,100,103500.0
2024-09-30,1045.0,1053.0,1045.0,1053.0,2.23,176,185100.5
2024-09-29,1029.0,1030.0,1029.0,1030.0,1.88,50,51475.0
2024-09-23,1011.0,1011.0,1011.0,1011.0,-0.04,25,25275.0
2024-09-22,1032.0,1032.0,1011.4,1011.4,-3.95,50,51085.0
2024-09-12,1020.0,1053.0,1020.0,1053.0,3.24,380,398137.5
2024-09-03,1020.0,1020.0,1020.0,1020.0,-1.92,100,102000.0
2024-09-02,1005.0,1040.0,1005.0,1040.0,2.97,944,978432.5
2024-09-01,1010.0,1010.0,1010.0,1010.0,0.8,25,25250.0
2024-08-29,1002.0,1002.0,1002.0,1002.0,0.0,100,100200.0
2024-08-28,1002.0,1002.0,1002.0,1002.0,0.0,80,80160.0
2024-08-27,1002.0,1002.0,1002.0,1002.0,0.0,322,322644.0
2024-08-25,1005.0,1005.0,1002.0,1002.0,-2.24,152,152604.0
2024-08-22,984.0,1025.0,984.0,1025.0,3.54,100,100695.0
2024-08-15,972.2,990.0,972.2,990.0,1.95,180,175990.5
2024-08-14,971.1,971.1,971.1,971.1,-0.4,25,24277.5
2024-08-12,975.0,975.0,971.2,975.0,0.0,150,145872.5
2024-08-11,975.0,975.0,975.0,975.0,1.03,50,48750.0
2024-08-07,981.0,981.0,981.0,981.0,-1.62,1,4825.5
2024-08-06,981.0,981.0,981.0,981.0,0.0,100,98100.0
2024-08-01,981.0,981.0,981.0,981.0,0.1,16,15696.0
2024-07-31,980.0,980.0,980.0,980.0,-2.0,25,24500.0
2024-07-30,1000.0,1000.0,1000.0,1000.0,-0.99,125,125000.0
2024-07-16,1010.0,1010.0,1010.0,1010.0,-0.88,300,303000.0
2024-07-15,995.0,1019.0,995.0,1019.0,1.39,290,291506.0
2024-07-11,998.0,1005.0,998.0,1005.0,2.55,250,250662.5
2024-07-09,980.1,980.1,980.0,980.0,0.0,25,24501.0
2024-07-08,994.0,994.0,980.0,980.0,-2.49,150,148400.0
2024-07-01,995.0,1005.0,995.0,1005.0,2.45,125,125375.0
2024-06-27,981.0,981.0,981.0,981.0,0.0,55,53955.0
2024-06-26,981.0,981.0,981.0,981.0,-0.91,45,44145.0
2024-06-20,990.0,990.0,990.0,990.0,-0.31,50,49500.0
2024-06-13,993.1,993.1,993.1,993.1,1.99,10,9931.0
2024-06-12,973.8,973.8,973.7,973.7,-1.69,50,48687.5
2024-06-11,990.4,990.4,990.4,990.4,2.0,15,14856.0
2024-06-10,971.0,971.0,971.0,971.0,-0.92,25,24275.0
2024-06-06,980.0,980.0,980.0,980.0,-2.0,25,24500.0
2024-05-19,999.0,1000.0,999.0,1000.0,0.1,85,84990.0
2024-05-16,999.0,999.0,999.0,999.0,-0.1,10,9990.0
2024-05-14,1000.0,1000.0,1000.0,1000.0,1.1,25,25000.0
2024-05-13,989.0,989.1,989.0,989.1,0.42,40,39562.0
2024-05-12,985.0,985.0,985.0,985.0,0.1,100,98500.0
2024-05-09,984.0,984.0,984.0,984.0,-0.51,25,24600.0
2024-05-02,989.0,989.0,989.0,989.0,-1.1,25,24725.0
2024-04-29,1000.0,1000.0,1000.0,1000.0,1.01,275,275000.0
2024-04-24,990.0,990.0,990.0,990.0,0.29,10,9900.0
2024-04-22,987.1,987.1,987.1,987.1,-0.09,25,24677.5
2024-04-21,956.7,988.0,956.7,988.0,5.33,285,279432.0
2024-04-09,938.0,938.0,938.0,938.0,1.96,25,23450.0
2024-04-02,919.0,920.0,919.0,920.0,2.11,50,45975.0
2024-03-27,901.0,901.0,901.0,901.0,-0.18,25,22525.0
2024-03-17,902.6,902.6,902.6,902.6,-2.0,25,22565.0
2024-03-14,903.0,921.0,903.0,921.0,2.33,55,50115.0
2024-03-07,900.0,900.0,900.0,900.0,1.36,25,22500.0
2024-03-05,887.9,887.9,887.9,887.9,-2.0,25,22197.5
2024-02-29,906.0,906.0,906.0,906.0,0.67,25,22650.0
2024-02-27,900.0,900.0,900.0,900.0,0.0,48,43200.0
2024-02-25,898.3,900.0,898.3,900.0,2.19,20,17983.0
2024-02-21,880.7,880.7,880.7,880.7,4.03,15,13124.5
2024-02-20,846.6,846.6,846.6,846.6,2.0,30,25398.0
2024-01-30,830.0,830.0,830.0,830.0,1.99,100,83000.0
2024-01-29,813.8,813.8,813.8,813.8,1.99,25,20345.0
2024-01-07,782.3,797.9,782.3,797.9,4.03,25,19791.5
2023-11-22,767.0,767.0,767.0,767.0,-0.39,25,19175.0
2023-10-31,770.0,770.0,770.0,770.0,-0.28,25,19250.0
2023-10-01,772.2,772.2,772.2,772.2,0.01,25,19305.0
2023-09-27,772.1,772.1,772.1,772.1,-1.71,25,19302.5
2023-09-26,785.5,785.5,785.5,785.5,2.0,25,19637.5
2023-09-18,770.1,770.1,770.1,770.1,-0.04,25,19252.5
2023-09-10,770.4,770.4,770.4,770.4,0.01,25,19260.0
2023-08-27,770.3,770.3,770.3,770.3,-2.0,25,19257.5
2023-08-06,786.0,786.0,786.0,786.0,0.0,55,43230.0
2023-07-31,790.0,790.0,786.0,786.0,-2.0,140,110440.0
2023-07-24,802.0,802.0,802.0,802.0,-1.96,50,40100.0
2023-07-16,818.0,818.0,818.0,818.0,2.0,25,20450.0
2023-07-12,820.0,820.0,802.0,802.0,-1.72,275,222940.0
2023-07-09,799.0,816.0,799.0,816.0,1.87,146,117404.0
2023-07-05,801.0,801.0,801.0,801.0,-1.22,25,20025.0
2023-07-04,808.5,810.9,808.5,810.9,2.0,110,89065.0
2023-07-03,797.0,797.0,795.0,795.0,0.0,75,59679.0
2023-07-02,795.5,795.5,795.0,795.0,1.92,50,39762.5
2023-06-28,780.0,780.0,780.0,780.0,0.09,125,97500.0
2023-06-14,779.3,779.3,779.3,779.3,1.99,15,11689.5
2023-06-11,764.2,764.2,764.1,764.1,1.07,175,133720.2
2023-06-05,756.0,756.0,756.0,756.0,-0.74,25,18900.0
2023-05-28,761.4,761.6,761.4,761.6,-0.3,25,19037.0
2023-05-23,763.9,763.9,763.9,763.9,-1.65,25,19097.5
2023-05-15,776.7,776.7,776.7,776.7,2.0,10,7767.0
2023-05-10,762.1,762.1,761.5,761.5,-1.39,100,76194.3
2023-05-09,772.2,772.2,772.2,772.2,1.99,10,7722.0
2023-05-03,757.1,757.1,757.1,757.1,-1.68,10,7571.0
2023-04-27,770.0,770.0,770.0,770.0,1.99,10,7700.0
2023-04-26,755.0,755.0,755.0,755.0,-0.49,25,18875.0
2023-04-25,758.7,758.7,758.7,758.7,-1.81,20,15174.0
2023-04-23,772.7,772.7,772.7,772.7,1.99,50,38635.0
2023-04-20,752.0,757.6,752.0,757.6,-1.03,45,33952.0
2023-04-19,765.5,765.5,765.5,765.5,-1.91,25,19137.5
