date,open,high,low,ltp,percent_change,qty,turnover
2023-06-05,100.0,100.0,100.0,100.0,0.0,79401,7940100.0
2022-08-16,109.0,109.0,109.0,109.0,0.0,45599,4970291.0
2021-12-09,163.0,163.0,163.0,163.0,0.0,30203,4923089.0
2021-06-09,211.0,211.0,211.0,211.0,-1.86,66968,14130248.0
2020-12-31,137.0,137.0,137.0,137.0,0.0,3525,482925.0
2020-10-21,137.0,137.0,137.0,137.0,0.0,266431,36501047.0
2019-10-23,112.0,112.0,112.0,112.0,0.0,2561,286832.0
2019-09-12,112.0,112.0,112.0,112.0,-1.75,419717,47008304.0
2019-09-11,114.0,114.0,114.0,114.0,-21.38,167032,19041648.0
2018-02-28,145.0,145.0,145.0,145.0,1.4,2280,330600.0
2017-06-13,270.0,265.0,265.0,265.0,0.0,250,66250.0
2017-02-22,440.0,440.0,440.0,440.0,0.0,750,330000.0
2016-09-21,445.0,440.0,440.0,440.0,0.0,7000,3080000.0
2016-09-12,451.0,445.0,445.0,445.0,0.0,61000,27145000.0
2016-09-08,460.0,451.0,451.0,451.0,0.0,62000,27962000.0
2016-04-10,326.0,320.0,320.0,320.0,0.0,18471,5910720.0
2015-11-08,245.0,245.0,245.0,245.0,0.0,60000,14700000.0
2015-10-08,250.0,245.0,245.0,245.0,0.0,324068,79396656.0
2015-07-15,255.0,250.0,250.0,250.0,0.0,138607,34651752.0
2015-06-16,260.0,255.0,255.0,255.0,0.0,137557,35077036.0
2013-10-02,128.0,128.0,128.0,128.0,0.0,6945,888960.0
2013-10-01,128.0,128.0,128.0,128.0,0.0,13891,1778048.0
2013-09-29,128.0,128.0,128.0,128.0,0.0,74000,9472000.0
2013-09-22,128.0,128.0,128.0,128.0,0.0,70992,9086976.0
2011-11-22,128.0,128.0,128.0,128.0,0.0,52920,6773760.0
2011-11-17,450.0,128.0,128.0,128.0,0.0,783405,100275840.0
