date,open,high,low,ltp,percent_change,qty,turnover
2024-06-09,9.6,9.76,9.47,9.47,-3.27,205516,1953547.52
2024-06-06,9.7,9.79,9.51,9.79,-0.1,173150,1663642.0
2024-06-05,9.83,9.83,9.8,9.8,0.31,15700,154031.0
2024-06-04,9.59,9.77,9.59,9.77,0.72,60100,584260.0
2024-06-03,9.7,9.7,9.7,9.7,-1.92,9500,92150.0
2024-06-02,9.89,9.9,9.71,9.89,1.85,4689,46359.1
2024-05-30,9.71,9.71,9.53,9.71,0.21,14570,140384.9
2024-05-27,9.5,9.69,9.5,9.69,0.1,13500,130720.0
2024-05-26,9.51,9.68,9.5,9.68,0.31,36913,355530.65
2024-05-22,9.63,9.65,9.63,9.65,0.42,40404,389175.3
2024-05-21,9.55,9.67,9.54,9.61,-0.93,20184,192861.4
2024-05-20,9.62,9.7,9.62,9.7,0.41,36900,357426.0
2024-05-19,9.6,9.66,9.6,9.66,1.68,106900,1029585.0
2024-05-16,9.5,9.69,9.5,9.5,-1.96,20100,190969.0
2024-05-14,9.49,9.69,9.42,9.69,3.53,294985,2857397.5
2024-05-13,9.35,9.36,9.35,9.36,0.0,5900,55199.0
2024-05-09,9.4,9.4,9.35,9.36,-0.32,16767,156904.12
2024-05-07,9.36,9.4,9.36,9.39,-1.68,35000,328600.0
2024-05-06,9.55,9.55,9.55,9.55,1.49,520,4966.0
2024-05-05,9.42,9.42,9.3,9.41,-0.74,39450,370036.0
2024-05-02,9.46,9.48,9.46,9.48,-1.25,3000,28430.0
2024-04-30,9.6,9.6,9.6,9.6,0.0,6527,62659.2
2024-04-28,9.45,9.6,9.45,9.6,1.59,14200,134309.0
2024-04-25,9.46,9.46,9.45,9.45,1.07,2500,23626.22
2024-04-24,9.35,9.35,9.35,9.35,-1.58,1600,14960.0
2024-04-22,9.6,9.6,9.5,9.5,0.0,11667,111086.5
2024-04-18,9.46,9.5,9.46,9.5,-1.45,21758,206449.0
2024-04-16,9.5,9.64,9.5,9.64,1.69,42960,408400.0
2024-04-14,9.5,9.5,9.46,9.48,-0.21,34500,327598.0
2024-04-10,9.51,9.55,9.5,9.5,-0.52,22486,214010.88
2024-04-09,9.52,9.55,9.52,9.55,0.32,17000,162010.0
2024-04-07,9.51,9.6,9.51,9.52,0.21,12483,118742.33
2024-04-04,9.51,9.51,9.5,9.5,-0.84,16400,155900.0
2024-04-03,9.55,9.64,9.49,9.58,0.31,21277,202073.23
2024-04-02,9.51,9.63,9.51,9.55,-0.93,2200,21029.6
2024-04-01,9.51,9.64,9.51,9.64,0.42,20100,191288.47
2024-03-31,9.51,9.6,9.48,9.6,1.05,85713,817025.99
2024-03-28,9.47,9.65,9.47,9.5,0.0,30418,288978.5
2024-03-27,9.55,9.55,9.5,9.5,0.53,41616,395882.0
2024-03-26,9.4,9.5,9.4,9.45,0.21,42383,398739.8
2024-03-25,9.46,9.46,9.43,9.43,-0.74,57850,546565.5
2024-03-21,9.5,9.5,9.5,9.5,0.42,3300,31350.0
2024-03-20,9.46,9.5,9.33,9.46,-1.46,752321,7131053.42
2024-03-19,9.27,9.6,9.27,9.6,2.45,699642,6672780.2
2024-03-18,9.41,9.41,9.34,9.37,-1.37,3000,28071.2
2024-03-17,9.24,9.6,9.24,9.5,0.85,15982,150524.8
2024-03-14,9.42,9.42,9.42,9.42,-1.88,500,4710.0
2024-03-13,9.6,9.6,9.55,9.6,0.21,19589,187840.62
2024-03-12,9.36,9.58,9.36,9.58,1.91,18145,171909.95
2024-03-10,9.36,9.5,9.36,9.4,0.0,3312,31212.12
2024-03-07,9.34,9.4,9.33,9.4,0.21,41101,383729.81
2024-03-06,9.27,9.44,9.27,9.38,-0.74,7588,70746.84
2024-03-05,9.3,9.6,9.3,9.45,0.11,8282,77738.2
2024-03-03,9.26,9.44,9.26,9.44,0.43,9439,87658.03
2024-02-29,9.42,9.5,9.4,9.4,-1.05,45285,426187.5
2024-02-28,9.36,9.53,9.36,9.5,1.6,43500,412210.0
2024-02-27,9.28,9.35,9.28,9.35,0.21,15100,141019.0
2024-02-26,9.35,9.35,9.33,9.33,-0.32,1240,11589.2
2024-02-25,9.53,9.53,9.36,9.36,-1.99,30411,285212.88
2024-02-22,9.64,9.69,9.55,9.55,0.53,114500,1104235.0
2024-02-21,9.31,9.5,9.31,9.5,0.0,31885,300921.0
2024-02-20,9.61,9.61,9.24,9.5,-3.06,13050,122998.0
2024-02-18,9.8,9.8,9.8,9.8,0.72,100,980.0
2024-02-15,9.45,9.73,9.44,9.73,1.78,19950,191788.0
2024-02-14,9.56,9.56,9.56,9.56,-1.75,100,956.0
2024-02-13,9.55,9.73,9.54,9.73,0.21,11200,107740.0
2024-02-12,9.65,9.71,9.51,9.71,2.53,113900,1104162.0
2024-02-11,9.42,9.47,9.42,9.47,-0.42,10950,103256.5
2024-02-08,9.47,9.55,9.47,9.51,-0.31,22514,213858.72
2024-02-07,9.57,9.57,9.42,9.54,1.49,45590,435105.17
2024-02-06,9.36,9.5,9.36,9.4,-1.26,72105,677787.5
2024-02-05,9.4,9.57,9.39,9.52,0.21,128307,1212101.66
2024-02-04,9.32,9.5,9.32,9.5,0.85,77940,733671.8
2024-02-01,9.45,9.45,9.42,9.42,-0.84,8000,75548.07
2024-01-31,9.41,9.54,9.41,9.5,1.39,133769,1267662.86
2024-01-30,9.28,9.5,9.28,9.37,0.97,31091,291478.33
2024-01-29,9.28,9.44,9.28,9.28,1.98,59245,549969.12
2024-01-28,9.25,9.25,9.1,9.1,0.33,300,2760.0
2024-01-25,9.12,9.14,8.97,9.07,-0.55,14750,133841.5
2024-01-24,9.11,9.12,9.1,9.12,0.33,10550,96041.0
2024-01-23,9.32,9.32,9.09,9.09,-4.32,11479,104650.33
2024-01-22,9.56,9.56,9.37,9.5,1.28,1900,17946.99
2024-01-21,9.2,9.38,9.2,9.38,1.96,3139,28903.82
2024-01-18,9.02,9.2,9.02,9.2,0.77,17700,162604.0
