date,open,high,low,ltp,percent_change,qty,turnover
2019-06-06,126.0,126.0,126.0,126.0,-1.56,200,25200.0
2019-05-29,130.0,130.0,128.0,128.0,-1.54,150,19300.0
2019-04-01,130.0,130.0,130.0,130.0,0.0,252,32760.0
2019-03-31,130.0,130.0,130.0,130.0,0.0,1878,244140.0
2019-03-17,130.0,130.0,130.0,130.0,1.56,55,7150.0
2019-01-29,131.0,131.0,128.0,128.0,-3.76,300,38702.0
2019-01-09,133.0,133.0,133.0,133.0,-1.48,10,1330.0
2019-01-01,135.0,135.0,135.0,135.0,0.75,490,66150.0
2018-12-31,134.0,134.0,134.0,134.0,1.52,10,1340.0
2018-12-27,134.0,134.0,132.0,132.0,-2.94,2490,332680.0
2018-12-26,136.0,136.0,136.0,136.0,-1.45,361,49096.0
2018-12-25,138.0,138.0,138.0,138.0,-1.43,1000,138000.0
2018-12-20,147.0,147.0,140.0,140.0,-6.67,5742,837322.0
2018-12-19,150.0,150.0,150.0,150.0,0.0,5500,825000.0
2018-12-18,150.0,150.0,150.0,150.0,0.67,6500,975000.0
2018-11-12,149.0,149.0,149.0,149.0,0.0,55,8195.0
2018-09-13,149.0,149.0,149.0,149.0,0.0,40,5960.0
2018-09-12,149.0,149.0,149.0,149.0,-1.97,223,33227.0
2018-09-09,152.0,152.0,152.0,152.0,-1.3,100,15200.0
2018-09-06,154.0,154.0,154.0,154.0,1.99,500,77000.0
2018-08-16,164.0,164.0,151.0,151.0,-9.58,771,122333.0
2018-08-14,167.0,167.0,167.0,167.0,-1.76,220,36740.0
2018-06-20,167.0,170.0,167.0,170.0,0.0,170,28750.0
2018-06-04,170.0,170.0,170.0,170.0,-1.73,50,8500.0
2018-06-03,173.0,173.0,173.0,173.0,1.76,50,8650.0
2018-05-31,170.0,170.0,170.0,170.0,-1.73,300,51000.0
2018-05-30,176.0,176.0,173.0,173.0,-3.35,255,44151.0
2018-05-29,179.0,179.0,179.0,179.0,-1.65,100,17900.0
2018-05-28,182.0,182.0,182.0,182.0,1.68,10,1820.0
2018-05-24,179.0,179.0,179.0,179.0,1.7,90,16110.0
2018-05-22,176.0,176.0,176.0,176.0,1.73,100,17600.0
2018-05-21,176.0,176.0,173.0,173.0,0.0,510,88260.0
2018-05-20,173.0,176.0,173.0,173.0,1.76,800,138700.0
2018-05-17,170.0,170.0,170.0,170.0,-1.16,500,85000.0
2018-05-16,172.0,172.0,172.0,172.0,1.78,901,154972.0
2018-05-08,169.0,169.0,169.0,169.0,-1.74,14,2366.0
2018-05-07,172.0,172.0,172.0,172.0,-1.71,30,5160.0
2018-05-06,178.0,178.0,175.0,175.0,-3.31,260,46100.0
2018-04-26,184.0,184.0,181.0,181.0,0.0,250,45850.0
2018-04-25,181.0,181.0,181.0,181.0,-1.63,600,108600.0
2018-04-24,185.0,184.0,184.0,184.0,1.1,70,12880.0
2018-04-23,180.0,182.0,180.0,182.0,2.82,833,150606.0
2018-04-19,177.0,177.0,177.0,177.0,-1.67,750,132750.0
2018-04-18,180.0,180.0,180.0,180.0,1.12,600,108000.0
2018-04-17,178.0,178.0,178.0,178.0,1.71,215,38270.0
2018-04-16,172.0,175.0,172.0,175.0,1.74,1195,207325.0
2018-04-12,172.0,172.0,172.0,172.0,-1.71,50,8600.0
2018-04-09,175.0,175.0,175.0,175.0,0.0,100,17500.0
2018-04-08,172.0,178.0,172.0,175.0,2.94,349,60505.0
2018-04-05,170.0,170.0,170.0,170.0,1.8,610,103700.0
2018-04-04,167.0,167.0,167.0,167.0,1.83,192,32064.0
2018-04-03,167.0,167.0,164.0,164.0,-3.53,337,56168.0
2018-03-27,170.0,170.0,170.0,170.0,-1.73,40,6800.0
2018-03-14,173.0,173.0,173.0,173.0,1.17,20,3460.0
2018-03-13,171.0,171.0,171.0,171.0,0.59,100,17100.0
2018-03-07,173.0,173.0,170.0,170.0,0.0,600,102600.0
2018-03-06,164.0,170.0,161.0,170.0,5.59,3522,580338.0
2018-03-04,161.0,161.0,161.0,161.0,-1.83,88,14168.0
2018-02-28,164.0,164.0,164.0,164.0,-1.8,600,98400.0
2018-02-25,167.0,167.0,167.0,167.0,-1.76,20,3340.0
