date,open,high,low,ltp,percent_change,qty,turnover
2017-02-06,233.0,241.0,237.0,241.0,0.0,352,84792.0
2017-02-02,229.0,233.0,229.0,233.0,0.0,627,146035.0
2017-02-01,230.0,229.0,229.0,229.0,0.0,40,9160.0
2017-01-31,237.0,233.0,230.0,230.0,0.0,850,195950.0
2017-01-26,245.0,241.0,237.0,237.0,0.0,613,146133.0
2017-01-25,260.0,255.0,245.0,245.0,0.0,773,193665.0
2017-01-24,285.0,280.0,260.0,260.0,0.0,300,80500.0
2017-01-19,285.0,285.0,285.0,285.0,0.0,137,39045.0
2017-01-16,265.0,285.0,262.0,285.0,0.0,200,55370.0
2017-01-15,260.0,265.0,265.0,265.0,0.0,20,5300.0
2017-01-12,253.0,260.0,255.0,260.0,0.0,231,58990.0
2017-01-10,258.0,254.0,253.0,253.0,0.0,500,126700.0
2017-01-09,262.0,262.0,258.0,258.0,0.0,1100,285600.0
2017-01-08,272.0,267.0,262.0,262.0,0.0,670,178140.0
2017-01-05,271.0,272.0,272.0,272.0,0.0,274,74528.0
2017-01-04,276.0,271.0,271.0,271.0,0.0,57,15447.0
2017-01-03,281.0,276.0,276.0,276.0,0.0,200,55200.0
2017-01-02,370.0,391.0,365.0,380.0,0.0,4802,1823968.0
2017-01-01,363.0,370.0,370.0,370.0,0.0,198,73260.0
2016-12-29,360.0,375.0,362.0,363.0,0.0,3724,1368048.0
2016-12-28,353.0,360.0,355.0,360.0,0.0,2897,1035829.0
2016-12-27,361.0,365.0,353.0,353.0,0.0,1530,546058.0
2016-12-26,378.0,371.0,360.0,361.0,0.0,695,252501.0
2016-12-22,370.0,378.0,364.0,378.0,0.0,321,119248.0
2016-12-21,384.0,378.0,370.0,370.0,0.0,1308,487676.0
2016-12-20,391.0,398.0,384.0,384.0,0.0,668,256988.0
2016-12-19,401.0,398.0,391.0,391.0,0.0,904,356478.0
2016-12-18,377.0,405.0,383.0,401.0,0.0,2473,970671.0
2016-12-15,370.0,377.0,377.0,377.0,0.0,50,18850.0
2016-12-14,370.0,377.0,370.0,370.0,0.0,352,130373.0
2016-12-12,368.0,377.0,357.0,370.0,0.0,2662,969794.0
2016-12-11,388.0,388.0,368.0,368.0,0.0,1603,611031.0
2016-12-08,388.0,390.0,383.0,388.0,0.0,903,349879.0
2016-12-07,395.0,402.0,388.0,388.0,0.0,610,239020.0
2016-12-06,415.0,410.0,395.0,395.0,0.0,5038,2014270.0
2016-12-05,426.0,418.0,407.0,415.0,0.0,1620,667910.0
2016-12-04,426.0,426.0,418.0,426.0,0.0,2684,1134793.0
2016-12-01,426.0,439.0,417.0,426.0,0.0,9251,3978809.0
2016-11-30,388.0,426.0,395.0,426.0,0.0,2820,1189376.0
2016-11-29,355.0,388.0,360.0,388.0,0.0,590,223600.0
2016-11-28,354.0,355.0,347.0,355.0,0.0,484,168848.0
2016-11-27,381.0,374.0,354.0,354.0,0.0,1869,679638.0
2016-11-24,365.0,400.0,372.0,381.0,0.0,4487,1724623.0
2016-11-23,377.0,370.0,363.0,365.0,0.0,393,144873.0
2016-11-22,384.0,377.0,377.0,377.0,0.0,139,52403.0
2016-11-21,380.0,384.0,366.0,384.0,0.0,687,257802.0
2016-11-20,387.0,390.0,380.0,380.0,0.0,607,232440.0
2016-11-17,410.0,402.0,387.0,387.0,0.0,1876,730082.0
2016-11-16,415.0,412.0,410.0,410.0,0.0,1500,615800.0
2016-11-15,413.0,415.0,410.0,415.0,0.0,1616,667324.0
2016-11-14,400.0,413.0,385.0,413.0,0.0,912,354802.0
2016-11-13,408.0,416.0,400.0,400.0,0.0,1887,760865.0
