date,open,high,low,ltp,percent_change,qty,turnover
2021-03-07,331.0,331.0,331.0,331.0,0.0,26355,8723505.0
2021-01-27,331.0,331.0,331.0,331.0,0.0,79050,26165550.0
2021-01-05,331.0,331.0,331.0,331.0,0.0,12460,4124260.0
2021-01-03,331.0,331.0,331.0,331.0,0.0,25906,8574886.0
2020-12-30,331.0,331.0,331.0,331.0,0.0,68916,22811196.0
2020-12-16,331.0,331.0,331.0,331.0,0.0,114843,38013033.0
2020-12-01,331.0,331.0,331.0,331.0,0.0,72709,24066679.0
2020-11-30,331.0,331.0,331.0,331.0,0.0,89185,29520235.0
2020-11-29,331.0,331.0,331.0,331.0,0.0,104724,34663644.0
2020-11-26,331.0,331.0,331.0,331.0,0.0,79050,26165550.0
2020-07-30,256.0,256.0,256.0,256.0,-1.92,22441,5744896.0
2020-07-27,266.0,266.0,261.0,261.0,-3.69,112197,29294402.0
2019-07-28,228.0,228.0,227.0,227.0,0.0,28542,6493305.0
