date,open,high,low,ltp,percent_change,qty,turnover
2015-12-24,399.0,407.0,394.0,401.0,0.0,65505,26239340.0
2015-12-23,395.0,399.0,390.0,399.0,0.0,55333,21737616.0
2015-12-22,392.0,399.0,390.0,395.0,0.0,33565,13163428.0
2015-12-21,386.0,392.0,380.0,392.0,0.0,8645,3355100.0
2015-12-20,380.0,386.0,380.0,386.0,0.0,6895,2634120.0
2015-12-17,384.0,383.0,378.0,380.0,0.0,10709,4070814.0
2015-12-16,388.0,390.0,384.0,384.0,0.0,12765,4926412.0
2015-12-15,399.0,398.0,388.0,388.0,0.0,12609,4960772.0
2015-12-14,395.0,399.0,395.0,399.0,0.0,26045,10353047.0
2015-12-13,395.0,406.0,391.0,395.0,0.0,94331,37660884.0
2015-12-10,392.0,399.0,380.0,395.0,0.0,30261,11778101.0
2015-12-09,390.0,402.0,388.0,392.0,0.0,30191,11857822.0
2015-12-08,385.0,390.0,380.0,390.0,0.0,4313,1666906.0
2015-12-07,381.0,402.0,383.0,385.0,0.0,6132,2383807.0
2015-12-06,369.0,385.0,376.0,381.0,0.0,5447,2083316.0
2015-12-03,365.0,382.0,358.0,369.0,0.0,8472,3137753.0
2015-12-02,375.0,375.0,365.0,365.0,0.0,3556,1302894.0
2015-12-01,360.0,375.0,363.0,375.0,0.0,2688,988020.0
2015-11-30,357.0,365.0,350.0,360.0,0.0,7907,2827974.0
2015-11-29,365.0,361.0,353.0,357.0,0.0,6425,2296389.0
2015-11-26,368.0,365.0,357.0,365.0,0.0,6428,2320166.0
2015-11-25,371.0,370.0,365.0,368.0,0.0,2055,755645.0
2015-11-24,372.0,374.0,370.0,371.0,0.0,718,266172.0
2015-11-23,371.0,374.0,360.0,372.0,0.0,8138,2986040.0
2015-11-22,381.0,375.0,365.0,371.0,0.0,7478,2769244.0
2015-11-19,385.0,384.0,375.0,381.0,0.0,2575,970971.0
2015-11-18,376.0,385.0,379.0,385.0,0.0,1099,422592.0
2015-11-16,383.0,377.0,376.0,376.0,0.0,1112,418212.0
2015-11-15,390.0,383.0,383.0,383.0,0.0,400,153200.0
2015-11-10,390.0,390.0,376.0,390.0,0.0,6565,2501608.0
2015-11-09,374.0,395.0,376.0,390.0,0.0,20595,7968294.0
2015-11-08,380.0,375.0,373.0,374.0,0.0,3572,1334857.0
2015-11-05,380.0,382.0,376.0,380.0,0.0,5711,2169570.0
2015-11-04,375.0,380.0,370.0,380.0,0.0,8411,3161857.0
2015-11-03,372.0,377.0,372.0,375.0,0.0,2612,976325.0
2015-11-02,373.0,380.0,372.0,372.0,0.0,6374,2386246.0
2015-11-01,373.0,373.0,367.0,373.0,0.0,4305,1585809.0
2015-10-29,379.0,386.0,370.0,373.0,0.0,6881,2583234.0
2015-10-28,371.0,379.0,360.0,379.0,0.0,10324,3780049.0
2015-10-27,390.0,390.0,371.0,371.0,0.0,6042,2272441.0
2015-10-25,392.0,390.0,390.0,390.0,0.0,400,156000.0
2015-10-19,389.0,396.0,390.0,392.0,0.0,10623,4154226.0
2015-10-18,391.0,394.0,387.0,389.0,0.0,6392,2494556.0
2015-10-15,395.0,395.0,390.0,391.0,0.0,3662,1431830.0
2015-10-14,397.0,404.0,395.0,395.0,0.0,7478,2965512.0
2015-10-11,405.0,402.0,395.0,397.0,0.0,11163,4448212.0
2015-10-08,404.0,405.0,398.0,405.0,0.0,14726,5897988.0
2015-10-07,402.0,404.0,398.0,404.0,0.0,15952,6391357.0
2015-10-06,409.0,410.0,400.0,402.0,0.0,22904,9210971.0
2015-10-05,412.0,412.0,406.0,409.0,0.0,6733,2758229.0
2015-10-04,410.0,414.0,408.0,412.0,0.0,21173,8714993.0
2015-10-01,413.0,415.0,409.0,410.0,0.0,18644,7666334.0
2015-09-30,405.0,415.0,410.0,413.0,0.0,15200,6273710.0
2015-09-29,402.0,410.0,404.0,405.0,0.0,21190,8603093.0
2015-09-28,413.0,406.0,398.0,402.0,0.0,21788,8746864.0
2015-09-24,416.0,424.0,400.0,413.0,0.0,16373,6698671.0
2015-09-23,402.0,425.0,409.0,416.0,0.0,12417,5121173.0
2015-09-22,417.0,414.0,400.0,402.0,0.0,17399,7041403.0
2015-09-17,424.0,425.0,416.0,417.0,0.0,21031,8811221.0
2015-09-16,424.0,432.0,422.0,424.0,0.0,12762,5439123.0
2015-09-15,420.0,428.0,418.0,424.0,0.0,10216,4307865.0
2015-09-14,416.0,432.0,417.0,420.0,0.0,18312,7692367.0
2015-09-13,415.0,420.0,415.0,416.0,0.0,16383,6830701.0
2015-09-10,426.0,427.0,412.0,415.0,0.0,9396,3939522.0
2015-09-09,420.0,430.0,417.0,426.0,0.0,20805,8805842.0
2015-09-08,412.0,427.0,412.0,420.0,0.0,19480,8103475.0
2015-09-07,410.0,415.0,410.0,412.0,0.0,5670,2335757.0
2015-09-06,410.0,413.0,401.0,410.0,0.0,16656,6784934.0
2015-09-03,404.0,411.0,403.0,410.0,0.0,19931,8134674.0
2015-09-02,408.0,416.0,400.0,404.0,0.0,36372,14760965.0
