date,open,high,low,ltp,percent_change,qty,turnover
2026-05-21,523.5,523.5,523.5,523.5,0.0,11814,4850001.42
2026-05-12,523.5,523.5,523.5,523.5,0.0,5671,2968768.5
2026-04-27,523.5,523.5,523.5,523.5,0.0,5671,2968768.5
2026-03-24,523.5,523.5,523.5,523.5,-1.98,5671,2968768.5
2026-01-21,534.1,534.1,534.1,534.1,0.0,4423,2362324.3
2026-01-08,534.1,534.1,534.1,534.1,0.0,9000,4806900.0
2026-01-06,534.1,534.1,534.1,534.1,-2.0,2268,1211338.8
2025-12-11,545.0,545.0,545.0,545.0,0.0,2500,1362500.0
2025-11-03,545.0,545.0,545.0,545.0,0.0,9452,5151340.0
2025-07-28,683.0,683.0,683.0,683.0,0.0,5671,3873293.0
2025-05-08,766.5,766.5,766.5,766.5,0.0,5671,4346821.5
2025-03-30,766.5,766.5,766.5,766.5,0.0,74,56721.0
2025-03-06,766.5,766.5,766.5,766.5,-1.99,22685,17388052.5
2025-01-27,782.1,782.1,782.1,782.1,0.0,11376,8897169.6
2024-12-16,782.1,782.1,782.1,782.1,-1.99,6162,4819300.2
2024-11-12,798.0,798.0,798.0,798.0,0.0,1325,1057350.0
2024-10-07,798.0,798.0,798.0,798.0,0.0,13910,11100180.0
