date,open,high,low,ltp,percent_change,qty,turnover
2016-06-01,315.0,315.0,304.0,304.0,0.0,1400,429400.0
2016-05-31,295.0,324.0,285.0,315.0,0.0,77936,24457896.0
2016-05-30,301.0,319.0,295.0,295.0,0.0,8812,2734816.0
2016-05-29,321.0,315.0,301.0,301.0,0.0,1743,532945.0
2016-05-25,317.0,327.0,318.0,321.0,0.0,2081,672788.0
2016-05-24,304.0,323.0,293.0,317.0,0.0,5663,1716420.0
2016-05-23,300.0,306.0,294.0,304.0,0.0,420,125240.0
2016-05-22,305.0,300.0,300.0,300.0,0.0,158,47400.0
2016-05-19,307.0,312.0,300.0,305.0,0.0,2635,798002.0
2016-05-18,307.0,313.0,307.0,307.0,0.0,710,218830.0
2016-05-17,286.0,307.0,281.0,307.0,0.0,541,153461.0
2016-05-16,290.0,295.0,286.0,286.0,0.0,163,46748.0
2016-05-15,286.0,290.0,283.0,290.0,0.0,1148,328308.0
2016-05-12,296.0,291.0,286.0,286.0,0.0,348,99763.0
2016-05-11,302.0,296.0,296.0,296.0,0.0,200,59200.0
2016-05-10,300.0,302.0,286.0,302.0,0.0,3099,914966.0
2016-05-09,308.0,304.0,300.0,300.0,0.0,110,33040.0
2016-05-08,308.0,325.0,304.0,308.0,0.0,2395,738834.0
2016-05-05,280.0,308.0,280.0,308.0,0.0,627,183453.0
2016-05-04,287.0,283.0,280.0,280.0,0.0,2490,698700.0
2016-05-03,292.0,287.0,287.0,287.0,0.0,100,28700.0
2016-05-02,297.0,292.0,292.0,292.0,0.0,71,20732.0
2016-04-27,303.0,297.0,297.0,297.0,0.0,208,61776.0
2016-04-26,295.0,303.0,287.0,303.0,0.0,2503,739664.0
2016-04-25,313.0,310.0,294.0,295.0,0.0,2846,855874.0
2016-04-24,301.0,313.0,307.0,313.0,0.0,40,12400.0
2016-04-21,307.0,301.0,301.0,301.0,0.0,1020,307020.0
2016-04-20,319.0,313.0,307.0,307.0,0.0,100,31000.0
2016-04-18,313.0,331.0,319.0,319.0,0.0,5276,1690944.0
2016-04-12,316.0,313.0,313.0,313.0,0.0,200,62600.0
2016-04-11,295.0,316.0,294.0,316.0,0.0,11824,3565664.0
2016-04-10,285.0,295.0,275.0,295.0,0.0,3066,865750.0
