date,open,high,low,ltp,percent_change,qty,turnover
2026-08-18,1126.2,1126.2,1126.2,1126.2,-3.0,28,31533.6
2026-07-21,1161.0,1161.0,1161.0,1161.0,0.0,5,5805.0
2026-07-20,1161.0,1161.0,1161.0,1161.0,-0.85,25,29025.0
2026-07-14,1145.18,1171.0,1138.0,1171.0,2.26,32669,37753603.4
2026-07-10,1136.0,1145.0,1136.0,1145.1,2.52,100003,114053435.3
2026-07-07,1117.0,1117.0,1117.0,1117.0,-2.62,10000,11170000.0
2026-06-29,1147.0,1147.0,1147.0,1147.0,0.0,20,22940.0
2026-06-26,1147.0,1147.0,1147.0,1147.0,-0.09,20,22940.0
2026-06-19,1148.0,1148.0,1148.0,1148.0,3.7,5000,5740000.0
2026-06-18,1107.0,1107.0,1107.0,1107.0,0.0,5,5535.0
2026-06-15,1107.0,1107.0,1107.0,1107.0,-1.77,25,27675.0
2026-06-09,1127.0,1127.0,1127.0,1127.0,-1.32,40,45080.0
2026-06-04,1142.1,1142.1,1142.1,1142.1,1.34,188,214714.8
2026-06-03,1127.0,1127.0,1127.0,1127.0,-1.03,40,45080.0
2026-05-20,1138.7,1138.7,1138.7,1138.7,0.06,30,34161.0
2026-04-23,1138.0,1138.0,1138.0,1138.0,2.89,25,28450.0
2026-04-10,1106.0,1106.0,1106.0,1106.0,-1.95,25,27650.0
2026-03-22,1128.0,1128.0,1128.0,1128.0,1.99,430,485040.0
2026-03-16,1087.9,1106.0,1087.9,1106.0,0.0,50,54847.5
2026-03-12,1106.7,1106.7,1106.0,1106.0,1.94,50,55317.5
2026-03-03,1085.0,1085.0,1085.0,1085.0,0.18,25,27125.0
2026-02-24,1083.0,1083.0,1083.0,1083.0,-0.38,40,43320.0
2026-02-17,1087.1,1087.1,1087.1,1087.1,-1.99,65,70661.5
2026-02-11,1109.2,1109.2,1109.2,1109.2,0.56,25,27730.0
2026-02-10,1104.0,1104.0,1103.0,1103.0,0.18,100,110350.0
2026-02-08,1101.0,1101.0,1101.0,1101.0,-1.96,10,11010.0
2026-01-27,1123.0,1123.0,1123.0,1123.0,-1.96,50,56150.0
2026-01-12,1145.5,1145.5,1145.5,1145.5,1.99,25,28637.5
2026-01-05,1123.1,1123.1,1123.1,1123.1,-2.0,40,44924.0
2025-12-24,1146.0,1146.0,1146.0,1146.0,-1.97,25,28650.0
