date,open,high,low,ltp,percent_change,qty,turnover
2025-08-07,359.0,359.0,359.0,359.0,0.0,22000,7898000.0
2024-11-27,379.0,379.0,379.0,379.0,0.0,14000,5306000.0
2024-07-11,311.0,311.0,311.0,311.0,0.0,29162,9069382.0
2024-02-29,217.0,217.0,217.0,217.0,-6.06,5000,1085000.0
2023-09-24,231.0,231.0,231.0,231.0,0.0,47325,10932075.0
2023-05-28,196.0,196.0,196.0,196.0,0.0,23001,4508196.0
2023-05-21,196.0,196.0,196.0,196.0,0.0,5000,980000.0
2022-12-11,167.4,167.4,160.9,160.9,-5.8,8289,1344790.4
2022-11-30,170.8,170.8,170.8,170.8,-1.95,3000,512400.0
2022-10-13,177.7,177.7,174.2,174.2,-3.92,60000,10557000.0
2022-08-24,181.3,181.3,181.3,181.3,-2.0,43740,7930062.0
2022-07-15,185.0,185.0,185.0,185.0,0.0,29158,5394230.0
2022-01-25,274.0,274.0,274.0,274.0,0.0,8592,2354208.0
2022-01-20,274.0,274.0,274.0,274.0,0.0,8600,2356400.0
2022-01-16,274.0,274.0,274.0,274.0,0.0,45130,12365620.0
2021-05-03,182.0,182.0,182.0,182.0,0.0,5000,910000.0
2020-09-16,182.0,182.0,182.0,182.0,-1.62,5926,1078532.0
2020-07-28,185.0,185.0,185.0,185.0,0.0,16165,2990520.0
2020-07-23,185.0,185.0,185.0,185.0,0.0,6061,1121285.0
2020-02-05,136.0,136.0,136.0,136.0,0.0,12000,1632000.0
2019-12-11,136.0,136.0,136.0,136.0,0.0,2000,272000.0
2019-12-04,136.0,136.0,136.0,136.0,-75.32,9440,1283840.0
2016-09-12,551.0,551.0,551.0,551.0,0.0,2871,1581921.0
2016-09-07,551.0,551.0,551.0,551.0,0.0,1440,793440.0
2016-08-21,550.0,551.0,551.0,551.0,0.0,2600,1432600.0
2015-11-16,238.0,234.0,234.0,234.0,0.0,20880,4885920.0
2015-11-15,242.0,238.0,238.0,238.0,0.0,21600,5140800.0
2015-11-10,246.0,242.0,242.0,242.0,0.0,23400,5662800.0
2015-08-10,246.0,246.0,246.0,246.0,0.0,4000,984000.0
2015-07-13,246.0,246.0,246.0,246.0,0.0,11520,2833920.0
2014-12-28,232.0,232.0,232.0,232.0,0.0,3520,816640.0
2014-12-23,232.0,232.0,232.0,232.0,0.0,2160,501120.0
2014-11-13,240.0,236.0,232.0,232.0,0.0,15840,3703680.0
2014-08-07,244.0,240.0,240.0,240.0,0.0,15840,3801600.0
2014-06-29,240.0,244.0,244.0,244.0,0.0,4320,1054080.0
