date,open,high,low,ltp,percent_change,qty,turnover
2015-11-09,315.0,321.0,315.0,321.0,0.0,175,55659.0
2015-11-08,315.0,315.0,314.0,315.0,0.0,1021,321144.0
2015-11-05,319.0,320.0,315.0,315.0,0.0,307,97250.0
2015-10-29,329.0,325.0,319.0,319.0,0.0,463,148380.0
2015-10-25,335.0,329.0,329.0,329.0,0.0,88,28952.0
2015-10-15,335.0,335.0,329.0,335.0,0.0,430,142760.0
2015-10-14,329.0,335.0,335.0,335.0,0.0,380,127300.0
2015-10-11,335.0,335.0,329.0,329.0,0.0,84,27756.0
2015-10-08,329.0,335.0,335.0,335.0,0.0,37,12395.0
2015-10-07,345.0,339.0,329.0,329.0,0.0,680,225211.0
2015-10-06,350.0,345.0,345.0,345.0,0.0,182,62790.0
2015-10-04,357.0,350.0,350.0,350.0,0.0,185,64750.0
2015-10-01,356.0,363.0,357.0,357.0,0.0,760,273128.0
2015-09-30,336.0,356.0,342.0,356.0,0.0,2509,881581.0
2015-09-29,330.0,336.0,336.0,336.0,0.0,10,3360.0
2015-09-23,332.0,330.0,330.0,330.0,0.0,22,7260.0
2015-09-22,338.0,332.0,332.0,332.0,0.0,11,3652.0
2015-09-17,335.0,338.0,331.0,338.0,0.0,1740,580978.0
2015-09-16,342.0,345.0,335.0,335.0,0.0,1000,340900.0
2015-09-15,335.0,345.0,340.0,342.0,0.0,1427,487307.0
2015-09-14,329.0,335.0,330.0,335.0,0.0,1449,483012.0
2015-09-13,330.0,336.0,325.0,329.0,0.0,1190,392399.0
2015-09-10,340.0,334.0,322.0,330.0,0.0,1316,432800.0
2015-09-09,350.0,343.0,337.0,340.0,0.0,759,258104.0
2015-09-08,320.0,350.0,326.0,350.0,0.0,641,222676.0
2015-09-07,319.0,321.0,315.0,320.0,0.0,1019,325455.0
2015-09-02,325.0,325.0,319.0,319.0,0.0,783,251903.0
2015-08-31,319.0,325.0,320.0,325.0,0.0,60,19425.0
2015-08-26,312.0,319.0,313.0,319.0,0.0,125,39341.0
2015-08-25,324.0,318.0,312.0,312.0,0.0,800,251400.0
2015-08-23,330.0,330.0,324.0,324.0,0.0,42,13794.0
2015-08-20,331.0,337.0,329.0,330.0,0.0,596,199917.0
2015-08-19,325.0,331.0,331.0,331.0,0.0,52,17212.0
2015-08-17,319.0,325.0,325.0,325.0,0.0,30,9750.0
2015-08-16,325.0,319.0,319.0,319.0,0.0,11,3509.0
2015-08-12,348.0,342.0,325.0,325.0,0.0,85,28043.0
2015-08-10,343.0,348.0,343.0,348.0,0.0,115,39870.0
2015-08-09,348.0,354.0,343.0,343.0,0.0,2312,809131.0
2015-08-04,355.0,348.0,348.0,348.0,0.0,41,14268.0
2015-07-29,354.0,355.0,355.0,355.0,0.0,500,177500.0
2015-07-27,348.0,361.0,354.0,354.0,0.0,364,131050.0
2015-07-26,330.0,348.0,336.0,348.0,0.0,30,10260.0
2015-07-23,300.0,330.0,306.0,330.0,0.0,1265,413370.0
2015-07-13,305.0,300.0,300.0,300.0,0.0,1414,424200.0
2015-07-08,305.0,305.0,305.0,305.0,0.0,84,25620.0
2015-07-06,341.0,345.0,335.0,336.0,0.0,2265,764068.0
2015-07-05,324.0,350.0,329.0,341.0,0.0,2622,886596.0
2015-07-02,336.0,330.0,324.0,324.0,0.0,144,46872.0
2015-07-01,332.0,338.0,333.0,336.0,0.0,1128,379154.0
2015-06-30,338.0,332.0,332.0,332.0,0.0,68,22576.0
2015-06-29,332.0,344.0,338.0,338.0,0.0,711,243632.0
2015-06-28,314.0,332.0,319.0,332.0,0.0,7327,2344961.0
2015-06-25,315.0,320.0,314.0,314.0,0.0,3055,959870.0
2015-06-22,319.0,315.0,315.0,315.0,0.0,102,32130.0
2015-06-21,328.0,325.0,319.0,319.0,0.0,790,253160.0
2015-06-17,325.0,328.0,322.0,328.0,0.0,944,309260.0
2015-06-16,330.0,325.0,325.0,325.0,0.0,74,24050.0
2015-06-15,330.0,333.0,330.0,330.0,0.0,4888,1613625.0
2015-06-14,337.0,336.0,330.0,330.0,0.0,262,86932.0
2015-06-11,334.0,337.0,328.0,337.0,0.0,1236,406658.0
2015-06-10,340.0,334.0,334.0,334.0,0.0,100,33400.0
2015-06-09,327.0,340.0,329.0,340.0,0.0,3511,1168098.0
2015-06-08,320.0,327.0,323.0,327.0,0.0,3564,1161153.0
2015-06-07,315.0,328.0,318.0,320.0,0.0,1844,594052.0
2015-06-04,330.0,325.0,315.0,315.0,0.0,5197,1658232.0
2015-06-03,342.0,336.0,330.0,330.0,0.0,53,17742.0
2015-05-27,337.0,342.0,342.0,342.0,0.0,20,6840.0
2015-04-23,350.0,343.0,337.0,337.0,0.0,204,69348.0
2015-04-22,357.0,350.0,350.0,350.0,0.0,132,46200.0
2015-04-21,345.0,357.0,348.0,357.0,0.0,173,60424.0
2015-04-20,334.0,345.0,334.0,345.0,0.0,603,203710.0
2015-04-19,337.0,338.0,330.0,334.0,0.0,5678,1879131.0
2015-04-16,340.0,342.0,336.0,337.0,0.0,2057,698257.0
2015-04-15,340.0,340.0,334.0,340.0,0.0,700,235000.0
2015-04-13,345.0,344.0,340.0,340.0,0.0,2000,683000.0
2015-04-12,333.0,345.0,339.0,345.0,0.0,1251,428651.0
2015-04-09,332.0,342.0,329.0,333.0,0.0,1616,545629.0
2015-04-08,330.0,334.0,332.0,332.0,0.0,1200,399300.0
2015-04-07,330.0,336.0,330.0,330.0,0.0,589,194852.0
2015-04-06,330.0,330.0,326.0,330.0,0.0,428,140328.0
2015-04-02,338.0,332.0,330.0,330.0,0.0,3519,1161648.0
2015-03-26,343.0,338.0,338.0,338.0,0.0,156,52728.0
2015-03-25,349.0,343.0,343.0,343.0,0.0,175,60025.0
2015-03-24,356.0,349.0,349.0,349.0,0.0,337,117613.0
2015-03-22,359.0,366.0,356.0,356.0,0.0,484,172924.0
2015-03-19,352.0,359.0,352.0,359.0,0.0,1008,356272.0
2015-03-16,372.0,366.0,352.0,352.0,0.0,347,124329.0
2015-03-15,380.0,379.0,371.0,372.0,0.0,812,302681.0
2015-03-12,374.0,380.0,374.0,380.0,0.0,536,203464.0
2015-03-11,373.0,376.0,374.0,374.0,0.0,776,291357.0
2015-03-10,359.0,373.0,366.0,373.0,0.0,493,183521.0
2015-03-09,352.0,366.0,359.0,359.0,0.0,700,252259.0
2015-03-02,340.0,352.0,346.0,352.0,0.0,151,53020.0
2015-02-26,334.0,340.0,330.0,340.0,0.0,171,57902.0
2015-02-25,340.0,334.0,334.0,334.0,0.0,20,6680.0
2015-02-24,346.0,340.0,340.0,340.0,0.0,10,3400.0
2015-02-23,339.0,351.0,345.0,346.0,0.0,1335,462645.0
2015-02-22,345.0,339.0,339.0,339.0,0.0,15,5085.0
2015-02-18,350.0,345.0,345.0,345.0,0.0,99,34155.0
2015-02-16,353.0,351.0,348.0,350.0,0.0,1586,554111.0
2015-02-15,363.0,360.0,353.0,353.0,0.0,976,350163.0
2015-02-12,350.0,376.0,343.0,363.0,0.0,2585,914717.0
2015-02-10,351.0,350.0,344.0,350.0,0.0,152,53080.0
2015-02-09,350.0,357.0,351.0,351.0,0.0,163,57393.0
2015-02-08,351.0,354.0,350.0,350.0,0.0,2057,725287.0
2015-02-05,365.0,365.0,351.0,351.0,0.0,2109,744095.0
2015-02-04,405.0,397.0,365.0,365.0,0.0,434,160225.0
2015-02-01,403.0,405.0,405.0,405.0,0.0,86,34830.0
2015-01-29,375.0,403.0,382.0,403.0,0.0,270,106780.0
2015-01-28,359.0,383.0,365.0,375.0,0.0,969,361202.0
2015-01-27,348.0,370.0,353.0,359.0,0.0,1970,710652.0
2015-01-26,342.0,348.0,347.0,348.0,0.0,612,212433.0
2015-01-25,318.0,342.0,324.0,342.0,0.0,902,302406.0
2015-01-22,311.0,318.0,306.0,318.0,0.0,158,49296.0
2015-01-20,315.0,311.0,311.0,311.0,0.0,16,4976.0
2015-01-18,310.0,315.0,314.0,315.0,0.0,84,26441.0
2015-01-14,316.0,310.0,310.0,310.0,0.0,55,17050.0
2015-01-13,322.0,316.0,316.0,316.0,0.0,49,15484.0
2015-01-12,322.0,322.0,322.0,322.0,0.0,22,7084.0
2015-01-07,312.0,322.0,316.0,322.0,0.0,132,41772.0
2015-01-06,300.0,312.0,306.0,312.0,0.0,71,22020.0
2015-01-05,292.0,300.0,290.0,300.0,0.0,56,16505.0
2015-01-01,295.0,292.0,291.0,292.0,0.0,621,180750.0
2014-12-23,301.0,295.0,295.0,295.0,0.0,70,20650.0
2014-12-22,296.0,301.0,301.0,301.0,0.0,234,70434.0
2014-12-15,296.0,296.0,294.0,296.0,0.0,99,29156.0
2014-11-24,296.0,296.0,296.0,296.0,0.0,725,214600.0
2014-11-20,295.0,300.0,296.0,296.0,0.0,1237,370620.0
2014-11-19,295.0,295.0,290.0,295.0,0.0,218,63665.0
2014-11-18,306.0,300.0,295.0,295.0,0.0,5680,1701368.0
2014-11-13,298.0,306.0,300.0,306.0,0.0,159,48114.0
2014-11-12,302.0,298.0,298.0,298.0,0.0,69,20562.0
2014-11-11,312.0,306.0,300.0,302.0,0.0,1749,526398.0
2014-11-10,324.0,318.0,312.0,312.0,0.0,34,10710.0
2014-10-30,397.0,390.0,376.0,376.0,0.0,159,60512.0
2014-10-27,390.0,397.0,397.0,397.0,0.0,10,3970.0
2014-10-26,388.0,394.0,390.0,390.0,0.0,60,23500.0
2014-10-22,374.0,410.0,381.0,388.0,0.0,1875,742322.0
2014-10-21,340.0,374.0,340.0,374.0,0.0,1610,593632.0
2014-10-20,342.0,340.0,336.0,340.0,0.0,2199,742996.0
2014-10-19,336.0,342.0,334.0,342.0,0.0,2563,869241.0
2014-10-16,307.0,336.0,301.0,336.0,0.0,768,244937.0
2014-10-14,301.0,307.0,300.0,307.0,0.0,491,148067.0
2014-10-13,295.0,301.0,295.0,301.0,0.0,967,288727.0
2014-10-12,302.0,300.0,294.0,295.0,0.0,403,118603.0
2014-10-09,305.0,302.0,300.0,302.0,0.0,308,92654.0
2014-10-08,300.0,305.0,295.0,305.0,0.0,2541,763128.0
2014-09-30,300.0,300.0,300.0,300.0,0.0,63,18900.0
2014-09-28,313.0,307.0,295.0,300.0,0.0,712,213753.0
2014-09-24,325.0,319.0,313.0,313.0,0.0,338,106673.0
2014-09-23,343.0,343.0,325.0,325.0,0.0,180,59364.0
2014-09-18,350.0,343.0,343.0,343.0,0.0,20,6860.0
2014-09-17,364.0,364.0,350.0,350.0,0.0,127,45647.0
2014-09-16,371.0,364.0,364.0,364.0,0.0,94,34216.0
2014-09-15,378.0,371.0,371.0,371.0,0.0,63,23373.0
2014-09-14,412.0,405.0,378.0,378.0,0.0,701,274863.0
2014-08-28,410.0,412.0,409.0,412.0,0.0,152,62504.0
2014-08-25,415.0,410.0,410.0,410.0,0.0,36,14760.0
2014-08-24,420.0,415.0,415.0,415.0,0.0,500,207500.0
2014-08-18,429.0,421.0,420.0,420.0,0.0,83,34896.0
2014-08-14,425.0,429.0,429.0,429.0,0.0,38,16302.0
2014-08-12,425.0,430.0,422.0,425.0,0.0,485,206762.0
2014-08-07,445.0,440.0,419.0,425.0,0.0,1293,552804.0
2014-08-06,433.0,445.0,435.0,445.0,0.0,389,172045.0
2014-08-05,448.0,441.0,433.0,433.0,0.0,1102,483394.0
2014-08-04,440.0,448.0,440.0,448.0,0.0,65,28728.0
2014-08-03,431.0,447.0,439.0,440.0,0.0,170,75228.0
2014-07-31,392.0,431.0,399.0,431.0,0.0,859,366904.0
2014-07-30,357.0,392.0,364.0,392.0,0.0,105,39977.0
2014-07-28,356.0,357.0,357.0,357.0,0.0,108,38556.0
2014-07-27,324.0,356.0,330.0,356.0,0.0,214,74236.0
2014-07-22,295.0,324.0,300.0,324.0,0.0,265,84480.0
2014-07-20,290.0,295.0,295.0,295.0,0.0,224,66080.0
2014-07-16,285.0,290.0,290.0,290.0,0.0,112,32480.0
2014-07-13,280.0,285.0,285.0,285.0,0.0,49,13965.0
2014-07-03,285.0,280.0,280.0,280.0,0.0,94,26320.0
2014-07-01,290.0,285.0,285.0,285.0,0.0,25,7125.0
2014-06-30,285.0,290.0,285.0,290.0,0.0,472,136635.0
2014-06-26,290.0,285.0,285.0,285.0,0.0,49,13965.0
2014-06-25,290.0,295.0,290.0,290.0,0.0,612,179904.0
2014-06-17,290.0,295.0,290.0,290.0,0.0,72,21125.0
2014-06-11,295.0,290.0,290.0,290.0,0.0,45,13050.0
2014-06-03,299.0,299.0,295.0,295.0,0.0,48,14252.0
2014-06-02,294.0,299.0,299.0,299.0,0.0,23,6877.0
2014-06-01,294.0,299.0,294.0,294.0,0.0,118,34927.0
2014-05-28,299.0,300.0,294.0,294.0,0.0,53,15822.0
2014-05-27,294.0,299.0,299.0,299.0,0.0,47,14053.0
2014-05-26,294.0,294.0,294.0,294.0,0.0,114,33516.0
2014-05-25,294.0,294.0,294.0,294.0,0.0,23,6762.0
2014-05-20,290.0,300.0,290.0,294.0,0.0,459,134144.0
2014-05-19,280.0,295.0,285.0,290.0,0.0,219,63665.0
2014-05-18,275.0,280.0,280.0,280.0,0.0,16,4480.0
2014-05-12,270.0,275.0,275.0,275.0,0.0,78,21450.0
2014-05-11,280.0,275.0,270.0,270.0,0.0,808,218275.0
2014-05-08,265.0,280.0,270.0,280.0,0.0,653,182105.0
2014-05-06,260.0,265.0,265.0,265.0,0.0,22,5830.0
2014-05-05,255.0,260.0,260.0,260.0,0.0,118,30680.0
2014-04-30,255.0,255.0,255.0,255.0,0.0,3381,862155.0
2014-04-29,260.0,255.0,255.0,255.0,0.0,236,60180.0
2014-04-28,258.0,260.0,260.0,260.0,0.0,62,16120.0
2014-04-27,261.0,263.0,258.0,258.0,0.0,889,232307.0
2014-04-22,256.0,261.0,257.0,261.0,0.0,753,194869.0
2014-04-21,266.0,261.0,256.0,256.0,0.0,579,148814.0
2014-04-17,271.0,266.0,266.0,266.0,0.0,200,53200.0
2014-04-06,274.0,275.0,271.0,271.0,0.0,147,40229.0
2014-04-03,263.0,274.0,263.0,274.0,0.0,1866,501617.0
2014-03-31,330.0,348.0,336.0,342.0,0.0,933,320374.0
2014-03-27,333.0,340.0,330.0,330.0,0.0,1121,374849.0
2014-03-26,330.0,336.0,330.0,333.0,0.0,676,223915.0
2014-03-25,324.0,336.0,330.0,330.0,0.0,232,77232.0
2014-03-23,320.0,324.0,318.0,324.0,0.0,204,65502.0
2014-03-18,325.0,330.0,318.0,318.0,0.0,347,112428.0
2014-03-17,338.0,335.0,325.0,325.0,0.0,117,38460.0
2014-03-13,343.0,338.0,337.0,338.0,0.0,746,251902.0
2014-03-12,357.0,365.0,343.0,343.0,0.0,1295,460777.0
2014-03-11,339.0,357.0,327.0,357.0,0.0,768,261644.0
2014-03-10,326.0,339.0,324.0,339.0,0.0,432,142806.0
2014-03-09,325.0,326.0,320.0,326.0,0.0,226,73382.0
2014-03-06,331.0,330.0,323.0,325.0,0.0,938,304469.0
