date,open,high,low,ltp,percent_change,qty,turnover
2016-03-13,315.0,315.0,309.0,309.0,0.0,900,278700.0
2016-03-10,300.0,315.0,300.0,315.0,0.0,40590,12185200.0
2016-03-06,280.0,300.0,285.0,300.0,0.0,170,50500.0
2016-03-03,295.0,295.0,280.0,280.0,0.0,15150,4246250.0
2016-03-02,290.0,295.0,295.0,295.0,0.0,50,14750.0
2016-03-01,295.0,295.0,290.0,290.0,0.0,700,203500.0
2016-02-29,312.0,306.0,295.0,295.0,0.0,1100,327120.0
2016-02-28,310.0,312.0,312.0,312.0,0.0,100,31200.0
2016-02-25,284.0,310.0,289.0,310.0,0.0,1000,304000.0
2016-02-24,289.0,285.0,284.0,284.0,0.0,748,212962.0
2016-02-23,294.0,289.0,289.0,289.0,0.0,500,144500.0
2016-02-22,300.0,294.0,294.0,294.0,0.0,500,147000.0
2016-02-18,298.0,300.0,300.0,300.0,0.0,151,45300.0
2016-02-17,304.0,298.0,298.0,298.0,0.0,134,39932.0
2016-02-08,303.0,304.0,300.0,304.0,0.0,2440,732960.0
2016-02-07,300.0,305.0,300.0,303.0,0.0,11527,3490345.0
2016-02-04,306.0,300.0,300.0,300.0,0.0,500,150000.0
2016-02-01,285.0,313.0,290.0,306.0,0.0,4310,1311730.0
2016-01-31,271.0,285.0,276.0,285.0,0.0,110,31220.0
2016-01-28,261.0,271.0,266.0,271.0,0.0,20,5370.0
2015-06-18,300.0,300.0,300.0,300.0,0.0,102,30600.0
2015-06-02,320.0,314.0,300.0,300.0,0.0,12141,3642540.0
2015-05-25,320.0,320.0,320.0,320.0,0.0,3482,1114240.0
2015-04-07,330.0,324.0,320.0,320.0,0.0,1000,320800.0
2015-04-02,336.0,330.0,330.0,330.0,0.0,517,170610.0
2015-03-04,330.0,336.0,336.0,336.0,0.0,10,3360.0
2015-02-12,324.0,330.0,330.0,330.0,0.0,20,6600.0
2015-02-05,318.0,324.0,324.0,324.0,0.0,50,16200.0
2015-01-27,306.0,318.0,312.0,318.0,0.0,30,9420.0
2015-01-26,300.0,306.0,306.0,306.0,0.0,10,3060.0
2014-12-24,295.0,300.0,300.0,300.0,0.0,100,30000.0
2014-12-22,302.0,296.0,291.0,295.0,0.0,3354,985899.0
2014-12-21,308.0,302.0,302.0,302.0,0.0,1177,355454.0
2014-12-09,308.0,308.0,308.0,308.0,0.0,598,184184.0
2014-12-03,308.0,308.0,308.0,308.0,0.0,200,61600.0
2014-12-02,308.0,308.0,308.0,308.0,0.0,200,61600.0
2014-11-12,314.0,308.0,308.0,308.0,0.0,134,41272.0
2014-11-02,320.0,314.0,314.0,314.0,0.0,100,31400.0
2014-10-09,315.0,320.0,320.0,320.0,0.0,100,32000.0
2014-09-29,320.0,315.0,315.0,315.0,0.0,848,267120.0
2014-09-28,322.0,320.0,320.0,320.0,0.0,500,160000.0
2014-09-24,307.0,322.0,312.0,322.0,0.0,1846,585720.0
2014-09-23,318.0,312.0,307.0,307.0,0.0,229,71118.0
2014-09-22,324.0,318.0,318.0,318.0,0.0,38,12084.0
2014-09-21,330.0,324.0,324.0,324.0,0.0,133,43092.0
2014-09-16,328.0,330.0,330.0,330.0,0.0,200,66000.0
2014-09-11,345.0,339.0,328.0,328.0,0.0,800,266000.0
2014-09-10,331.0,349.0,337.0,345.0,0.0,1532,522484.0
2014-09-09,320.0,331.0,320.0,331.0,0.0,414,133489.0
2014-09-03,326.0,320.0,320.0,320.0,0.0,6902,2208640.0
2014-08-31,320.0,326.0,326.0,326.0,0.0,335,109210.0
2014-08-27,317.0,320.0,320.0,320.0,0.0,460,147200.0
2014-08-21,317.0,317.0,317.0,317.0,0.0,38,12046.0
2014-08-19,323.0,317.0,317.0,317.0,0.0,14,4438.0
2014-08-18,334.0,340.0,323.0,323.0,0.0,3125,1039084.0
2014-08-13,340.0,334.0,334.0,334.0,0.0,17,5678.0
2014-08-12,334.0,340.0,328.0,340.0,0.0,3017,1006238.0
2014-08-07,345.0,345.0,334.0,334.0,0.0,1912,650643.0
2014-08-06,351.0,345.0,345.0,345.0,0.0,269,92805.0
2014-08-05,365.0,358.0,351.0,351.0,0.0,768,272256.0
2014-08-03,371.0,365.0,365.0,365.0,0.0,385,140525.0
2014-07-31,392.0,385.0,371.0,371.0,0.0,1547,581413.0
2014-07-30,385.0,392.0,392.0,392.0,0.0,269,105448.0
2014-07-27,400.0,400.0,385.0,385.0,0.0,15776,6273876.0
2014-07-24,410.0,402.0,392.0,400.0,0.0,1839,736150.0
2014-07-23,410.0,410.0,402.0,410.0,0.0,200,81200.0
2014-07-22,395.0,418.0,402.0,410.0,0.0,2467,1009454.0
2014-07-21,394.0,401.0,393.0,395.0,0.0,1062,422212.0
2014-07-20,380.0,394.0,387.0,394.0,0.0,419,163289.0
2014-07-17,366.0,380.0,373.0,380.0,0.0,181,67583.0
2014-07-10,340.0,366.0,346.0,366.0,0.0,3326,1165133.0
2014-07-09,320.0,340.0,314.0,340.0,0.0,4076,1312194.0
2014-07-08,308.0,320.0,314.0,320.0,0.0,1038,329392.0
2014-07-07,297.0,308.0,302.0,308.0,0.0,538,164090.0
2014-07-03,282.0,297.0,287.0,297.0,0.0,1325,391635.0
2014-07-02,262.0,282.0,267.0,282.0,0.0,283,77051.0
2014-07-01,239.0,262.0,243.0,262.0,0.0,677,175769.0
2014-06-26,231.0,239.0,235.0,239.0,0.0,269,64251.0
2014-06-25,219.0,231.0,223.0,231.0,0.0,220,50364.0
2014-06-15,215.0,219.0,219.0,219.0,0.0,20,4380.0
2014-06-10,216.0,215.0,215.0,215.0,0.0,89,19135.0
2014-06-08,224.0,220.0,216.0,216.0,0.0,1063,232008.0
2014-06-05,225.0,224.0,220.0,224.0,0.0,807,178885.0
2014-06-02,217.0,225.0,221.0,225.0,0.0,184,40764.0
2014-05-28,213.0,217.0,217.0,217.0,0.0,346,75082.0
2014-05-26,217.0,213.0,213.0,213.0,0.0,346,73698.0
2014-05-25,217.0,217.0,217.0,217.0,0.0,986,213962.0
2014-05-22,225.0,221.0,217.0,217.0,0.0,5139,1132123.0
2014-05-19,229.0,225.0,225.0,225.0,0.0,307,69075.0
2014-05-07,233.0,229.0,229.0,229.0,0.0,500,114500.0
2014-04-23,237.0,233.0,233.0,233.0,0.0,3750,873750.0
2014-04-13,241.0,237.0,237.0,237.0,0.0,538,127506.0
2014-04-06,245.0,241.0,241.0,241.0,0.0,3451,831691.0
2014-03-05,260.0,255.0,245.0,245.0,0.0,1298,328990.0
2014-02-24,265.0,260.0,260.0,260.0,0.0,200,52000.0
2014-02-12,270.0,265.0,265.0,265.0,0.0,100,26500.0
2014-02-10,270.0,275.0,270.0,270.0,0.0,916,247900.0
2014-02-09,260.0,270.0,265.0,270.0,0.0,2425,654555.0
2014-02-06,238.0,260.0,242.0,260.0,0.0,716,174942.0
2014-02-04,206.0,218.0,210.0,218.0,0.0,30,6420.0
2014-02-03,209.0,206.0,206.0,206.0,0.0,89,18334.0
2014-02-02,205.0,209.0,205.0,209.0,0.0,3250,666290.0
2014-01-29,198.0,209.0,201.0,205.0,0.0,1058,219002.0
2014-01-28,192.0,198.0,195.0,198.0,0.0,20,3930.0
2014-01-27,186.0,192.0,189.0,192.0,0.0,20,3810.0
2014-01-26,183.0,186.0,186.0,186.0,0.0,10,1860.0
2014-01-23,180.0,183.0,183.0,183.0,0.0,10,1830.0
2014-01-14,168.0,180.0,171.0,180.0,0.0,1321,230583.0
