date,open,high,low,ltp,percent_change,qty,turnover
2019-03-17,160.0,162.0,157.0,162.0,1.25,2760,438000.0
2019-03-14,150.0,160.0,150.0,160.0,4.58,5911,911479.0
2019-03-12,153.0,159.0,153.0,153.0,2.0,790,122880.0
2019-03-11,152.0,152.0,150.0,150.0,-1.32,240,36400.0
2019-03-07,150.0,152.0,148.0,152.0,2.7,3000,450640.0
2019-03-06,149.0,149.0,148.0,148.0,0.68,1000,148500.0
2019-03-05,143.0,147.0,143.0,147.0,2.08,610,89430.0
2019-03-03,144.0,144.0,144.0,144.0,0.7,1038,149472.0
2019-02-27,145.0,146.0,143.0,143.0,-2.72,600,86500.0
2019-02-24,150.0,150.0,147.0,147.0,-2.0,600,88820.0
2019-02-19,148.0,150.0,148.0,150.0,1.35,1380,205740.0
2019-02-13,147.0,148.0,147.0,148.0,1.37,400,59000.0
2019-02-10,146.0,146.0,146.0,146.0,0.0,45,6570.0
2019-02-07,146.0,146.0,144.0,146.0,-0.68,1371,199274.0
2019-02-06,148.0,148.0,147.0,147.0,0.0,400,59000.0
2019-02-05,147.0,147.0,147.0,147.0,-0.68,143,21021.0
2019-02-04,148.0,148.0,148.0,148.0,-1.33,2057,304436.0
2019-02-03,150.0,150.0,150.0,150.0,-1.96,300,45000.0
2019-01-31,149.0,153.0,148.0,153.0,3.38,3075,459144.0
2019-01-30,153.0,153.0,148.0,148.0,-1.33,723,109004.0
2019-01-23,150.0,150.0,150.0,150.0,1.35,388,58200.0
2019-01-21,146.0,148.0,146.0,148.0,0.68,892,130558.0
2019-01-20,147.0,149.0,147.0,147.0,1.38,1006,149614.0
2019-01-17,143.0,145.0,143.0,145.0,0.0,941,135087.0
2019-01-16,152.0,152.0,145.0,145.0,-6.45,1099,160625.0
2019-01-01,155.0,155.0,155.0,155.0,-1.9,70,10850.0
2018-12-30,158.0,158.0,158.0,158.0,-9.2,130,20540.0
2018-12-26,176.0,178.0,173.0,174.0,0.58,6525,1144173.0
2018-12-25,173.0,173.0,173.0,173.0,1.76,30,5190.0
2018-12-24,170.0,170.0,170.0,170.0,-1.73,50,8500.0
2018-12-20,173.0,173.0,173.0,173.0,1.76,100,17300.0
2018-12-17,172.0,172.0,170.0,170.0,-2.3,848,145160.0
2018-12-13,174.0,174.0,174.0,174.0,0.0,10,1740.0
2018-12-11,173.0,174.0,171.0,174.0,1.75,160,27744.0
2018-12-06,171.0,171.0,171.0,171.0,0.0,50,8550.0
2018-11-25,171.0,171.0,171.0,171.0,-1.72,50,8550.0
2018-11-19,174.0,174.0,172.0,174.0,1.16,1391,242034.0
2018-11-05,172.0,172.0,172.0,172.0,0.0,300,51600.0
2018-11-01,173.0,173.0,172.0,172.0,0.0,981,169377.0
2018-10-31,174.0,174.0,172.0,172.0,-1.15,320,55640.0
2018-10-30,167.0,174.0,167.0,174.0,6.1,710,121337.0
2018-10-25,164.0,164.0,164.0,164.0,-1.2,39,6396.0
2018-10-10,166.0,166.0,166.0,166.0,0.0,162,26892.0
2018-10-07,170.0,170.0,166.0,166.0,-3.49,500,84300.0
2018-10-03,172.0,172.0,172.0,172.0,-0.58,100,17200.0
2018-10-02,172.0,173.0,172.0,173.0,-0.57,1820,313155.0
2018-10-01,177.0,177.0,174.0,174.0,-3.33,620,108840.0
2018-09-27,180.0,180.0,180.0,180.0,-0.55,26,4680.0
2018-09-26,181.0,182.0,179.0,181.0,-1.63,2154,388874.0
2018-09-25,184.0,184.0,184.0,184.0,1.66,304,55936.0
2018-09-23,181.0,181.0,181.0,181.0,-1.63,13,2353.0
2018-09-18,181.0,184.0,181.0,184.0,3.37,100,18250.0
2018-09-17,178.0,178.0,178.0,178.0,1.71,38,6764.0
2018-09-16,175.0,175.0,175.0,175.0,-0.57,10,1750.0
2018-09-13,177.0,179.0,176.0,176.0,0.0,403,71365.0
2018-09-12,176.0,176.0,176.0,176.0,-1.68,100,17600.0
2018-09-11,179.0,179.0,179.0,179.0,0.56,20,3580.0
2018-09-06,178.0,181.0,178.0,178.0,1.71,1150,204730.0
2018-09-05,178.0,178.0,175.0,175.0,0.0,489,85620.0
2018-09-04,175.0,175.0,175.0,175.0,1.74,300,52500.0
2018-08-30,171.0,172.0,170.0,172.0,-0.58,805,137655.0
2018-08-29,173.0,173.0,173.0,173.0,-1.7,100,17300.0
2018-08-22,176.0,176.0,176.0,176.0,0.57,50,8800.0
2018-08-16,175.0,175.0,175.0,175.0,1.16,140,24500.0
2018-08-13,173.0,173.0,173.0,173.0,1.76,200,34600.0
2018-08-06,170.0,170.0,170.0,170.0,0.0,150,25500.0
2018-07-30,170.0,170.0,170.0,170.0,1.8,1332,226440.0
2018-07-25,170.0,170.0,167.0,167.0,-1.76,2517,423894.0
2018-07-22,174.0,174.0,170.0,170.0,-3.95,2300,393800.0
2018-07-04,180.0,180.0,177.0,177.0,-1.67,122,21654.0
2018-07-02,180.0,180.0,180.0,180.0,-1.64,100,18000.0
2018-06-28,183.0,183.0,183.0,183.0,0.0,20,3660.0
2018-06-24,183.0,183.0,183.0,183.0,0.0,200,36600.0
2018-06-18,183.0,183.0,183.0,183.0,0.0,92,16836.0
2018-06-14,183.0,183.0,183.0,183.0,-1.61,240,43920.0
2018-06-13,186.0,186.0,186.0,186.0,-1.59,400,74400.0
2018-06-11,190.0,190.0,189.0,189.0,-1.56,510,96400.0
2018-06-10,192.0,192.0,192.0,192.0,-1.54,20,3840.0
2018-06-03,195.0,195.0,195.0,195.0,-1.52,92,17940.0
2018-05-31,198.0,205.0,198.0,198.0,1.54,772,154226.0
2018-05-30,192.0,195.0,192.0,195.0,3.17,30,5790.0
2018-05-29,189.0,189.0,186.0,189.0,1.61,120,22380.0
2018-05-28,186.0,186.0,185.0,186.0,0.0,662,122801.0
