date,open,high,low,ltp,percent_change,qty,turnover
2013-02-28,77.0,78.0,78.0,78.0,0.0,800,62400.0
2013-02-27,70.0,77.0,70.0,77.0,0.0,8210,624480.0
2013-02-26,71.0,70.0,69.0,70.0,0.0,640,44740.0
2013-02-25,71.0,72.0,69.0,71.0,0.0,1780,124920.0
2013-02-24,68.0,71.0,69.0,71.0,0.0,827,57870.0
2013-02-21,70.0,69.0,68.0,68.0,0.0,850,58600.0
2013-02-20,71.0,70.0,69.0,70.0,0.0,1610,112350.0
2013-02-19,70.0,71.0,71.0,71.0,0.0,40,2840.0
2013-02-14,69.0,70.0,70.0,70.0,0.0,570,39900.0
2013-02-13,68.0,69.0,69.0,69.0,0.0,650,44850.0
2013-02-12,69.0,68.0,66.0,68.0,0.0,610,41360.0
2013-02-10,69.0,69.0,68.0,69.0,0.0,1610,110730.0
2013-02-07,72.0,75.0,69.0,69.0,0.0,3570,255980.0
2013-02-06,72.0,73.0,72.0,72.0,0.0,2730,197210.0
2013-02-05,69.0,72.0,69.0,72.0,0.0,2600,181340.0
2013-02-04,67.0,69.0,67.0,69.0,0.0,400,27090.0
2013-02-03,66.0,68.0,65.0,67.0,0.0,260,17330.0
2013-01-31,64.0,66.0,63.0,66.0,0.0,2220,144050.0
2013-01-30,67.0,67.0,63.0,64.0,0.0,850,55830.0
2013-01-28,67.0,68.0,65.0,67.0,0.0,1480,98220.0
2013-01-27,68.0,67.0,64.0,67.0,0.0,3390,222230.0
2013-01-24,70.0,70.0,67.0,68.0,0.0,1160,78700.0
2013-01-23,67.0,70.0,67.0,70.0,0.0,1350,93010.0
2013-01-22,65.0,67.0,66.0,67.0,0.0,600,39770.0
2013-01-21,61.0,65.0,62.0,65.0,0.0,1250,79090.0
2013-01-20,63.0,62.0,61.0,61.0,0.0,170,10520.0
2013-01-17,65.0,66.0,63.0,63.0,0.0,1770,115770.0
2013-01-16,65.0,66.0,64.0,65.0,0.0,510,33120.0
2013-01-15,66.0,66.0,65.0,65.0,0.0,1620,105770.0
2013-01-13,66.0,66.0,65.0,66.0,0.0,680,44260.0
2013-01-10,65.0,66.0,64.0,66.0,0.0,1200,77290.0
2013-01-09,66.0,65.0,65.0,65.0,0.0,220,14300.0
2013-01-08,66.0,66.0,65.0,66.0,0.0,150,9870.0
2013-01-07,66.0,67.0,64.0,66.0,0.0,980,64570.0
2013-01-06,67.0,66.0,66.0,66.0,0.0,1120,73920.0
2013-01-03,67.0,68.0,65.0,67.0,0.0,1480,98300.0
2013-01-02,68.0,68.0,66.0,67.0,0.0,2760,185270.0
2013-01-01,69.0,69.0,68.0,68.0,0.0,660,44960.0
2012-12-31,70.0,69.0,69.0,69.0,0.0,20,1380.0
2012-12-24,71.0,70.0,70.0,70.0,0.0,250,17500.0
2012-12-23,73.0,74.0,71.0,71.0,0.0,710,51300.0
2012-12-20,75.0,75.0,72.0,73.0,0.0,790,57970.0
2012-12-19,70.0,75.0,70.0,75.0,0.0,4280,311720.0
2012-12-18,71.0,70.0,69.0,70.0,0.0,770,53760.0
2012-12-17,69.0,71.0,70.0,71.0,0.0,1020,71960.0
2012-12-16,68.0,69.0,66.0,69.0,0.0,1110,74270.0
2012-12-13,69.0,68.0,67.0,68.0,0.0,270,18270.0
2012-12-12,68.0,69.0,67.0,69.0,0.0,2460,166540.0
2012-12-11,69.0,68.0,68.0,68.0,0.0,210,14280.0
2012-12-10,71.0,70.0,69.0,69.0,0.0,210,14640.0
2012-12-09,72.0,73.0,70.0,71.0,0.0,900,63680.0
2012-12-06,68.0,72.0,69.0,72.0,0.0,230,16230.0
2012-12-05,67.0,68.0,68.0,68.0,0.0,60,4080.0
2012-12-04,66.0,67.0,67.0,67.0,0.0,300,20100.0
2012-12-03,69.0,70.0,65.0,66.0,0.0,960,64710.0
2012-12-02,70.0,69.0,68.0,69.0,0.0,490,33600.0
2012-11-29,70.0,71.0,70.0,70.0,0.0,280,19670.0
2012-11-28,71.0,70.0,69.0,70.0,0.0,4220,294260.0
2012-11-27,70.0,72.0,70.0,71.0,0.0,620,43780.0
2012-11-26,72.0,72.0,69.0,70.0,0.0,530,37460.0
2012-11-25,72.0,72.0,71.0,72.0,0.0,1590,114020.0
2012-11-22,77.0,76.0,72.0,72.0,0.0,1990,145590.0
2012-11-21,80.0,80.0,76.0,77.0,0.0,1180,91430.0
2012-11-20,81.0,81.0,80.0,80.0,0.0,1930,154730.0
2012-11-18,75.0,81.0,74.0,81.0,0.0,2660,209550.0
2012-11-12,74.0,76.0,74.0,75.0,0.0,690,51670.0
2012-11-11,75.0,76.0,74.0,74.0,0.0,1690,126170.0
2012-11-08,73.0,76.0,73.0,75.0,0.0,2150,159720.0
2012-11-07,72.0,74.0,73.0,73.0,0.0,560,40950.0
2012-11-06,73.0,72.0,71.0,72.0,0.0,2050,147320.0
2012-11-05,71.0,74.0,70.0,73.0,0.0,4320,315870.0
2012-11-04,74.0,74.0,70.0,71.0,0.0,1020,72810.0
2012-11-01,73.0,74.0,74.0,74.0,0.0,40,2960.0
2012-10-31,71.0,73.0,71.0,73.0,0.0,1260,91040.0
2012-10-30,70.0,71.0,71.0,71.0,0.0,90,6390.0
2012-10-18,71.0,70.0,70.0,70.0,0.0,220,15400.0
2012-10-17,68.0,71.0,68.0,71.0,0.0,520,36300.0
2012-10-15,68.0,68.0,66.0,68.0,0.0,610,40780.0
2012-10-14,70.0,69.0,66.0,68.0,0.0,680,45710.0
2012-10-11,70.0,70.0,69.0,70.0,0.0,800,55640.0
2012-10-10,71.0,71.0,70.0,70.0,0.0,370,25960.0
2012-10-09,70.0,71.0,70.0,71.0,0.0,1100,77260.0
2012-10-08,71.0,71.0,70.0,70.0,0.0,410,28800.0
2012-10-07,69.0,71.0,69.0,71.0,0.0,2910,201050.0
2012-10-04,67.0,69.0,67.0,69.0,0.0,210,14260.0
2012-10-03,67.0,67.0,66.0,67.0,0.0,620,41310.0
2012-10-02,68.0,67.0,67.0,67.0,0.0,410,27470.0
2012-10-01,68.0,68.0,67.0,68.0,0.0,510,34570.0
2012-10-01,68.0,68.0,67.0,68.0,0.0,510,34570.0
2012-09-30,70.0,70.0,68.0,68.0,0.0,210,14440.0
2012-09-26,69.0,70.0,68.0,70.0,0.0,3870,268570.0
2012-09-25,68.0,69.0,67.0,69.0,0.0,1770,120500.0
2012-09-24,71.0,71.0,68.0,68.0,0.0,2100,145860.0
2012-09-23,72.0,72.0,70.0,71.0,0.0,1680,119000.0
2012-09-20,70.0,73.0,71.0,72.0,0.0,1680,120120.0
2012-09-19,74.0,74.0,70.0,70.0,0.0,2440,175120.0
2012-09-18,71.0,76.0,70.0,74.0,0.0,2590,188970.0
2012-09-17,71.0,71.0,69.0,71.0,0.0,2240,157340.0
2012-09-16,70.0,71.0,70.0,71.0,0.0,1420,99920.0
2012-09-13,69.0,71.0,67.0,70.0,0.0,2690,187670.0
2012-09-12,70.0,69.0,68.0,69.0,0.0,680,46840.0
2012-09-11,68.0,70.0,68.0,70.0,0.0,1190,82440.0
2012-09-10,69.0,69.0,67.0,68.0,0.0,900,61650.0
2012-09-09,71.0,70.0,68.0,69.0,0.0,3760,258870.0
2012-09-06,73.0,72.0,69.0,71.0,0.0,6930,489010.0
2012-09-05,71.0,74.0,68.0,73.0,0.0,9250,651830.0
2012-09-04,71.0,74.0,68.0,71.0,0.0,11000,789260.0
2012-09-03,73.0,72.0,69.0,71.0,0.0,2340,165500.0
2012-09-02,69.0,73.0,69.0,73.0,0.0,1620,114550.0
2012-08-30,71.0,71.0,69.0,69.0,0.0,2940,204270.0
2012-08-29,71.0,72.0,70.0,71.0,0.0,5100,361040.0
2012-08-28,70.0,71.0,68.0,71.0,0.0,1260,88150.0
2012-08-27,70.0,70.0,68.0,70.0,0.0,1140,78760.0
2012-08-26,68.0,71.0,67.0,70.0,0.0,1120,77340.0
2012-08-23,69.0,69.0,67.0,68.0,0.0,300,20500.0
2012-08-22,70.0,69.0,68.0,69.0,0.0,280,19180.0
2012-08-21,68.0,71.0,69.0,70.0,0.0,1480,104890.0
2012-08-19,73.0,72.0,68.0,68.0,0.0,2480,172870.0
2012-08-16,68.0,74.0,68.0,73.0,0.0,1360,98100.0
2012-08-15,69.0,68.0,65.0,68.0,0.0,2690,179900.0
2012-08-14,65.0,69.0,65.0,69.0,0.0,3430,229490.0
2012-08-13,69.0,68.0,65.0,65.0,0.0,560,37400.0
2012-08-12,70.0,69.0,68.0,69.0,0.0,4400,301220.0
2012-08-08,69.0,70.0,66.0,70.0,0.0,1990,134920.0
2012-08-07,68.0,69.0,68.0,69.0,0.0,490,33420.0
2012-08-06,70.0,70.0,68.0,68.0,0.0,4480,309110.0
2012-08-05,70.0,71.0,68.0,70.0,0.0,820,57310.0
2012-08-01,69.0,72.0,68.0,70.0,0.0,1390,98440.0
2012-07-31,68.0,71.0,66.0,69.0,0.0,1280,88270.0
2012-07-30,67.0,69.0,66.0,68.0,0.0,1460,99370.0
2012-07-29,70.0,70.0,67.0,67.0,0.0,1430,97550.0
2012-07-26,73.0,72.0,70.0,70.0,0.0,960,67800.0
2012-07-25,72.0,75.0,71.0,73.0,0.0,950,69270.0
2012-07-24,72.0,72.0,71.0,72.0,0.0,1810,128870.0
2012-07-23,72.0,74.0,71.0,72.0,0.0,3370,246620.0
2012-07-22,69.0,73.0,70.0,72.0,0.0,1540,111100.0
2012-07-19,66.0,69.0,65.0,69.0,0.0,360,24470.0
2012-07-18,64.0,66.0,64.0,66.0,0.0,2680,174260.0
2012-07-17,64.0,65.0,63.0,64.0,0.0,790,50870.0
2012-07-16,64.0,65.0,64.0,64.0,0.0,1000,64110.0
2012-07-15,64.0,64.0,64.0,64.0,0.0,180,11520.0
2012-07-12,65.0,64.0,62.0,64.0,0.0,1160,72720.0
2012-07-11,66.0,67.0,64.0,65.0,0.0,1240,81810.0
2012-07-10,66.0,67.0,65.0,66.0,0.0,310,20480.0
2012-07-09,64.0,66.0,66.0,66.0,0.0,220,14520.0
2012-07-08,69.0,68.0,64.0,64.0,0.0,1320,85930.0
2012-07-05,66.0,69.0,66.0,69.0,0.0,870,58520.0
2012-07-04,64.0,66.0,64.0,66.0,0.0,950,61300.0
2012-07-03,63.0,64.0,63.0,64.0,0.0,180,11430.0
2012-07-02,65.0,65.0,62.0,63.0,0.0,1400,88260.0
2012-07-01,66.0,65.0,60.0,65.0,0.0,2660,163170.0
2012-06-28,61.0,66.0,62.0,66.0,0.0,2300,147570.0
2012-06-27,61.0,63.0,61.0,61.0,0.0,2620,160170.0
2012-06-26,64.0,63.0,61.0,61.0,0.0,600,36890.0
2012-06-25,62.0,65.0,62.0,64.0,0.0,650,41460.0
2012-06-21,61.0,63.0,61.0,62.0,0.0,1100,67820.0
2012-06-20,61.0,63.0,60.0,61.0,0.0,1530,93040.0
2012-06-19,67.0,66.0,61.0,61.0,0.0,6580,402060.0
2012-06-18,74.0,73.0,67.0,67.0,0.0,2290,156650.0
2012-06-11,74.0,74.0,74.0,74.0,0.0,80,5920.0
2012-06-07,81.0,80.0,74.0,74.0,0.0,340,26240.0
2012-06-06,86.0,82.0,81.0,81.0,0.0,110,8970.0
2012-06-05,86.0,86.0,86.0,86.0,0.0,60,5160.0
2012-05-30,88.0,87.0,86.0,86.0,0.0,520,44740.0
2012-05-21,89.0,88.0,88.0,88.0,0.0,450,39600.0
2012-05-09,93.0,92.0,89.0,89.0,0.0,1860,167920.0
2012-05-08,92.0,93.0,92.0,93.0,0.0,120,11060.0
2012-05-07,91.0,92.0,92.0,92.0,0.0,60,5520.0
2012-05-03,90.0,91.0,91.0,91.0,0.0,90,8190.0
2012-04-29,85.0,90.0,86.0,90.0,0.0,4930,432210.0
2012-04-26,80.0,85.0,81.0,85.0,0.0,1690,141280.0
2012-04-25,78.0,80.0,79.0,80.0,0.0,160,12670.0
2012-04-24,76.0,78.0,77.0,78.0,0.0,140,10870.0
2012-04-22,76.0,78.0,76.0,76.0,0.0,2730,210710.0
2012-04-19,77.0,78.0,76.0,76.0,0.0,2800,215940.0
