date,open,high,low,ltp,percent_change,qty,turnover
2017-05-11,660.0,673.0,660.0,673.0,0.0,83,55209.0
2017-05-09,648.0,660.0,660.0,660.0,0.0,30,19800.0
2017-05-08,686.0,673.0,648.0,648.0,0.0,338,224101.0
2017-05-07,700.0,686.0,686.0,686.0,0.0,200,137200.0
2017-05-04,711.0,700.0,690.0,700.0,0.0,299,208203.0
2017-05-03,673.0,711.0,686.0,711.0,0.0,525,366436.0
2017-05-02,700.0,686.0,673.0,673.0,0.0,112,75974.0
2017-04-30,701.0,715.0,690.0,700.0,0.0,623,434408.0
2017-04-27,685.0,701.0,675.0,701.0,0.0,363,246701.0
2017-04-26,660.0,712.0,669.0,685.0,0.0,1361,947885.0
2017-04-25,649.0,673.0,650.0,660.0,0.0,1814,1198135.0
2017-04-24,600.0,649.0,612.0,649.0,0.0,649,403701.0
2017-04-23,640.0,645.0,600.0,600.0,0.0,1965,1221500.0
2017-04-20,645.0,663.0,640.0,640.0,0.0,822,535604.0
2017-04-19,636.0,645.0,633.0,645.0,0.0,232,148709.0
2017-04-18,660.0,650.0,636.0,636.0,0.0,474,306518.0
2017-04-16,686.0,690.0,660.0,660.0,0.0,440,297181.0
2017-04-13,688.0,702.0,685.0,686.0,0.0,1330,925004.0
2017-04-12,626.0,688.0,638.0,688.0,0.0,2194,1469529.0
2017-04-11,589.0,647.0,600.0,626.0,0.0,1736,1091643.0
2017-04-10,654.0,641.0,589.0,589.0,0.0,1498,913426.0
2017-04-09,680.0,667.0,654.0,654.0,0.0,90,59770.0
2017-04-06,719.0,705.0,680.0,680.0,0.0,75,51660.0
2017-04-04,720.0,719.0,710.0,719.0,0.0,90,63990.0
2017-04-03,716.0,725.0,715.0,720.0,0.0,920,663192.0
2017-04-02,689.0,716.0,702.0,716.0,0.0,700,497800.0
2017-03-30,690.0,703.0,689.0,689.0,0.0,630,434530.0
2017-03-29,660.0,719.0,673.0,690.0,0.0,1908,1331225.0
2017-03-28,600.0,660.0,611.0,660.0,0.0,794,505890.0
2017-03-26,550.0,605.0,561.0,600.0,0.0,1779,1016335.0
2017-03-23,578.0,580.0,550.0,550.0,0.0,359,204074.0
2017-03-22,579.0,590.0,567.0,578.0,0.0,1224,713736.0
2017-03-21,568.0,579.0,579.0,579.0,0.0,30,17370.0
2017-03-20,619.0,607.0,560.0,568.0,0.0,1235,713934.0
2017-03-19,608.0,620.0,608.0,619.0,0.0,6791,4203386.0
