date,open,high,low,ltp,percent_change,qty,turnover
2024-03-12,561.0,590.4,561.0,580.0,5.45,25868,14867392.4
2024-03-10,516.2,557.5,516.2,550.0,5.16,16389,8992983.6
2024-03-07,532.9,532.9,520.0,523.0,-0.38,1170,612559.0
2024-03-06,523.0,525.0,520.0,525.0,0.57,2969,1553495.0
2024-03-05,535.0,535.5,515.3,522.0,-0.57,4372,2286734.8
2024-03-04,515.0,525.0,515.0,525.0,3.82,20,10400.0
2024-03-03,510.5,516.0,500.1,505.7,-2.56,8679,4406286.4
2024-02-29,525.0,527.0,516.6,519.0,-0.54,2444,1270017.0
2024-02-28,526.5,528.0,520.6,521.8,-0.89,2958,1545381.9
2024-02-27,524.0,530.0,524.0,526.5,0.48,6740,3552718.0
2024-02-26,525.0,529.0,516.2,524.0,-0.19,3986,2077949.0
2024-02-25,528.1,535.0,520.9,525.0,-2.56,9575,5063017.4
2024-02-22,549.0,550.0,538.7,538.8,-1.86,1671,904133.4
2024-02-21,554.8,554.8,543.0,549.0,-0.72,1472,801697.8
2024-02-20,545.0,553.0,540.0,553.0,0.0,2278,1241937.2
2024-02-18,555.0,563.0,552.0,553.0,-2.3,1849,1026090.3
2024-02-15,557.0,569.0,557.0,566.0,-0.35,4609,2589613.3
2024-02-14,555.0,576.0,555.0,568.0,1.97,3133,1763368.1
2024-02-13,560.0,571.0,549.0,557.0,-1.76,8108,4543400.6
2024-02-12,551.0,571.2,551.0,567.0,1.25,3026,1717826.5
2024-02-11,580.0,589.0,560.0,560.0,-2.78,12577,7172247.1
2024-02-08,564.1,576.0,564.1,576.0,1.05,3115,1779546.8
2024-02-07,586.5,586.5,567.0,570.0,-0.87,4965,2848526.5
2024-02-06,560.0,575.0,560.0,575.0,4.36,4461,2546873.8
2024-02-05,552.0,572.0,541.0,551.0,-0.74,6768,3778542.1
2024-02-04,550.0,580.0,550.0,555.1,-0.34,3178,1788302.7
2024-02-01,559.1,570.0,551.1,557.0,-1.76,7444,4174655.4
2024-01-31,575.0,586.0,566.0,567.0,-2.74,5469,3133994.2
2024-01-30,585.0,596.0,579.1,583.0,-0.34,3615,2116150.8
2024-01-29,612.0,612.0,585.0,585.0,-2.5,4438,2634179.4
2024-01-28,575.1,601.0,575.1,600.0,5.26,9840,5772208.1
2024-01-25,590.0,590.0,570.0,570.0,-3.39,10287,5934223.2
2024-01-24,585.0,595.0,582.0,590.0,0.51,4286,2525392.0
2024-01-23,594.0,598.0,585.0,587.0,-1.18,7959,4713415.8
2024-01-22,606.0,606.0,594.0,594.0,-2.14,6924,4146801.9
2024-01-21,630.0,632.0,607.0,607.0,-2.27,5154,3186962.3
2024-01-18,613.1,630.0,604.1,621.1,-0.62,9687,5994310.3
2024-01-17,608.7,651.7,607.0,625.0,0.63,24282,15426705.7
2024-01-16,616.0,635.9,616.0,621.1,-0.46,8097,5089815.4
2024-01-14,601.0,626.2,592.0,624.0,5.58,7703,4703807.8
2024-01-11,589.0,600.0,578.0,591.0,0.48,7759,4578879.1
2024-01-10,579.0,597.0,568.2,588.2,3.56,7051,4158544.7
2024-01-09,571.0,582.0,568.0,568.0,-0.53,5326,3059896.4
2024-01-08,570.0,576.0,553.7,571.0,-0.05,9431,5346357.5
2024-01-07,563.0,580.0,555.0,571.3,3.5,16917,9700779.1
2024-01-04,540.0,559.6,538.0,552.0,2.6,5517,3046842.6
2024-01-03,538.6,547.0,533.0,538.0,-0.11,4022,2167665.0
2024-01-02,545.0,545.0,535.3,538.6,-0.26,4737,2556523.7
2024-01-01,551.9,557.0,540.0,540.0,-4.07,13833,7565759.3
2023-12-28,565.4,572.0,552.0,562.9,-2.43,3160,1768660.0
2023-12-27,584.0,584.0,570.0,576.9,-3.04,1702,980094.3
2023-12-24,615.0,616.0,594.0,595.0,-3.25,4087,2457091.9
2023-12-21,635.0,641.0,615.0,615.0,-3.32,4831,3018430.9
2023-12-20,611.0,675.0,611.0,636.1,2.93,7190,4648272.7
2023-12-19,590.0,626.0,590.0,618.0,5.1,7972,4865986.2
2023-12-18,550.0,594.0,545.2,588.0,7.87,7896,4584400.6
2023-12-17,534.1,555.0,530.0,545.1,0.02,2065,1122726.4
2023-12-14,530.0,553.4,519.4,545.0,0.93,3717,2006258.8
2023-12-13,538.0,543.0,526.3,540.0,1.47,2995,1603278.7
2023-12-12,515.0,540.0,515.0,532.2,3.95,5269,2766422.8
2023-12-11,519.0,524.9,505.0,512.0,-1.35,5076,2601656.0
2023-12-10,499.0,519.0,499.0,519.0,5.9,30,15269.0
2023-12-07,486.0,502.7,486.0,490.1,-1.13,1300,640443.0
2023-12-06,484.9,495.7,481.3,495.7,2.16,1552,752689.9
2023-12-05,483.1,501.0,483.1,485.2,-1.38,2391,1167478.0
2023-12-04,490.0,504.9,486.6,492.0,0.24,1139,561824.7
2023-12-03,486.0,499.8,486.0,490.8,0.16,1277,628391.4
2023-11-30,495.9,515.0,488.0,490.0,-3.16,2792,1394842.0
2023-11-29,497.0,525.0,490.0,506.0,1.4,3138,1585620.0
2023-11-28,508.0,527.0,494.0,499.0,-1.38,4247,2139033.0
2023-11-27,520.0,523.0,501.1,506.0,-4.53,1512,774540.0
2023-11-26,522.0,544.9,509.0,530.0,3.52,1929,1007651.6
2023-11-23,518.0,518.0,504.7,512.0,-1.37,411,210161.9
2023-11-22,520.0,520.0,499.5,519.1,-1.96,2463,1252809.0
2023-11-21,540.0,543.0,529.0,529.5,-2.49,1008,535609.0
2023-11-20,553.0,566.0,542.1,543.0,-3.72,2391,1310915.1
2023-11-09,551.0,565.0,548.0,564.0,1.22,1123,624943.0
2023-11-08,567.0,567.0,556.0,557.2,0.22,523,292873.1
2023-11-07,566.0,576.9,555.0,556.0,0.18,836,466605.0
2023-11-06,566.1,577.4,555.0,555.0,0.0,172,98331.0
2023-11-05,561.7,572.0,555.0,555.0,-1.19,1393,790786.0
2023-11-02,573.0,584.0,561.7,561.7,-3.82,658,379723.3
2023-11-01,561.0,590.0,561.0,584.0,2.78,609,343444.0
2023-10-31,568.3,570.0,568.2,568.2,-1.87,660,375103.0
2023-10-30,592.6,592.6,569.4,579.0,-0.34,1141,654089.1
2023-10-29,584.0,584.0,570.0,581.0,-2.35,1706,983452.0
2023-10-19,595.0,606.9,588.0,595.0,0.0,1196,711099.0
2023-10-18,591.0,614.7,580.3,595.0,-1.28,737,439269.9
2023-10-17,613.8,638.5,602.0,602.7,0.15,216,132347.7
2023-10-16,590.0,601.8,578.3,601.8,2.0,435,254476.7
2023-10-12,590.0,590.0,581.0,590.0,-0.17,1090,635032.1
2023-10-11,586.0,600.0,585.0,591.0,0.17,871,519431.0
2023-10-10,590.0,592.0,590.0,590.0,-1.34,527,311207.1
2023-10-09,595.0,606.0,595.0,598.0,-1.16,975,584700.0
2023-10-08,614.0,620.0,605.0,605.0,-2.26,1059,646568.9
2023-10-05,609.0,630.0,607.2,619.0,0.0,1526,945413.5
2023-10-04,622.0,622.0,610.0,619.0,0.98,2469,1512954.5
2023-10-03,602.0,622.2,602.0,613.0,0.49,305,187136.5
2023-10-02,604.0,616.0,603.1,610.0,-0.65,343,208964.4
2023-10-01,647.0,647.0,614.0,614.0,-3.46,1100,681852.8
2023-09-27,636.0,640.0,618.0,636.0,1.92,3629,2284651.2
2023-09-26,644.0,645.2,624.0,624.0,-1.36,395,254387.3
2023-09-25,634.0,640.0,632.6,632.6,-1.62,1499,952198.6
2023-09-24,635.0,647.0,633.1,643.0,3.21,3509,2230780.5
2023-09-21,620.0,639.0,620.0,623.0,1.3,492,308311.0
2023-09-19,606.0,615.0,600.0,615.0,1.32,1010,610400.0
2023-09-18,600.0,607.0,600.0,607.0,0.3,210,126070.0
2023-09-17,620.0,620.0,605.2,605.2,-3.94,394,239710.0
2023-09-13,613.0,630.0,613.0,630.0,2.76,414,256291.0
2023-09-12,611.0,620.0,611.0,613.1,-1.11,783,482528.0
2023-09-11,611.0,620.0,610.0,620.0,1.64,1916,1176297.5
2023-09-10,600.0,610.0,600.0,610.0,1.67,722,437492.0
2023-09-07,604.0,605.0,599.0,600.0,-1.8,730,438585.0
