date,open,high,low,ltp,percent_change,qty,turnover
2026-05-14,236.2,236.2,236.2,236.2,0.0,2000,472400.0
2026-04-28,236.2,236.2,236.2,236.2,0.0,161841,38226844.2
2026-03-24,236.2,236.2,236.2,236.2,0.0,90000,21258000.0
2025-10-15,241.0,241.0,236.2,236.2,-3.94,60000,14176800.0
2025-09-21,245.9,245.9,245.9,245.9,-1.99,25000,6147500.0
2025-08-20,250.9,250.9,250.9,250.9,-1.99,164000,41147600.0
2025-08-13,256.0,256.0,256.0,256.0,0.0,5000,1280000.0
2025-04-10,221.0,221.0,221.0,221.0,0.0,70000,15470000.0
2025-04-02,221.0,221.0,221.0,221.0,0.0,52809,11670789.0
2025-03-26,221.0,221.0,221.0,221.0,0.0,22500,4972500.0
2025-03-17,221.0,221.0,221.0,221.0,0.0,5000,1105000.0
2025-03-16,221.0,221.0,221.0,221.0,0.0,50000,11050000.0
2025-02-04,221.0,221.0,221.0,221.0,0.0,5000,1105000.0
2025-01-22,221.0,221.0,221.0,221.0,0.0,25000,5525000.0
2025-01-05,221.0,221.0,221.0,221.0,0.0,124000,27404000.0
2024-12-29,221.0,221.0,221.0,221.0,0.0,8200,1812200.0
2024-12-17,221.0,221.0,221.0,221.0,0.0,2500,552500.0
2024-12-01,221.0,221.0,221.0,221.0,7.28,25000,5525000.0
2024-10-02,206.0,206.0,206.0,206.0,3.0,20451,4212906.0
2024-07-28,200.0,200.0,200.0,200.0,0.0,30788,6157600.0
2024-07-11,200.0,200.0,200.0,200.0,0.0,100000,20000000.0
2024-07-10,200.0,200.0,200.0,200.0,0.0,8224,1644800.0
2024-07-07,200.0,200.0,200.0,200.0,0.0,28000,5600000.0
2024-03-19,200.0,200.0,200.0,200.0,-4.31,10000,2000000.0
2024-01-09,209.0,209.0,209.0,209.0,0.0,94114,19669826.0
2023-12-18,209.0,209.0,209.0,209.0,0.0,45000,9405000.0
2023-12-11,209.0,209.0,209.0,209.0,0.0,40000,8360000.0
2023-11-29,209.0,209.0,209.0,209.0,0.0,161750,33805750.0
2023-11-22,209.0,209.0,209.0,209.0,0.0,250000,52250000.0
2023-07-12,237.0,237.0,237.0,237.0,0.0,55000,13035000.0
2023-07-02,237.0,237.0,237.0,237.0,0.0,6500,1540500.0
2023-05-15,237.0,237.0,237.0,237.0,0.0,50000,11850000.0
2023-04-25,237.0,237.0,237.0,237.0,0.0,55000,13035000.0
2023-04-12,237.0,237.0,237.0,237.0,0.0,7000,1659000.0
2023-04-09,237.0,237.0,237.0,237.0,0.0,40000,9480000.0
2023-03-29,237.0,237.0,237.0,237.0,0.0,3000,711000.0
2023-03-26,237.0,237.0,237.0,237.0,0.0,5000,1185000.0
2023-03-23,237.0,237.0,237.0,237.0,0.0,58500,13864500.0
2023-02-28,237.0,237.0,237.0,237.0,0.0,5000,1185000.0
2023-01-23,237.0,237.0,237.0,237.0,0.0,15000,3555000.0
2023-01-03,237.0,237.0,237.0,237.0,0.0,25000,5925000.0
2023-01-02,237.0,237.0,237.0,237.0,0.0,55000,13035000.0
2022-11-27,237.0,237.0,237.0,237.0,0.0,20000,4740000.0
2022-11-16,237.0,237.0,237.0,237.0,0.0,4800,1137600.0
2022-11-06,237.0,237.0,237.0,237.0,0.0,3200,758400.0
2022-11-01,237.0,237.0,237.0,237.0,0.0,10000,2370000.0
