date,open,high,low,ltp,percent_change,qty,turnover
2016-10-06,496.0,500.0,487.0,500.0,0.0,1568,767730.0
2016-10-05,498.0,496.0,490.0,496.0,0.0,2908,1436310.0
2016-10-04,490.0,498.0,490.0,498.0,0.0,2240,1111640.0
2016-10-03,510.0,501.0,490.0,490.0,0.0,2362,1166008.0
2016-10-02,485.0,510.0,490.0,510.0,0.0,3221,1621010.0
2016-09-29,500.0,493.0,472.0,485.0,0.0,8024,3895002.0
2016-09-28,463.0,500.0,472.0,500.0,0.0,2680,1318560.0
2016-09-27,468.0,463.0,463.0,463.0,0.0,562,260206.0
2016-09-26,468.0,475.0,468.0,468.0,0.0,2939,1383335.0
2016-09-25,472.0,468.0,450.0,468.0,0.0,2143,997560.0
2016-09-22,484.0,484.0,472.0,472.0,0.0,2500,1193000.0
2016-09-21,490.0,484.0,475.0,484.0,0.0,1613,774953.0
2016-09-20,500.0,491.0,470.0,490.0,0.0,2731,1297568.0
2016-09-14,493.0,500.0,500.0,500.0,0.0,22,11000.0
2016-09-12,479.0,493.0,475.0,493.0,0.0,6508,3133080.0
2016-09-11,467.0,479.0,470.0,479.0,0.0,2564,1214606.0
2016-09-08,450.0,467.0,455.0,467.0,0.0,7511,3438709.0
2016-09-07,468.0,460.0,450.0,450.0,0.0,5457,2482135.0
2016-09-06,459.0,477.0,465.0,468.0,0.0,1457,688349.0
2016-09-05,438.0,459.0,440.0,459.0,0.0,3084,1380286.0
2016-09-04,421.0,446.0,425.0,438.0,0.0,981,427730.0
2016-09-03,421.0,446.0,425.0,438.0,0.0,981,427730.0
2016-09-01,405.0,421.0,410.0,421.0,0.0,2075,860475.0
2016-08-31,404.0,413.0,396.0,405.0,0.0,886,360560.0
2016-08-30,397.0,404.0,403.0,404.0,0.0,133,53632.0
2016-08-29,384.0,397.0,380.0,397.0,0.0,742,289160.0
2016-08-28,391.0,384.0,384.0,384.0,0.0,200,76800.0
2016-08-24,386.0,391.0,379.0,391.0,0.0,2550,981350.0
2016-08-23,401.0,410.0,386.0,386.0,0.0,4202,1663557.0
2016-08-22,420.0,415.0,401.0,401.0,0.0,2140,867660.0
2016-08-21,422.0,430.0,420.0,420.0,0.0,310,130900.0
2016-08-17,406.0,422.0,406.0,422.0,0.0,197,81158.0
2016-08-16,385.0,406.0,390.0,406.0,0.0,580,227270.0
2016-08-15,381.0,385.0,375.0,385.0,0.0,833,319174.0
2016-08-14,419.0,418.0,381.0,381.0,0.0,5542,2216279.0
2016-08-11,419.0,419.0,411.0,419.0,0.0,250,103550.0
