date,open,high,low,ltp,percent_change,qty,turnover
2026-05-21,735.0,735.0,735.0,735.0,0.0,5946,4370310.0
2026-04-24,735.0,735.0,735.0,735.0,0.0,4000,2940000.0
2026-03-17,735.0,735.0,735.0,735.0,0.0,6285,4619475.0
2025-08-14,658.0,658.0,658.0,658.0,0.0,13729,6150245.0
2025-08-11,658.0,658.0,658.0,658.0,0.0,2100,1381800.0
2025-07-28,658.0,658.0,658.0,658.0,0.0,10089,4086045.0
2025-06-16,658.0,658.0,658.0,658.0,0.0,8000,5264000.0
2025-03-17,909.3,909.3,909.3,909.3,0.0,5720,1987650.0
2025-03-12,909.3,909.3,909.3,909.3,-1.99,3641,3310761.3
2025-02-10,927.8,927.8,927.8,927.8,0.0,11000,10205800.0
2025-01-09,927.8,927.8,927.8,927.8,0.0,12965,12028927.0
2024-12-18,927.8,927.8,927.8,927.8,-2.0,9950,9231610.0
2024-11-24,946.7,946.7,946.7,946.7,-2.0,16410,15535347.0
2024-07-29,758.0,758.0,758.0,758.0,0.0,550,416900.0
2024-07-24,758.0,758.0,758.0,758.0,0.0,2836,2149688.0
2024-04-15,584.0,584.0,584.0,584.0,0.0,2500,1460000.0
2024-01-28,301.0,301.0,301.0,301.0,9.41,4920,1480920.0
2023-12-05,275.1,275.1,275.1,275.1,0.0,1000,275100.0
2023-09-04,424.0,424.0,424.0,424.0,9.28,511,216664.0
2023-06-27,388.0,388.0,388.0,388.0,1.84,3591,1393308.0
2023-05-02,381.0,381.0,381.0,381.0,0.0,25,9525.0
2022-11-22,541.0,541.0,541.0,541.0,0.0,25,2500.0
2022-11-14,541.0,541.0,541.0,541.0,0.0,1000,541000.0
2022-11-08,541.0,541.0,541.0,541.0,-3.39,1000,541000.0
2022-07-20,560.0,560.0,560.0,560.0,0.0,14630,1463000.0
2022-07-06,560.0,560.0,560.0,560.0,0.0,3000,1680000.0
2022-06-28,560.0,560.0,560.0,560.0,0.0,243,24300.0
2022-06-22,560.0,560.0,560.0,560.0,0.0,7000,3920000.0
2022-06-21,560.0,560.0,560.0,560.0,0.0,9000,5760000.0
2022-06-09,560.0,560.0,560.0,560.0,0.0,11400,6384000.0
2022-06-08,560.0,560.0,560.0,560.0,0.0,3024,1693440.0
2022-03-24,1073.0,1073.0,1073.0,1073.0,0.0,946,94600.0
2022-03-06,1073.0,1073.0,1073.0,1073.0,0.0,3500,2150000.0
2022-01-19,1073.0,1073.0,1073.0,1073.0,0.0,56270,42587850.0
2021-11-11,1073.0,1073.0,1073.0,1073.0,0.0,4730,3976086.0
2021-11-02,1073.0,1073.0,1073.0,1073.0,0.0,200,163000.0
2021-10-21,1073.0,1073.0,1073.0,1073.0,0.0,4120,4420760.0
2021-07-26,1210.0,1210.0,1210.0,1210.0,0.0,3000,3630000.0
2021-07-20,1210.0,1210.0,1210.0,1210.0,0.92,9000,10890000.0
2021-03-21,1370.0,1370.0,1370.0,1370.0,0.0,4548,6230760.0
