date,open,high,low,ltp,percent_change,qty,turnover
2021-01-21,1167.0,1259.0,1167.0,1259.0,9.96,4871,6079593.0
2021-01-20,1102.0,1155.0,1030.0,1145.0,9.05,8642,9554240.0
2021-01-19,1090.0,1111.0,1036.0,1050.0,-1.78,5065,5332302.0
2021-01-18,1073.0,1137.0,1069.0,1069.0,1.62,8318,9153344.0
2021-01-17,976.0,1052.0,950.0,1052.0,9.93,11079,10990042.0
2021-01-13,976.0,980.0,950.0,957.0,-3.82,6568,6318193.0
2021-01-12,921.0,995.0,921.0,995.0,5.96,2892,2697999.0
2021-01-11,963.0,964.0,910.0,939.0,-0.63,560,525962.0
2021-01-10,917.0,962.0,917.0,945.0,1.07,2918,2775391.0
2021-01-07,900.0,945.0,900.0,935.0,4.94,4838,4510069.0
2021-01-06,875.0,910.0,875.0,891.0,1.83,644,581023.0
2021-01-05,862.0,875.0,862.0,875.0,-0.46,87,75618.0
2021-01-04,865.0,889.0,862.0,879.0,0.8,928,811626.0
2021-01-03,872.0,889.0,856.0,872.0,0.0,1138,984463.0
2020-12-31,850.0,888.0,850.0,872.0,1.16,488,426658.0
2020-12-30,875.0,912.0,860.0,862.0,-0.92,1013,888450.0
2020-12-29,860.0,894.0,860.0,870.0,1.64,418,367979.0
2020-12-28,850.0,870.0,850.0,856.0,-1.15,409,350654.0
2020-12-27,889.0,889.0,865.0,866.0,-2.81,149,130708.0
2020-12-24,926.0,926.0,891.0,891.0,-5.51,274,247289.0
2020-12-23,945.0,957.0,942.0,943.0,-1.87,6326,5988705.0
2020-12-22,901.0,961.0,901.0,961.0,8.47,1505,1398087.0
2020-12-21,861.0,895.0,861.0,886.0,1.14,2577,2287479.0
2020-12-20,937.0,940.0,876.0,876.0,-6.71,5146,4722128.0
2020-12-17,940.0,974.0,930.0,939.0,-0.11,4498,4220010.0
2020-12-16,950.0,979.0,936.0,940.0,-1.05,6882,6575681.0
2020-12-15,956.0,957.0,941.0,950.0,-0.73,4196,3982769.0
2020-12-14,889.0,959.0,875.0,957.0,9.75,7531,6982748.0
2020-12-13,855.0,891.0,855.0,872.0,0.11,913,802355.0
