date,open,high,low,ltp,percent_change,qty,turnover
2015-09-16,125.0,127.0,127.0,127.0,0.0,60,7620.0
2015-08-23,128.0,130.0,125.0,125.0,0.0,1526,196047.0
2015-08-20,128.0,132.0,128.0,128.0,0.0,1323,171902.0
2015-08-13,124.0,128.0,126.0,128.0,0.0,1206,152538.0
2015-08-12,130.0,128.0,124.0,124.0,0.0,360,45558.0
2015-08-11,131.0,130.0,130.0,130.0,0.0,45,5850.0
2015-08-10,137.0,135.0,129.0,131.0,0.0,767,100521.0
2015-08-09,137.0,137.0,137.0,137.0,0.0,87,11919.0
2015-08-06,139.0,137.0,135.0,137.0,0.0,608,82276.0
2015-07-30,140.0,139.0,139.0,139.0,0.0,64,8896.0
2015-07-29,140.0,142.0,140.0,140.0,0.0,330,46464.0
2015-07-27,138.0,142.0,140.0,140.0,0.0,319,44748.0
2015-07-26,136.0,138.0,138.0,138.0,0.0,51,7038.0
2015-07-23,134.0,136.0,136.0,136.0,0.0,198,26928.0
2015-07-16,136.0,134.0,134.0,134.0,0.0,44,5896.0
2015-07-13,134.0,136.0,135.0,136.0,0.0,166,22489.0
2015-07-09,132.0,134.0,133.0,134.0,0.0,1240,165514.0
2015-06-28,128.0,132.0,130.0,132.0,0.0,78,10276.0
2015-06-25,130.0,128.0,128.0,128.0,0.0,87,11136.0
2015-06-23,132.0,130.0,128.0,130.0,0.0,193,24996.0
2015-06-22,134.0,134.0,131.0,132.0,0.0,1306,172149.0
2015-06-01,139.0,138.0,134.0,134.0,0.0,456,62129.0
2015-05-31,141.0,139.0,139.0,139.0,0.0,27,3753.0
2015-04-19,145.0,143.0,139.0,141.0,0.0,1171,165726.0
2015-04-15,148.0,146.0,145.0,145.0,0.0,483,70471.0
2015-04-08,151.0,148.0,148.0,148.0,0.0,500,74000.0
2015-03-31,145.0,151.0,147.0,151.0,0.0,1750,261650.0
2015-03-30,148.0,146.0,145.0,145.0,0.0,241,35099.0
2015-03-29,154.0,151.0,148.0,148.0,0.0,1500,223500.0
2015-03-25,157.0,154.0,154.0,154.0,0.0,147,22638.0
2015-03-23,162.0,160.0,157.0,157.0,0.0,101,15941.0
2015-03-19,168.0,168.0,162.0,162.0,0.0,781,128535.0
2015-03-18,169.0,169.0,166.0,168.0,0.0,1899,319232.0
2015-03-16,167.0,169.0,169.0,169.0,0.0,755,127595.0
2015-03-12,159.0,168.0,162.0,167.0,0.0,2160,358260.0
2015-03-11,173.0,170.0,158.0,159.0,0.0,2612,421058.0
2015-03-10,158.0,173.0,161.0,173.0,0.0,2791,479609.0
2015-03-09,144.0,158.0,146.0,158.0,0.0,5489,851751.0
2015-03-03,159.0,156.0,144.0,144.0,0.0,890,132951.0
2015-02-04,159.0,165.0,159.0,159.0,0.0,1006,162648.0
2015-02-03,145.0,159.0,147.0,159.0,0.0,446,67955.0
2015-02-02,137.0,145.0,139.0,145.0,0.0,164,23288.0
2015-02-01,137.0,137.0,135.0,137.0,0.0,398,53882.0
2015-01-28,139.0,137.0,137.0,137.0,0.0,32,4384.0
2015-01-19,141.0,139.0,139.0,139.0,0.0,73,10147.0
2014-12-18,143.0,141.0,141.0,141.0,0.0,164,23124.0
2014-11-04,154.0,157.0,151.0,151.0,0.0,780,119655.0
