date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1135.0,1135.0,1135.0,1105.0,-2.64,5,5525.0
2026-04-30,1200.0,1200.0,1129.9,1135.0,-5.42,54,61144.7
2026-04-28,1174.0,1200.0,1200.0,1200.0,2.21,20,24000.0
2026-04-27,1140.0,1174.0,1174.0,1174.0,2.98,20,23480.0
2026-04-24,1121.1,1140.0,1140.0,1140.0,1.69,25,28500.0
2026-04-22,1121.1,1121.1,1121.1,1121.1,-2.09,25,28027.5
2026-04-15,1145.0,1145.0,1145.0,1145.0,0.0,50,57250.0
2026-04-13,1145.0,1145.0,1145.0,1145.0,0.25,25,28625.0
2026-04-06,1142.1,1142.1,1142.1,1142.1,-0.25,25,28552.5
2026-04-05,1145.0,1145.0,1145.0,1145.0,0.26,25,28625.0
2026-04-01,1142.0,1142.0,1142.0,1142.0,0.0,25,28550.0
2026-03-25,1142.0,1142.0,1142.0,1142.0,0.62,25,28550.0
2026-03-23,1135.0,1135.0,1135.0,1135.0,0.13,25,28375.0
2026-02-26,1133.0,1133.5,1133.0,1133.5,-1.95,100,113325.0
2026-02-25,1156.0,1156.0,1156.0,1156.0,-1.7,25,28900.0
2026-01-26,1176.0,1176.0,1176.0,1176.0,-2.0,25,29400.0
2026-01-18,1156.0,1180.0,1156.0,1200.0,3.81,80,94339.5
2026-01-13,1156.0,1156.0,1156.0,1156.0,0.0,50,57800.0
2026-01-05,1156.0,1156.0,1156.0,1156.0,-1.88,25,28900.0
2026-01-01,1178.1,1178.1,1178.1,1178.1,0.0,19,22383.9
2025-12-31,1155.0,1155.0,1155.0,1178.1,2.0,1,1178.1
2025-12-29,1155.0,1155.0,1155.0,1155.0,-0.43,25,28875.0
2025-12-28,1160.0,1160.0,1160.0,1160.0,-1.28,25,29000.0
2025-12-23,1175.0,1175.0,1175.0,1175.0,1.56,100,117500.0
2025-12-22,1168.0,1168.0,1157.0,1157.0,1.04,50,58020.0
2025-12-18,1145.1,1145.1,1145.1,1145.1,0.62,25,28627.5
2025-12-08,1138.0,1138.0,1138.0,1138.0,-0.39,25,28450.0
2025-12-03,1142.5,1142.5,1142.5,1142.5,-1.68,25,28562.5
2025-11-30,1131.1,1162.0,1131.1,1162.0,2.73,185,214961.7
2025-11-27,1131.1,1131.1,1131.1,1131.1,0.1,25,28277.5
2025-11-26,1146.0,1150.0,1144.0,1130.0,-1.4,50,57230.0
2025-11-23,1146.1,1146.1,1146.0,1146.0,-0.48,100,114605.0
2025-11-20,1129.0,1129.0,1129.0,1151.5,1.99,1,1151.5
2025-11-10,1129.0,1129.0,1129.0,1129.0,-0.96,25,28225.0
2025-11-09,1127.0,1140.0,1127.0,1140.0,3.16,105,119375.0
2025-10-30,1105.1,1105.1,1105.1,1105.1,-0.8,25,27627.5
2025-10-26,1114.0,1114.0,1114.0,1114.0,-1.68,25,27850.0
2025-10-13,1111.0,1152.0,1111.0,1133.0,1.98,265,303380.0
