date,open,high,low,ltp,percent_change,qty,turnover
2026-03-31,301.1,301.1,301.1,301.1,0.0,13314,4008845.4
2024-10-27,301.1,301.1,301.1,301.1,-1.99,225000,67747500.0
2023-12-18,307.2,307.2,307.2,307.2,0.0,100000,30720000.0
2023-11-05,307.2,307.2,307.2,307.2,4.14,150000,46080000.0
2023-10-19,295.0,295.0,295.0,295.0,0.0,200000,59000000.0
2023-05-04,474.0,474.0,474.0,474.0,0.0,150000,45000000.0
2022-08-07,464.0,474.0,474.0,474.0,0.0,28589,19827870.0
2021-02-11,681.0,681.0,681.0,681.0,1.95,26,17706.0
2021-02-01,668.0,668.0,668.0,668.0,1.98,10,6680.0
2021-01-31,655.0,655.0,655.0,655.0,1.87,10,6550.0
2019-07-07,775.0,775.0,768.0,772.0,-2.28,8328,6407221.0
2019-07-04,780.0,792.0,777.0,790.0,1.94,6757,5277062.0
2019-07-03,777.0,779.0,770.0,775.0,0.13,7835,6055573.0
2019-07-02,768.0,775.0,766.0,774.0,0.13,9596,7373063.0
2019-07-01,775.0,777.0,771.0,773.0,-0.9,6654,5149458.0
2019-06-30,785.0,785.0,780.0,780.0,-1.27,2278,1780540.0
2019-06-27,792.0,795.0,785.0,790.0,-1.86,1639,1293745.0
2019-06-26,785.0,805.0,785.0,805.0,2.55,1183,935495.0
2019-06-25,790.0,790.0,785.0,785.0,0.0,2814,2209880.0
2019-06-24,786.0,790.0,784.0,785.0,-0.63,9352,7349846.0
2019-06-23,790.0,790.0,790.0,790.0,0.0,355,280450.0
2019-06-20,795.0,800.0,790.0,790.0,0.38,3563,2819135.0
2019-06-19,791.0,794.0,786.0,787.0,-0.63,4121,3254085.0
2019-06-18,797.0,797.0,791.0,792.0,-0.75,6389,5069260.0
2019-06-17,805.0,807.0,798.0,798.0,-0.37,2560,2050429.0
2019-06-16,809.0,809.0,798.0,801.0,0.13,8117,6494738.0
2019-06-13,799.0,802.0,799.0,800.0,-0.37,6605,5286450.0
2019-06-12,815.0,815.0,796.0,803.0,-0.25,3925,3149265.0
2019-06-11,801.0,815.0,793.0,805.0,0.63,11174,8879669.0
2019-06-10,815.0,815.0,800.0,800.0,-0.37,24345,19556304.0
2019-06-06,805.0,806.0,803.0,803.0,-0.25,2941,2365513.0
2019-06-04,805.0,810.0,802.0,805.0,-0.12,3889,3126805.0
2019-06-03,816.0,816.0,805.0,806.0,-1.23,20729,16691825.0
2019-06-02,820.0,820.0,816.0,816.0,-1.45,659,539804.0
2019-05-30,829.0,845.0,817.0,828.0,1.85,13074,10806350.0
2019-05-29,807.0,813.0,806.0,813.0,0.99,1000,808540.0
2019-05-28,820.0,820.0,805.0,805.0,0.0,881,709905.0
2019-05-27,819.0,819.0,805.0,805.0,0.25,2270,1830190.0
2019-05-26,818.0,818.0,803.0,803.0,-1.11,6169,4975132.0
2019-05-23,818.0,818.0,812.0,812.0,0.12,2597,2117034.0
2019-05-22,813.0,816.0,809.0,811.0,0.12,4625,3755258.0
2019-05-21,824.0,824.0,805.0,810.0,0.25,3524,2846671.0
2019-05-20,818.0,818.0,806.0,808.0,-1.22,4410,3568998.0
2019-05-19,838.0,838.0,818.0,818.0,-0.85,1120,919320.0
2019-05-16,827.0,828.0,815.0,825.0,-0.48,8430,6920375.0
2019-05-15,838.0,838.0,829.0,829.0,0.73,1200,996440.0
2019-05-14,830.0,830.0,816.0,823.0,0.24,7980,6556436.0
2019-05-13,835.0,835.0,819.0,821.0,0.12,1690,1392055.0
2019-05-12,819.0,820.0,811.0,820.0,0.24,4125,3353845.0
2019-05-09,830.0,830.0,818.0,818.0,-0.73,3914,3207816.0
2019-05-08,840.0,840.0,824.0,824.0,0.0,1320,1089200.0
2019-05-07,835.0,835.0,824.0,824.0,0.24,5240,4343605.0
2019-05-06,820.0,822.0,815.0,822.0,0.86,7879,6444763.0
2019-05-05,828.0,828.0,815.0,815.0,-1.69,8511,6979543.0
2019-05-02,838.0,838.0,824.0,829.0,-0.6,13725,11412350.0
2019-04-30,854.0,854.0,828.0,834.0,-0.48,5698,4749647.0
2019-04-29,820.0,845.0,815.0,838.0,0.96,23253,19211382.0
2019-04-28,855.0,864.0,830.0,830.0,-1.07,10482,8806072.0
2019-04-25,855.0,862.0,830.0,839.0,-1.06,8047,6804837.0
2019-04-24,829.0,848.0,820.0,848.0,3.54,18209,15135554.0
2019-04-23,825.0,827.0,812.0,819.0,0.86,24840,20282672.0
2019-04-22,835.0,838.0,810.0,812.0,-1.58,36922,30517258.0
2019-04-21,768.0,825.0,768.0,825.0,7.84,24922,20010344.0
2019-04-18,745.0,766.0,744.0,765.0,2.68,16775,12640280.0
2019-04-17,736.0,750.0,735.0,745.0,1.64,14410,10711250.0
2019-04-16,724.0,736.0,722.0,733.0,1.66,8611,6297941.0
2019-04-15,720.0,728.0,716.0,721.0,0.0,4135,2985120.0
2019-04-11,730.0,735.0,716.0,721.0,0.7,4080,2938170.0
2019-04-10,710.0,719.0,703.0,716.0,0.14,5811,4127237.0
2019-04-09,719.0,720.0,714.0,715.0,-0.42,4594,3293626.0
2019-04-08,723.0,725.0,717.0,718.0,1.13,12855,9272780.0
2019-04-07,713.0,715.0,701.0,710.0,1.14,12460,8833056.0
2019-04-04,708.0,712.0,702.0,702.0,-0.43,4350,3080574.0
2019-04-03,703.0,709.0,702.0,705.0,0.86,6796,4792534.0
2019-04-02,700.0,702.0,699.0,699.0,0.58,4140,2896680.0
2019-04-01,700.0,700.0,695.0,695.0,0.0,2049,1428460.0
2019-03-31,695.0,698.0,695.0,695.0,0.29,11171,7776194.0
2019-03-28,698.0,700.0,693.0,693.0,-0.14,3430,2395910.0
2019-03-27,695.0,698.0,692.0,694.0,-0.14,4179,2908350.0
2019-03-26,681.0,696.0,681.0,695.0,0.58,970,667800.0
2019-03-25,680.0,691.0,680.0,691.0,1.32,3100,2127870.0
2019-03-24,691.0,691.0,680.0,682.0,-1.59,1474,1006542.0
2019-03-21,690.0,695.0,687.0,693.0,0.87,5514,3799108.0
2019-03-19,690.0,690.0,687.0,687.0,0.29,1980,1362700.0
2019-03-18,686.0,689.0,684.0,685.0,-0.15,4071,2795615.0
2019-03-17,685.0,689.0,683.0,686.0,0.44,6920,4743346.0
2019-03-14,673.0,683.0,673.0,683.0,0.29,2611,1779088.0
2019-03-13,684.0,691.0,681.0,681.0,-0.29,7790,5329890.0
2019-03-12,674.0,686.0,673.0,683.0,3.33,9717,6637757.0
2019-03-11,660.0,664.0,655.0,661.0,0.3,21889,14394975.0
2019-03-10,659.0,659.0,659.0,659.0,1.38,50,32950.0
2019-03-07,643.0,650.0,642.0,650.0,1.25,2173,1401387.0
2019-03-06,645.0,645.0,640.0,642.0,-0.31,7989,5131086.0
2019-03-05,660.0,660.0,644.0,644.0,-0.62,2290,1479820.0
2019-03-03,656.0,656.0,648.0,648.0,0.0,3681,2392467.0
2019-02-27,652.0,652.0,648.0,648.0,-0.46,3118,2027490.0
2019-02-26,675.0,675.0,650.0,651.0,-2.84,6020,3929537.0
2019-02-25,740.0,752.0,735.0,750.0,1.35,18939,14012643.0
2019-02-24,752.0,755.0,740.0,740.0,-2.63,6917,5176748.0
2019-02-21,755.0,761.0,755.0,760.0,0.93,4207,3193942.0
2019-02-20,754.0,754.0,745.0,753.0,-0.13,12121,9056409.0
2019-02-19,750.0,758.0,747.0,754.0,0.94,10865,8159619.0
2019-02-18,760.0,773.0,735.0,747.0,3.18,32691,24392564.0
2019-02-17,725.0,725.0,724.0,724.0,-0.14,860,622825.0
2019-02-14,726.0,727.0,721.0,725.0,-0.41,1500,1086200.0
2019-02-13,725.0,728.0,725.0,728.0,-0.27,1859,1349014.0
2019-02-12,730.0,735.0,728.0,730.0,-0.54,1334,975040.0
2019-02-11,726.0,734.0,725.0,734.0,0.69,9842,7186776.0
2019-02-10,735.0,735.0,729.0,729.0,-0.68,4065,2968775.0
2019-02-07,745.0,745.0,732.0,734.0,0.0,8335,6114206.0
2019-02-06,730.0,734.0,730.0,734.0,-0.54,3601,2632130.0
