date,open,high,low,ltp,percent_change,qty,turnover
2019-10-03,715.0,726.0,715.0,720.0,1.12,100,72010.0
2019-10-02,715.0,716.0,712.0,712.0,-0.56,50,35730.0
2019-10-01,729.0,730.0,716.0,716.0,-1.24,180,130920.0
2019-09-30,713.0,727.0,711.0,725.0,-0.28,240,173530.0
2019-09-29,720.0,727.0,713.0,727.0,0.97,150,107630.0
2019-09-26,726.0,730.0,716.0,720.0,-0.83,344,247672.0
2019-09-25,727.0,728.0,726.0,726.0,-1.76,80,58140.0
2019-09-24,750.0,750.0,725.0,739.0,-2.64,180,131760.0
2019-09-23,735.0,759.0,730.0,759.0,1.2,130,95730.0
2019-09-22,755.0,755.0,718.0,750.0,-2.6,970,706460.0
2019-09-19,775.0,775.0,745.0,770.0,0.13,210,159250.0
2019-09-18,754.0,769.0,735.0,769.0,1.99,160,121100.0
2019-09-17,749.0,770.0,736.0,754.0,2.59,1260,943960.0
2019-09-16,735.0,735.0,721.0,735.0,-1.87,720,523580.0
2019-09-15,736.0,749.0,726.0,749.0,-0.13,180,133220.0
2019-09-12,765.0,765.0,730.0,750.0,-1.83,560,412980.0
2019-09-11,763.0,764.0,748.0,764.0,-1.8,180,136290.0
2019-09-10,736.0,778.0,724.0,778.0,3.73,216,159590.0
2019-09-09,755.0,755.0,738.0,750.0,-1.96,403,299245.0
2019-09-08,770.0,774.0,745.0,765.0,-0.65,480,364600.0
2019-09-05,760.0,770.0,744.0,770.0,0.0,250,190130.0
2019-09-04,773.0,795.0,758.0,770.0,-2.28,320,246580.0
2019-09-03,798.0,798.0,753.0,788.0,3.68,680,531010.0
2019-09-02,741.0,760.0,727.0,760.0,0.8,820,602700.0
2019-09-01,765.0,769.0,754.0,754.0,-2.08,310,235070.0
2019-08-29,761.0,770.0,760.0,770.0,-0.65,80,61070.0
2019-08-28,775.0,775.0,763.0,775.0,0.13,217,166078.0
2019-08-27,764.0,789.0,764.0,774.0,-0.64,100,77290.0
2019-08-26,780.0,780.0,766.0,779.0,-0.51,120,92620.0
2019-08-25,772.0,783.0,759.0,783.0,0.0,360,275820.0
2019-08-22,778.0,783.0,768.0,783.0,0.64,590,461190.0
2019-08-21,789.0,789.0,766.0,778.0,-1.52,499,387473.0
2019-08-20,784.0,800.0,784.0,790.0,-1.25,400,316230.0
2019-08-19,794.0,810.0,751.0,800.0,-1.23,1780,1392720.0
2019-08-18,830.0,835.0,780.0,810.0,-2.99,1769,1422672.0
2019-08-15,830.0,835.0,822.0,835.0,-0.83,510,422040.0
2019-08-14,882.0,882.0,817.0,842.0,-2.66,410,340610.0
2019-08-13,830.0,869.0,830.0,865.0,4.22,805,684185.0
2019-08-12,843.0,860.0,824.0,830.0,-3.38,1485,1245535.0
2019-08-11,843.0,892.0,828.0,859.0,-0.12,2110,1777120.0
2019-08-08,860.0,869.0,830.0,860.0,-1.04,1010,855130.0
2019-08-07,775.0,869.0,746.0,869.0,10.0,3257,2726786.0
2019-08-06,850.0,850.0,775.0,790.0,-8.14,4422,3550465.0
2019-08-05,884.0,953.0,821.0,860.0,-0.81,8784,7817418.0
2019-08-04,828.0,867.0,828.0,867.0,9.89,3394,2929588.0
2019-08-01,732.0,789.0,732.0,789.0,9.89,1920,1509630.0
2019-07-31,655.0,718.0,655.0,718.0,9.95,6334,4490829.0
2019-07-30,605.0,653.0,605.0,653.0,9.93,6659,4208566.0
2019-07-29,550.0,594.0,550.0,594.0,10.0,4287,2501437.0
2019-07-28,535.0,550.0,526.0,540.0,0.93,2892,1542632.0
2019-07-25,530.0,535.0,521.0,535.0,-0.93,1570,826880.0
2019-07-24,511.0,540.0,511.0,540.0,5.68,2240,1177640.0
2019-07-23,500.0,513.0,500.0,511.0,1.59,760,387250.0
2019-07-22,500.0,508.0,499.0,503.0,-0.98,750,377910.0
2019-07-21,495.0,510.0,495.0,508.0,1.2,690,347360.0
2019-07-18,500.0,502.0,495.0,502.0,0.0,200,100220.0
2019-07-17,478.0,502.0,478.0,502.0,3.29,490,241650.0
2019-07-16,491.0,491.0,484.0,486.0,-1.02,130,63400.0
2019-07-15,490.0,502.0,490.0,491.0,-0.61,470,233830.0
2019-07-14,478.0,494.0,478.0,494.0,1.44,1150,563180.0
2019-07-11,495.0,500.0,486.0,487.0,-1.22,520,255370.0
2019-07-10,486.0,506.0,486.0,493.0,-0.4,500,248220.0
2019-07-09,491.0,499.0,487.0,495.0,0.81,350,172980.0
2019-07-08,497.0,500.0,482.0,491.0,-2.96,1237,610475.0
2019-07-07,515.0,518.0,495.0,506.0,-3.62,2740,1379650.0
2019-07-04,505.0,525.0,501.0,525.0,3.96,3390,1751620.0
2019-07-03,486.0,513.0,486.0,505.0,3.91,3120,1571070.0
2019-07-02,485.0,494.0,472.0,486.0,2.1,1810,868000.0
2019-07-01,474.0,480.0,471.0,476.0,-0.83,2380,1130490.0
2019-06-30,501.0,501.0,476.0,480.0,-4.19,4048,1967132.0
2019-06-27,487.0,509.0,445.0,501.0,7.97,12838,6168169.0
2019-06-26,443.0,464.0,443.0,464.0,9.95,2339,1084916.0
2019-06-23,422.0,422.0,422.0,422.0,4.98,10,4220.0
2019-06-20,402.0,402.0,402.0,402.0,4.96,10,4020.0
2019-06-18,383.0,383.0,383.0,383.0,4.93,10,3830.0
2019-06-17,365.0,365.0,365.0,365.0,4.89,10,3650.0
2019-06-16,342.0,348.0,342.0,348.0,6.75,20,6900.0
2019-06-13,326.0,326.0,326.0,326.0,4.82,10,3260.0
2019-06-12,311.0,311.0,311.0,311.0,0.0,10,3110.0
