date,open,high,low,ltp,percent_change,qty,turnover
2019-05-13,610.0,620.0,588.0,588.0,-1.84,643,390830.0
2019-05-12,600.0,602.0,588.0,599.0,-1.8,2819,1674870.0
2019-05-09,634.0,634.0,610.0,610.0,-1.93,110,67940.0
2019-05-08,621.0,622.0,621.0,622.0,1.97,90,55920.0
2019-05-07,617.0,629.0,610.0,610.0,-0.49,1560,954440.0
2019-05-06,615.0,615.0,613.0,613.0,-1.92,596,365405.0
2019-05-05,625.0,625.0,620.0,625.0,-1.11,420,261200.0
2019-05-02,620.0,644.0,620.0,632.0,2.76,284,179968.0
2019-04-30,626.0,626.0,615.0,615.0,-3.61,203,125755.0
2019-04-29,641.0,641.0,628.0,638.0,-0.47,977,620260.0
2019-04-28,629.0,652.0,625.0,641.0,2.56,442,280118.0
2019-04-25,644.0,655.0,625.0,625.0,-1.11,350,224250.0
2019-04-24,632.0,632.0,632.0,632.0,1.94,30,18960.0
2019-04-23,631.0,631.0,620.0,620.0,0.0,300,187900.0
2019-04-22,632.0,640.0,620.0,620.0,0.0,421,265432.0
2019-04-21,620.0,630.0,620.0,620.0,1.64,1049,653530.0
2019-04-18,617.0,617.0,605.0,610.0,-2.87,1150,703491.0
2019-04-17,628.0,635.0,616.0,628.0,0.0,1450,903050.0
2019-04-16,629.0,632.0,625.0,628.0,1.29,490,307911.0
2019-04-15,610.0,620.0,600.0,620.0,1.97,240,146320.0
2019-04-11,606.0,610.0,606.0,608.0,-1.62,566,343726.0
2019-04-10,618.0,618.0,618.0,618.0,-1.9,200,123600.0
2019-04-09,627.0,630.0,627.0,630.0,0.48,157,98739.0
2019-04-08,617.0,627.0,610.0,627.0,3.64,1207,738165.0
2019-04-07,600.0,605.0,600.0,605.0,0.83,200,120150.0
2019-04-04,610.0,610.0,595.0,600.0,-2.44,1211,725490.0
2019-04-03,605.0,615.0,593.0,615.0,1.65,1455,868958.0
2019-04-02,605.0,606.0,605.0,605.0,-1.47,201,121615.0
2019-04-01,615.0,615.0,613.0,614.0,1.49,301,184813.0
2019-03-31,598.0,609.0,598.0,605.0,0.0,253,153069.0
2019-03-28,605.0,605.0,605.0,605.0,-0.66,20,12100.0
2019-03-27,600.0,609.0,600.0,609.0,1.84,200,120900.0
2019-03-26,610.0,610.0,598.0,598.0,-1.81,420,253600.0
2019-03-25,598.0,615.0,598.0,609.0,-0.16,1588,960672.0
2019-03-24,582.0,610.0,582.0,610.0,3.39,219,129958.0
2019-03-21,610.0,610.0,588.0,590.0,-4.68,1290,768108.0
2019-03-19,630.0,630.0,618.0,619.0,0.16,360,223180.0
2019-03-18,644.0,644.0,618.0,618.0,-2.68,1260,791020.0
2019-03-17,642.0,642.0,632.0,635.0,0.79,216,137357.0
2019-03-14,628.0,630.0,628.0,630.0,0.32,503,316536.0
