date,open,high,low,ltp,percent_change,qty,turnover
2020-07-29,116.0,116.0,116.0,116.0,0.0,105018,12182088.0
2020-07-28,116.0,116.0,116.0,116.0,0.0,105118,12193700.0
2020-07-27,116.0,116.0,116.0,116.0,1.75,105118,12193700.0
2019-12-11,116.0,116.0,114.0,114.0,-8.8,561428,64161648.0
2019-10-01,125.0,125.0,125.0,125.0,5.93,561000,70125000.0
2019-09-03,118.0,118.0,118.0,118.0,-1.67,485000,57230000.0
2019-03-26,120.0,120.0,120.0,120.0,-45.45,131929,15831480.0
2014-05-22,220.0,0.0,0.0,220.0,0.0,694331,180526064.0
2014-01-26,100.0,0.0,0.0,100.0,0.0,2767500,719550016.0
2013-09-01,100.0,0.0,0.0,220.0,0.0,2914012,757643136.0
