date,open,high,low,ltp,percent_change,qty,turnover
2022-12-29,185.0,190.0,184.0,189.0,0.91,91550,17154526.8
2022-12-28,192.0,192.5,185.0,187.3,-1.42,89490,16742160.0
2022-12-27,187.1,192.0,183.0,190.0,2.98,155822,29318188.0
2022-12-26,179.2,184.5,178.1,184.5,4.41,69465,12601205.8
2022-12-22,180.0,181.0,175.7,176.7,-1.01,62181,10995561.3
2022-12-21,179.0,181.0,177.7,178.5,-0.28,22534,4038393.3
2022-12-20,179.0,181.0,177.3,179.0,-0.5,16289,2925126.3
2022-12-19,179.0,181.5,176.1,179.9,0.5,19078,3388399.0
2022-12-18,179.7,180.0,177.0,179.0,-0.39,35335,6292895.5
2022-12-15,181.0,181.8,179.1,179.7,-1.16,27980,5032106.3
2022-12-14,183.5,183.5,181.2,181.8,-0.93,13780,2514003.1
2022-12-13,180.0,185.3,180.0,183.5,0.94,43930,8012501.0
2022-12-12,177.0,182.1,177.0,181.8,1.0,109996,19656203.7
2022-12-11,184.4,185.1,177.9,180.0,-0.99,43497,7803777.5
2022-12-07,181.1,183.4,181.0,181.8,-0.55,42276,7690997.5
2022-12-06,182.0,185.0,181.0,182.8,-1.46,49383,8980171.0
2022-12-05,185.0,186.0,182.0,185.5,-0.22,40870,7515004.3
2022-12-04,181.2,186.6,181.1,185.9,1.58,48613,8983400.7
2022-12-01,186.0,186.0,182.2,183.0,-1.61,51336,9470076.9
2022-11-30,187.0,187.4,184.0,186.0,-0.53,41127,7606265.9
2022-11-29,181.5,192.5,181.5,187.0,1.63,135659,25225791.7
2022-09-25,190.0,190.0,182.5,184.0,-3.16,43081,7915454.7
2022-09-22,186.9,190.0,182.5,190.0,2.43,70925,13118889.5
2022-09-21,187.0,187.0,183.0,185.5,0.0,59527,10981418.1
2022-09-20,189.0,189.0,184.1,185.5,-1.85,78764,14594897.6
2022-09-18,191.1,193.6,187.5,189.0,-1.87,60132,11379498.5
2022-09-16,194.0,194.0,190.1,192.6,-1.73,31550,6059672.0
2022-09-15,200.0,200.5,193.0,196.0,-1.66,68699,13362931.8
2022-09-14,194.1,199.5,194.1,199.3,2.21,44218,8720307.7
2022-09-13,195.0,196.9,193.6,195.0,0.41,61771,12048516.7
2022-09-12,198.0,198.8,194.0,194.2,-0.97,50310,9804021.8
2022-09-11,198.7,200.0,196.0,196.1,-0.46,28323,5607186.7
2022-09-08,197.0,198.5,196.0,197.0,-0.4,31796,6249618.9
2022-09-07,198.1,199.0,197.0,197.8,-1.05,31501,6230952.5
2022-09-06,200.0,202.0,198.0,199.9,-1.04,54438,10831260.5
2022-09-05,202.0,202.0,199.0,202.0,1.0,50701,10128366.7
2022-09-04,200.0,203.0,199.3,200.0,-1.48,52310,10509320.6
2022-09-02,198.0,204.0,198.0,203.0,0.5,33849,6827250.9
2022-09-01,200.0,203.0,200.0,202.0,0.25,46184,9291884.5
2022-08-31,204.0,204.6,200.8,201.5,-0.74,51150,10318046.6
2022-08-30,203.4,205.9,201.3,203.0,0.0,92411,18755747.7
2022-08-29,203.2,205.0,202.6,203.0,-1.41,110322,22428685.4
2022-08-28,211.0,211.0,202.7,205.9,-0.53,114378,23336446.5
2022-08-26,205.8,207.0,205.2,207.0,-0.43,44780,9225291.9
2022-08-25,206.0,210.1,206.0,207.9,-0.62,43899,9130793.5
2022-08-24,206.0,212.0,206.0,209.2,-0.24,95410,19975843.7
