date,open,high,low,ltp,percent_change,qty,turnover
2022-12-15,119.38,119.38,119.38,119.38,0.0,1922270,228942357.0
2022-12-01,119.1,119.1,119.1,119.1,-3.48,683116,81359115.6
2022-09-05,123.4,123.4,123.4,123.4,0.0,27750,3703300.0
2022-08-02,123.4,123.4,123.4,123.4,1.98,1000,123400.0
2022-07-27,121.0,121.0,121.0,121.0,0.0,10167,1230207.0
2022-07-06,121.0,121.0,121.0,121.0,0.0,5085,615285.0
2022-06-24,121.0,121.0,121.0,121.0,0.0,7625,922625.0
2022-06-21,121.0,121.0,121.0,121.0,0.0,98322,11896962.0
2022-06-07,121.0,121.0,121.0,121.0,-1.63,25000,3025000.0
2022-05-30,123.0,123.0,123.0,123.0,1.65,103284,12703932.0
2022-05-11,121.0,121.0,121.0,121.0,0.0,108000,13068000.0
2022-05-09,121.0,121.0,121.0,121.0,0.0,5403,653763.0
2022-05-05,121.0,121.0,121.0,121.0,0.0,260000,34062600.0
2022-03-28,121.0,121.0,121.0,121.0,0.0,50000,6050000.0
2021-12-23,121.0,121.0,119.0,121.0,0.0,39892,4794712.0
2021-12-02,121.0,121.0,121.0,121.0,0.0,8000,968000.0
2021-11-28,121.0,121.0,121.0,121.0,0.0,4706,569426.0
2021-11-25,121.0,121.0,121.0,121.0,0.0,40388,4886948.0
2021-11-23,121.0,121.0,121.0,121.0,0.0,81713,9887273.0
2021-11-22,121.0,121.0,121.0,121.0,0.0,45000,5445000.0
2021-11-21,121.0,121.0,121.0,121.0,0.0,106985,12945185.0
2021-11-16,121.0,121.0,121.0,121.0,0.0,87000,10527000.0
2021-10-19,141.5,141.5,121.0,121.0,0.0,760565,100228365.0
2021-10-11,121.0,121.0,121.0,121.0,0.0,1622,196262.0
2021-10-10,121.0,121.0,121.0,121.0,0.0,142744,20198276.0
2021-10-06,121.0,121.0,121.0,121.0,0.0,68405,8277005.0
2021-09-13,121.0,121.0,121.0,121.0,0.0,7060,854260.0
2021-09-12,121.0,121.0,121.0,121.0,0.0,1622,196262.0
2021-09-08,121.0,121.0,121.0,121.0,0.0,14121,1708641.0
2021-09-01,121.0,121.0,121.0,121.0,0.0,4707,569547.0
2021-08-29,121.0,121.0,121.0,121.0,0.0,26722,3233362.0
2021-08-26,121.0,121.0,121.0,121.0,-1.63,28002,3388242.0
2021-07-22,123.0,123.0,123.0,123.0,0.0,1000,181000.0
2021-07-19,123.0,123.0,123.0,123.0,0.0,11644,1432212.0
2021-07-12,177.0,123.0,123.0,123.0,0.0,900000,137273970.0
2021-07-11,123.0,123.0,123.0,123.0,1.65,500000,61500000.0
2021-06-30,121.0,121.0,121.0,121.0,0.0,1,123.0
2021-06-29,121.0,121.0,121.0,121.0,0.0,53353,7291713.0
2021-06-27,121.0,121.0,121.0,121.0,0.0,94311,11411631.0
2021-06-07,121.0,121.0,121.0,121.0,-1.63,467674,56588554.0
2021-06-06,123.0,123.0,123.0,123.0,1.65,37486,4610778.0
2021-04-26,121.0,121.0,121.0,121.0,0.0,30505,3691105.0
2021-04-22,121.0,121.0,121.0,121.0,0.0,300000,36300000.0
2021-04-20,155.0,121.0,121.0,121.0,0.0,7000,1183000.0
2021-04-15,121.0,121.0,121.0,121.0,0.0,11182,1353022.0
2021-04-12,121.0,121.0,121.0,121.0,1.68,4706,569426.0
2021-04-06,119.0,119.0,119.0,119.0,0.85,4706,560014.0
2021-04-04,118.0,118.0,118.0,118.0,-22.37,53745,6341910.0
2021-03-30,262.5,262.5,142.0,152.0,7.42,389951,58479979.5
2021-03-16,141.5,141.5,141.5,141.5,0.0,76180,10779470.0
2021-03-09,141.5,141.5,141.5,141.5,0.0,317869,44978463.5
2021-03-03,141.5,141.5,141.5,141.5,19.92,585369,82829713.5
2021-03-01,118.0,118.0,118.0,118.0,0.0,226808,32093332.0
2021-02-14,118.0,118.0,118.0,118.0,1.72,123508,14573944.0
2021-02-10,116.0,116.0,116.0,116.0,0.0,7424,861184.0
2021-01-07,116.0,116.0,116.0,116.0,0.0,4269,495204.0
2021-01-04,114.0,141.0,112.5,116.0,1.75,644410,74521927.0
2021-01-03,114.0,114.0,114.0,114.0,0.0,38444,4382616.0
2020-12-29,114.0,114.0,114.0,114.0,0.0,6403,729942.0
2020-12-28,114.0,114.0,114.0,114.0,0.0,4268,486552.0
2020-12-24,114.0,114.0,114.0,114.0,0.0,30970,3530580.0
2020-12-22,114.0,114.0,114.0,114.0,0.0,127000,14478000.0
2020-12-21,114.0,114.0,114.0,114.0,0.0,23500,2679000.0
2020-12-15,114.0,114.0,114.0,114.0,0.0,25612,2919768.0
2020-12-10,114.0,114.0,114.0,114.0,0.0,304000,34656000.0
2020-12-07,114.0,114.0,114.0,114.0,0.0,288000,32832000.0
2020-11-26,114.0,114.0,114.0,114.0,0.0,23351,2662014.0
2020-11-03,114.0,114.0,114.0,114.0,0.0,9729,1109106.0
2020-10-19,114.0,114.0,114.0,114.0,-1.72,4268,486552.0
2020-10-13,116.0,116.0,116.0,116.0,0.0,21730,2520680.0
