date,open,high,low,ltp,percent_change,qty,turnover
2026-08-12,1185.0,1185.0,1185.0,1116.0,-5.82,3,3416.0
2026-08-10,1198.0,1198.0,1198.0,1185.0,1.8,21,25145.0
2026-08-05,1164.0,1164.0,1164.0,1164.0,-3.0,10,11640.0
2026-07-27,1200.0,1200.0,1200.0,1200.0,-0.5,22578,27093600.0
2026-07-22,1299.0,1299.0,1206.0,1206.0,-7.16,231,286780.1
2026-07-16,1225.6,1262.2,1225.6,1299.0,6.0,220,273119.0
2026-07-15,1190.0,1190.0,1190.0,1225.5,2.98,10,12177.5
2026-07-13,1187.0,1190.0,1183.0,1190.0,0.42,112239,133182927.0
2026-07-08,1125.1,1188.0,1125.0,1185.0,3.53,373575,436075816.5
2026-07-07,1180.0,1180.0,1180.0,1180.0,0.0,3,3433.8
2026-06-22,1210.0,1270.4,1180.0,1180.0,-2.48,102,126871.7
2026-06-18,1210.0,1210.0,1210.0,1210.0,4.85,88,106480.0
2026-06-16,1121.0,1154.0,1052.0,1154.0,0.68,22563,23759762.1
2026-06-08,1146.2,1146.2,1146.2,1146.2,-2.99,90,103158.0
2026-06-05,1162.1,1181.5,1162.1,1181.5,4.72,23399,27645724.5
2026-06-03,1128.4,1128.4,1128.3,1128.3,-2.98,41,46262.9
2026-05-21,1163.0,1163.0,1163.0,1163.0,2.92,15,17445.0
2026-05-19,1130.0,1130.0,1130.0,1130.0,0.44,25,28250.0
2026-04-28,1131.0,1125.1,1125.1,1125.1,-0.52,25,28127.5
2026-04-23,1143.0,1143.0,1124.0,1131.0,-1.05,55,61825.0
2026-04-21,1143.0,1143.0,1143.0,1143.0,-2.89,15,17145.0
2026-04-20,1213.0,1213.0,1177.0,1177.0,-2.97,20,23900.0
2026-04-01,1212.0,1213.0,1212.0,1213.0,0.25,105,127340.0
2026-03-23,1165.0,1210.0,1165.0,1210.0,3.84,236,276656.0
2026-03-22,1120.0,1165.2,1120.0,1165.2,4.04,211,245834.4
2026-03-19,1120.0,1120.0,1120.0,1120.0,0.52,25,28000.0
2026-03-15,1118.1,1118.1,1114.2,1114.2,-0.25,62,69272.9
2026-02-17,1117.0,1117.0,1117.0,1117.0,-1.83,60,67020.0
2026-02-16,1121.0,1137.8,1121.0,1137.8,2.0,54,60954.0
2026-02-08,1116.0,1116.0,1115.5,1115.5,0.04,50,55787.5
2026-02-05,1115.0,1115.0,1115.0,1115.0,-1.33,25,27875.0
2026-01-29,1130.0,1130.0,1130.0,1130.0,-1.88,25,28250.0
2026-01-28,1151.6,1151.6,1151.6,1151.6,-2.0,76,87521.6
2026-01-20,1175.1,1175.1,1175.1,1175.1,-1.99,10,11751.0
2025-12-31,1199.0,1199.0,1199.0,1199.0,0.42,144,172656.0
2025-12-28,1194.0,1194.0,1194.0,1194.0,-1.97,50,59700.0
2025-12-21,1199.9,1218.0,1199.9,1218.0,1.54,670,813908.0
2025-12-18,1199.5,1199.5,1199.5,1199.5,2.0,27,32386.5
2025-12-17,1176.0,1176.0,1176.0,1176.0,-2.0,10,11760.0
2025-12-15,1200.0,1200.0,1200.0,1200.0,-1.96,50,60000.0
2025-12-14,1224.0,1224.0,1224.0,1224.0,-0.49,10,12240.0
2025-12-11,1210.0,1230.0,1209.0,1230.0,1.65,521,638366.0
2025-12-10,1208.0,1210.0,1208.0,1210.0,0.83,70,84660.0
2025-12-09,1181.0,1230.0,1181.0,1200.0,1.61,710,862160.8
2025-12-08,1181.0,1181.0,1181.0,1181.0,0.0,400,472400.0
2025-12-03,1181.0,1181.0,1181.0,1181.0,1.92,50,59050.0
2025-12-02,1158.8,1158.8,1158.8,1158.8,2.0,50,57940.0
2025-12-01,1157.7,1157.7,1136.1,1136.1,0.1,106,122176.2
2025-11-30,1135.0,1135.0,1135.0,1135.0,1.69,25,28375.0
2025-11-13,1116.1,1116.1,1116.1,1116.1,-1.93,25,27902.5
2025-11-04,1161.0,1161.0,1161.0,1138.1,-1.97,1,1138.1
2025-11-03,1161.0,1161.0,1161.0,1161.0,0.0,50,58050.0
2025-09-25,1180.0,1180.0,1160.0,1161.0,-0.36,1130,1331020.0
2025-09-21,1120.0,1180.0,1120.0,1165.2,2.45,1954,2287923.2
2025-09-08,1100.0,1142.0,1100.0,1137.37,4.35,1318,1477160.0
2025-09-02,1085.0,1090.0,1085.0,1090.0,1.87,200,217500.0
2025-08-06,1060.1,1070.0,1060.1,1070.0,0.74,90,96151.5
2025-08-05,1062.1,1062.1,1062.1,1062.1,-0.41,25,26552.5
2025-08-04,1070.0,1071.0,1061.0,1066.52,-0.97,395,421279.0
2025-07-30,1077.0,1077.0,1077.0,1077.0,0.0,100,107700.0
2025-07-28,1077.0,1077.0,1077.0,1077.0,-1.91,35,37695.0
2025-07-24,1098.0,1098.0,1098.0,1098.0,0.0,30,32940.0
2025-07-23,1098.0,1098.0,1098.0,1098.0,-1.96,50,54900.0
2025-07-21,1120.0,1120.0,1120.0,1120.0,0.0,75,84000.0
2025-07-20,1120.0,1120.0,1120.0,1120.0,0.0,238,266560.0
2025-07-14,1120.0,1120.0,1120.0,1120.0,1.73,25,28000.0
2025-07-10,1101.0,1101.0,1101.0,1101.0,1.94,50,55050.0
2025-07-07,1080.0,1080.0,1080.0,1080.0,-1.82,25,27000.0
2025-06-22,1100.0,1100.0,1100.0,1100.0,0.09,50,55000.0
2025-06-12,1078.0,1099.0,1078.0,1099.02,1.95,29,31871.8
2025-06-11,1078.0,1078.0,1078.0,1078.0,-1.73,50,53900.0
2025-05-28,1118.4,1118.4,1118.4,1097.0,-1.91,2,2194.0
2025-05-20,1118.4,1118.4,1118.4,1118.4,-2.0,35,39144.0
2025-05-19,1141.2,1141.2,1141.2,1141.2,0.55,563,642495.6
2025-05-13,1121.0,1135.0,1121.0,1135.0,1.34,229,257546.6
2025-05-11,1120.0,1120.0,1120.0,1120.0,-0.81,50,56000.0
2025-05-08,1129.0,1129.0,1129.0,1129.1,2.0,78,88062.3
