date,open,high,low,ltp,percent_change,qty,turnover
2019-05-21,141.0,145.0,140.0,145.0,1.4,2886,408062.0
2019-05-20,143.0,145.0,140.0,143.0,0.0,8536,1212400.0
2019-05-19,147.0,147.0,141.0,143.0,-4.03,3520,500100.0
2019-05-16,147.0,149.0,145.0,149.0,0.0,863,126575.0
2019-05-15,140.0,150.0,140.0,149.0,7.97,7233,1058130.0
2019-05-14,142.0,142.0,138.0,138.0,-1.43,5320,742520.0
2019-05-13,136.0,140.0,136.0,140.0,2.19,2855,397653.0
2019-05-12,139.0,139.0,137.0,137.0,-0.72,1550,213350.0
2019-05-09,140.0,140.0,138.0,138.0,-1.43,1433,199220.0
2019-05-08,136.0,144.0,136.0,140.0,2.19,6378,906784.0
2019-05-07,142.0,142.0,137.0,137.0,-2.14,8148,1137026.0
2019-05-06,136.0,140.0,136.0,140.0,1.45,2457,339946.0
2019-05-05,137.0,138.0,137.0,138.0,1.47,750,102850.0
2019-05-02,136.0,136.0,136.0,136.0,-1.45,1100,149600.0
2019-04-30,138.0,138.0,138.0,138.0,1.47,1120,154560.0
2019-04-29,140.0,140.0,136.0,136.0,-4.23,8570,1178700.0
2019-04-28,140.0,143.0,139.0,142.0,2.16,9700,1368397.0
2019-04-25,136.0,145.0,136.0,139.0,1.46,8363,1168011.0
2019-04-24,145.0,145.0,135.0,137.0,-4.86,3626,499394.0
2019-04-23,140.0,144.0,138.0,144.0,1.41,6426,909458.0
2019-04-21,138.0,143.0,137.0,142.0,2.16,6502,913724.0
2019-04-18,134.0,139.0,134.0,139.0,5.3,1144,157646.0
2019-04-17,133.0,135.0,132.0,132.0,-2.22,4150,553650.0
2019-04-16,135.0,142.0,135.0,135.0,0.0,10225,1407140.0
2019-04-15,143.0,143.0,134.0,135.0,-6.9,16205,2213987.0
2019-04-11,147.0,149.0,145.0,145.0,0.0,4060,598040.0
2019-04-10,140.0,147.0,137.0,145.0,5.07,19154,2740728.0
2019-04-09,128.0,138.0,128.0,138.0,9.52,27489,3760734.0
2019-04-08,127.0,129.0,125.0,126.0,-2.33,2043,258209.0
2019-04-07,124.0,133.0,124.0,129.0,3.2,8598,1102375.0
2019-04-04,121.0,126.0,121.0,125.0,3.31,649,79647.0
2019-04-03,122.0,123.0,120.0,121.0,-0.82,1546,188853.0
2019-04-02,121.0,122.0,119.0,122.0,0.83,2588,312476.0
2019-04-01,121.0,121.0,120.0,121.0,-0.82,3616,437292.0
2019-03-31,120.0,122.0,120.0,122.0,1.67,1546,187530.0
2019-03-28,121.0,121.0,120.0,120.0,-1.64,1584,190780.0
2019-03-27,120.0,122.0,120.0,122.0,0.0,983,117984.0
2019-03-26,120.0,122.0,119.0,122.0,1.67,2245,269709.0
2019-03-25,120.0,120.0,120.0,120.0,-1.64,3490,418800.0
2019-03-24,123.0,123.0,118.0,122.0,-0.81,4005,484915.0
2019-03-21,120.0,123.0,120.0,123.0,1.65,1512,184401.0
2019-03-18,121.0,121.0,120.0,121.0,1.68,1881,226711.0
2019-03-17,122.0,122.0,119.0,119.0,-0.83,1358,164002.0
2019-03-14,118.0,121.0,118.0,120.0,1.69,1181,140739.0
2019-03-13,117.0,118.0,116.0,118.0,0.0,179,20964.0
2019-03-12,116.0,118.0,116.0,118.0,3.51,177,20732.0
2019-03-11,114.0,115.0,114.0,114.0,-1.72,3400,388100.0
2019-03-07,116.0,116.0,116.0,116.0,1.75,40,4640.0
2019-03-06,116.0,118.0,114.0,114.0,-1.72,726,84124.0
2019-03-05,117.0,117.0,115.0,116.0,0.0,711,82647.0
2019-03-03,115.0,116.0,115.0,116.0,0.87,608,70083.0
2019-02-27,115.0,115.0,113.0,115.0,-1.71,680,78180.0
2019-02-25,117.0,117.0,117.0,117.0,0.0,24,2808.0
2019-02-24,115.0,117.0,113.0,117.0,0.0,3781,437377.0
2019-02-21,117.0,117.0,115.0,117.0,-0.85,171,19767.0
2019-02-19,118.0,118.0,118.0,118.0,1.72,40,4720.0
2019-02-18,120.0,120.0,116.0,116.0,-1.69,180,20972.0
2019-02-17,118.0,118.0,118.0,118.0,0.85,13,1534.0
2019-02-14,115.0,117.0,115.0,117.0,3.54,849,97835.0
2019-02-13,115.0,115.0,113.0,113.0,0.0,568,64784.0
2019-02-11,111.0,113.0,111.0,113.0,0.0,2081,232049.0
2019-02-10,114.0,114.0,113.0,113.0,-1.74,596,67558.0
