date,open,high,low,ltp,percent_change,qty,turnover
2019-05-16,104.0,104.0,104.0,104.0,0.0,5002,520208.0
2019-04-18,104.0,104.0,104.0,104.0,-0.95,2000,208000.0
2019-02-05,105.0,105.0,105.0,105.0,0.0,2100,220500.0
2019-01-23,105.0,105.0,105.0,105.0,0.0,5000,525000.0
2019-01-03,105.0,105.0,105.0,105.0,0.0,5000,525000.0
2018-12-31,105.0,105.0,105.0,105.0,0.0,5000,525000.0
2018-12-30,105.0,105.0,105.0,105.0,-0.94,36687,3852135.0
2018-12-27,106.0,106.0,106.0,106.0,0.0,13864,1469584.0
2018-10-11,106.0,106.0,106.0,106.0,0.0,4785,507210.0
2018-09-23,106.0,106.0,106.0,106.0,0.0,5264,557984.0
2018-09-18,106.0,106.0,106.0,106.0,0.0,58228,6172168.0
2018-01-03,106.0,106.0,106.0,106.0,0.0,2302,244012.0
2018-01-02,106.0,106.0,106.0,106.0,0.0,20321,2154026.0
2018-01-01,105.0,106.0,106.0,106.0,0.0,38041,4032346.0
