date,open,high,low,ltp,percent_change,qty,turnover
2016-09-25,647.0,635.0,600.0,600.0,0.0,6851,4155667.0
2016-09-22,660.0,648.0,647.0,647.0,0.0,1600,1036300.0
2016-09-20,686.0,685.0,660.0,660.0,0.0,1727,1165014.0
2016-09-18,699.0,700.0,686.0,686.0,0.0,4699,3243398.0
2016-09-14,700.0,700.0,695.0,699.0,0.0,4955,3461306.0
2016-09-12,680.0,700.0,693.0,700.0,0.0,5373,3750989.0
2016-09-11,700.0,700.0,680.0,680.0,0.0,2234,1535050.0
2016-09-08,686.0,726.0,673.0,700.0,0.0,5711,3979071.0
2016-09-07,687.0,690.0,686.0,686.0,0.0,1500,1033000.0
2016-09-06,700.0,710.0,687.0,687.0,0.0,2808,1949450.0
2016-09-05,682.0,700.0,682.0,700.0,0.0,2987,2086467.0
2016-09-04,695.0,700.0,667.0,682.0,0.0,2455,1674465.0
2016-09-03,695.0,700.0,667.0,682.0,0.0,2455,1674465.0
2016-09-01,700.0,699.0,686.0,695.0,0.0,3012,2082080.0
2016-08-31,695.0,700.0,690.0,700.0,0.0,725,507250.0
2016-08-30,709.0,705.0,687.0,695.0,0.0,2107,1459581.0
2016-08-29,710.0,715.0,700.0,709.0,0.0,995,702400.0
2016-08-28,701.0,719.0,705.0,710.0,0.0,3788,2694172.0
2016-08-24,701.0,701.0,701.0,701.0,0.0,300,210300.0
2016-08-23,702.0,716.0,668.0,701.0,0.0,6232,4359946.0
2016-08-22,744.0,730.0,702.0,702.0,0.0,30,21480.0
2016-08-21,730.0,744.0,735.0,744.0,0.0,1213,897455.0
2016-08-17,710.0,735.0,718.0,730.0,0.0,2646,1922034.0
2016-08-16,716.0,733.0,680.0,710.0,0.0,4487,3193415.0
2016-08-15,735.0,740.0,715.0,716.0,0.0,6313,4584401.0
2016-08-14,779.0,804.0,726.0,735.0,0.0,12452,9465359.0
2016-08-11,723.0,779.0,737.0,779.0,0.0,21881,16765181.0
2016-08-10,670.0,723.0,683.0,723.0,0.0,5411,3822560.0
2016-08-09,657.0,670.0,670.0,670.0,0.0,100,67000.0
2016-08-08,701.0,695.0,657.0,657.0,0.0,1500,1014770.0
2016-08-07,722.0,749.0,701.0,701.0,0.0,3172,2316922.0
2016-08-04,735.0,730.0,720.0,722.0,0.0,1535,1114785.0
2016-08-03,731.0,748.0,726.0,735.0,0.0,6374,4715409.0
2016-08-02,770.0,760.0,731.0,731.0,0.0,6025,4478290.0
2016-08-01,790.0,805.0,749.0,770.0,0.0,8835,6813706.0
2016-07-31,740.0,790.0,733.0,790.0,0.0,21849,16451602.0
2016-07-28,717.0,755.0,704.0,740.0,0.0,5172,3777419.0
2016-07-27,755.0,770.0,717.0,717.0,0.0,3582,2712534.0
2016-07-26,748.0,762.0,735.0,755.0,0.0,3455,2577152.0
2016-07-25,701.0,748.0,710.0,748.0,0.0,7199,5246783.0
2016-07-21,710.0,722.0,696.0,701.0,0.0,4069,2864191.0
2016-07-20,721.0,725.0,710.0,710.0,0.0,400,287150.0
2016-07-19,734.0,748.0,721.0,721.0,0.0,1314,970116.0
2016-07-18,710.0,734.0,715.0,734.0,0.0,4987,3613306.0
2016-07-17,692.0,728.0,690.0,710.0,0.0,9427,6641016.0
